Epoch 0, Validation Loss: 483.6844158597982
Epoch 10, Validation Loss: 28.559612583885084
Epoch 20, Validation Loss: 22.834351807839397
Epoch 30, Validation Loss: 19.81456870276784
Epoch 40, Validation Loss: 20.98695479435264
Epoch 50, Validation Loss: 18.16633788169488
Epoch 60, Validation Loss: 16.622170430079326
Epoch 70, Validation Loss: 15.936928792269144
Epoch 80, Validation Loss: 15.29127586699046
Epoch 90, Validation Loss: 14.24290754646134
Epoch 100, Validation Loss: 12.414042888905525
Epoch 110, Validation Loss: 10.982752358792222
Epoch 120, Validation Loss: 9.88339235493262
Epoch 130, Validation Loss: 8.932243917602737
Epoch 140, Validation Loss: 8.064285688439785
Epoch 150, Validation Loss: 7.414256361283247
Epoch 160, Validation Loss: 7.068831769446831
Epoch 170, Validation Loss: 6.894783506359799
Epoch 180, Validation Loss: 6.819884595172181
Epoch 190, Validation Loss: 6.796541587255943
Epoch 200, Validation Loss: 6.780610365830811
Epoch 210, Validation Loss: 6.76512196460522
Epoch 220, Validation Loss: 6.752572207234218
Epoch 230, Validation Loss: 6.749216817294546
Epoch 240, Validation Loss: 6.738261346137976
Epoch 250, Validation Loss: 6.709338566218722
Epoch 260, Validation Loss: 6.668582597556998
Epoch 270, Validation Loss: 6.6217087078307095
Epoch 280, Validation Loss: 6.573422511655676
Epoch 290, Validation Loss: 6.52734164228697
Epoch 300, Validation Loss: 6.4851346853946295
Epoch 310, Validation Loss: 6.446472578882375
Epoch 320, Validation Loss: 6.410151827075358
Epoch 330, Validation Loss: 6.375474469565236
Epoch 340, Validation Loss: 6.342800003041838
Epoch 350, Validation Loss: 6.313096155815005
Epoch 360, Validation Loss: 6.28717608844376
Epoch 370, Validation Loss: 6.2651439714626225
Epoch 380, Validation Loss: 6.2461515121049045
Epoch 390, Validation Loss: 6.22848362197409
Epoch 400, Validation Loss: 6.209882658173986
Epoch 410, Validation Loss: 6.1881066045892394
Epoch 420, Validation Loss: 6.162062296597791
Epoch 430, Validation Loss: 6.132841524665373
Epoch 440, Validation Loss: 6.10303469838742
Epoch 450, Validation Loss: 6.074945568033297
Epoch 460, Validation Loss: 6.049647661678428
Epoch 470, Validation Loss: 6.027163387440953
Epoch 480, Validation Loss: 6.0070251422671355
Epoch 490, Validation Loss: 5.988747881185093
