Epoch 0, Validation Loss: 483.85597068767044
Epoch 10, Validation Loss: 13.4521890513677
Epoch 20, Validation Loss: 13.257599716798099
Epoch 30, Validation Loss: 12.42486043335385
Epoch 40, Validation Loss: 10.526121535521682
Epoch 50, Validation Loss: 8.651646145828886
Epoch 60, Validation Loss: 7.753502710620891
Epoch 70, Validation Loss: 8.647060434733888
Epoch 80, Validation Loss: 6.489155610460433
Epoch 90, Validation Loss: 7.956083421759916
Epoch 100, Validation Loss: 6.4866666844334855
Epoch 110, Validation Loss: 6.010543530346248
Epoch 120, Validation Loss: 6.409605276477305
Epoch 130, Validation Loss: 5.67828120909632
Epoch 140, Validation Loss: 7.931594597745564
Epoch 150, Validation Loss: 6.219488034547064
Epoch 160, Validation Loss: 5.80545452454111
Epoch 170, Validation Loss: 6.762436063349147
Epoch 180, Validation Loss: 6.332498758762172
Epoch 190, Validation Loss: 8.131878771548958
Epoch 200, Validation Loss: 6.306459109071307
Epoch 210, Validation Loss: 7.73433898053099
Epoch 220, Validation Loss: 5.91315488881174
Epoch 230, Validation Loss: 5.772147287768038
Epoch 240, Validation Loss: 7.2068112808353115
Epoch 250, Validation Loss: 5.951648917945347
Epoch 260, Validation Loss: 6.619204627228463
Epoch 270, Validation Loss: 6.250261324264019
Epoch 280, Validation Loss: 5.992712813033973
Epoch 290, Validation Loss: 7.234556488239332
Epoch 300, Validation Loss: 5.796506269668931
Epoch 310, Validation Loss: 5.672263402895589
Epoch 320, Validation Loss: 6.829425895765254
Epoch 330, Validation Loss: 5.896802298841595
Epoch 340, Validation Loss: 5.704702326406926
Epoch 350, Validation Loss: 5.54860321565481
Epoch 360, Validation Loss: 8.168850923636818
Epoch 370, Validation Loss: 5.425687271983286
Epoch 380, Validation Loss: 5.52178882358201
Epoch 390, Validation Loss: 5.705691576788508
Epoch 400, Validation Loss: 7.902972235443015
Epoch 410, Validation Loss: 5.397766898568451
Epoch 420, Validation Loss: 5.521372006925529
Epoch 430, Validation Loss: 5.721726149386079
Epoch 440, Validation Loss: 7.784421402273416
Epoch 450, Validation Loss: 5.4062115746195785
Epoch 460, Validation Loss: 5.488992192053419
Epoch 470, Validation Loss: 5.793292621908294
Epoch 480, Validation Loss: 8.079448233227607
Epoch 490, Validation Loss: 5.61433027151714
