Epoch 0, Validation Loss: 73.12855446909403
Epoch 10, Validation Loss: 69.58911275059965
Epoch 20, Validation Loss: 67.4836395519208
Epoch 30, Validation Loss: 63.85920079478349
Epoch 40, Validation Loss: 51.36167033916639
Epoch 50, Validation Loss: 27.461003068164235
Epoch 60, Validation Loss: 12.448046805925955
Epoch 70, Validation Loss: 10.23005088686902
Epoch 80, Validation Loss: 9.951827028677744
Epoch 90, Validation Loss: 9.841445866356493
Epoch 100, Validation Loss: 9.650740812102464
Epoch 110, Validation Loss: 9.386153745281028
Epoch 120, Validation Loss: 9.131588538303221
Epoch 130, Validation Loss: 8.988239772670672
Epoch 140, Validation Loss: 8.976799505559132
Epoch 150, Validation Loss: 9.063274094074107
Epoch 160, Validation Loss: 9.207743801856418
Epoch 170, Validation Loss: 9.376758297928657
Epoch 180, Validation Loss: 9.546250983412724
Epoch 190, Validation Loss: 9.702204386224622
Epoch 200, Validation Loss: 9.838753169041219
Epoch 210, Validation Loss: 9.954865710510273
Epoch 220, Validation Loss: 10.05105294425764
Epoch 230, Validation Loss: 10.1278044295784
Epoch 240, Validation Loss: 10.185744761021935
Epoch 250, Validation Loss: 10.226050057517313
Epoch 260, Validation Loss: 10.250372160186636
Epoch 270, Validation Loss: 10.260098707447716
Epoch 280, Validation Loss: 10.254138112964881
Epoch 290, Validation Loss: 10.223785837676289
Epoch 300, Validation Loss: 10.15553321553432
Epoch 310, Validation Loss: 10.068216091271665
Epoch 320, Validation Loss: 9.989987272103761
Epoch 330, Validation Loss: 9.923000786519731
Epoch 340, Validation Loss: 9.862836359431741
Epoch 350, Validation Loss: 9.803485912642023
Epoch 360, Validation Loss: 9.737049441676605
Epoch 370, Validation Loss: 9.65400681348051
Epoch 380, Validation Loss: 9.547840466812698
Epoch 390, Validation Loss: 9.424266278316002
Epoch 400, Validation Loss: 9.279142130584608
Epoch 410, Validation Loss: 9.100199488380255
Epoch 420, Validation Loss: 8.894461181081402
Epoch 430, Validation Loss: 8.674108258747308
Epoch 440, Validation Loss: 8.449230126936873
Epoch 450, Validation Loss: 8.227002318213199
Epoch 460, Validation Loss: 8.011963742309481
Epoch 470, Validation Loss: 7.807411299800177
Epoch 480, Validation Loss: 7.618060896889847
Epoch 490, Validation Loss: 7.450330307273487
Epoch 500, Validation Loss: 7.307206087516844
Epoch 510, Validation Loss: 7.186806915680345
Epoch 520, Validation Loss: 7.086695015668686
Epoch 530, Validation Loss: 7.005157796298876
Epoch 540, Validation Loss: 6.940120341441358
Epoch 550, Validation Loss: 6.8888892761135025
Epoch 560, Validation Loss: 6.848578592741673
Epoch 570, Validation Loss: 6.816397737158725
Epoch 580, Validation Loss: 6.789789299370393
Epoch 590, Validation Loss: 6.7666094779001575
Epoch 600, Validation Loss: 6.7453027027323085
Epoch 610, Validation Loss: 6.724943713211414
Epoch 620, Validation Loss: 6.705132921744391
Epoch 630, Validation Loss: 6.685821206195476
Epoch 640, Validation Loss: 6.667140075039809
Epoch 650, Validation Loss: 6.649274791609879
Epoch 660, Validation Loss: 6.632387107438627
Epoch 670, Validation Loss: 6.616579439014352
Epoch 680, Validation Loss: 6.601887794175201
Epoch 690, Validation Loss: 6.588291201569082
Epoch 700, Validation Loss: 6.575728064632457
Epoch 710, Validation Loss: 6.5641131884246935
Epoch 720, Validation Loss: 6.553352204831259
Epoch 730, Validation Loss: 6.543352254997586
Epoch 740, Validation Loss: 6.534029029015752
Epoch 750, Validation Loss: 6.525310813178008
Epoch 760, Validation Loss: 6.517140315954034
Epoch 770, Validation Loss: 6.509474951554284
Epoch 780, Validation Loss: 6.502286096414802
Epoch 790, Validation Loss: 6.495557676441418
Epoch 800, Validation Loss: 6.489284324449968
Epoch 810, Validation Loss: 6.483469274645309
Epoch 820, Validation Loss: 6.478122126558947
Epoch 830, Validation Loss: 6.473256600105584
Epoch 840, Validation Loss: 6.468888400183459
Epoch 850, Validation Loss: 6.4650333001856035
Epoch 860, Validation Loss: 6.4617055318158165
Epoch 870, Validation Loss: 6.458916534258526
Epoch 880, Validation Loss: 6.456674075704276
Epoch 890, Validation Loss: 6.454981723510759
Epoch 900, Validation Loss: 6.453838613138965
Epoch 910, Validation Loss: 6.453239453421885
Epoch 920, Validation Loss: 6.453174705299095
Epoch 930, Validation Loss: 6.453630878806773
Epoch 940, Validation Loss: 6.4545909042511305
Epoch 950, Validation Loss: 6.456034544548751
Epoch 960, Validation Loss: 6.4579388247225955
Epoch 970, Validation Loss: 6.460278460917135
Epoch 980, Validation Loss: 6.463026275316727
Epoch 990, Validation Loss: 6.466153585628677
