Epoch 0, Validation Loss: 483.71649850932783
Epoch 10, Validation Loss: 28.98787431632333
Epoch 20, Validation Loss: 24.019598483123275
Epoch 30, Validation Loss: 24.367488901715525
Epoch 40, Validation Loss: 22.053010087097444
Epoch 50, Validation Loss: 18.685340030504832
Epoch 60, Validation Loss: 16.468156503033796
Epoch 70, Validation Loss: 13.616723093047478
Epoch 80, Validation Loss: 10.992008097410306
Epoch 90, Validation Loss: 9.771329181754323
Epoch 100, Validation Loss: 9.142106664964684
Epoch 110, Validation Loss: 8.74180072562483
Epoch 120, Validation Loss: 8.410199576577021
Epoch 130, Validation Loss: 8.02388456015901
Epoch 140, Validation Loss: 7.517180532205917
Epoch 150, Validation Loss: 7.173440921009441
Epoch 160, Validation Loss: 6.724965260102174
Epoch 170, Validation Loss: 6.666405800063378
Epoch 180, Validation Loss: 6.283154891691047
Epoch 190, Validation Loss: 5.964535744400251
Epoch 200, Validation Loss: 5.728968728734243
Epoch 210, Validation Loss: 5.54402113051341
Epoch 220, Validation Loss: 5.3916613855364055
Epoch 230, Validation Loss: 5.264735346361883
Epoch 240, Validation Loss: 5.159105948274194
Epoch 250, Validation Loss: 5.070734703228235
Epoch 260, Validation Loss: 4.995591347571111
Epoch 270, Validation Loss: 4.930732000069569
Epoch 280, Validation Loss: 4.874672660297132
Epoch 290, Validation Loss: 4.827062995889772
Epoch 300, Validation Loss: 4.788047452932395
Epoch 310, Validation Loss: 4.757605686234456
Epoch 320, Validation Loss: 4.735312451931869
Epoch 330, Validation Loss: 4.720672155954672
Epoch 340, Validation Loss: 4.713478960580022
Epoch 350, Validation Loss: 4.713811061469087
Epoch 360, Validation Loss: 4.721685887673139
Epoch 370, Validation Loss: 4.736339957005693
Epoch 380, Validation Loss: 4.755566939549475
Epoch 390, Validation Loss: 4.776287755878293
Epoch 400, Validation Loss: 4.796481556273501
Epoch 410, Validation Loss: 4.81603123525744
Epoch 420, Validation Loss: 4.835323169986797
Epoch 430, Validation Loss: 4.854082018220389
Epoch 440, Validation Loss: 4.8715239139242135
Epoch 450, Validation Loss: 4.886666954750231
Epoch 460, Validation Loss: 4.898485868887086
Epoch 470, Validation Loss: 4.906175008041725
Epoch 480, Validation Loss: 4.909453580380709
Epoch 490, Validation Loss: 4.908710006903926
Epoch 500, Validation Loss: 4.904851595664074
Epoch 510, Validation Loss: 4.898865832333488
Epoch 520, Validation Loss: 4.891515593700591
Epoch 530, Validation Loss: 4.883439798955498
Epoch 540, Validation Loss: 4.87523093742849
Epoch 550, Validation Loss: 4.867341971776616
Epoch 560, Validation Loss: 4.860026206472602
Epoch 570, Validation Loss: 4.853380089366912
Epoch 580, Validation Loss: 4.8474394966119
Epoch 590, Validation Loss: 4.842285401162813
Epoch 600, Validation Loss: 4.838139877757963
Epoch 610, Validation Loss: 4.835431455411117
Epoch 620, Validation Loss: 4.834806613015542
Epoch 630, Validation Loss: 4.837086661478423
Epoch 640, Validation Loss: 4.843188469877691
Epoch 650, Validation Loss: 4.854017514719003
Epoch 660, Validation Loss: 4.870328838606109
Epoch 670, Validation Loss: 4.892565208682147
Epoch 680, Validation Loss: 4.920712504883129
Epoch 690, Validation Loss: 4.954232233225908
Epoch 700, Validation Loss: 4.99211956768138
Epoch 710, Validation Loss: 5.03308948771023
Epoch 720, Validation Loss: 5.075833301492569
Epoch 730, Validation Loss: 5.119252944851996
Epoch 740, Validation Loss: 5.1625999538832215
Epoch 750, Validation Loss: 5.205576216273942
Epoch 760, Validation Loss: 5.296992953885855
Epoch 770, Validation Loss: 5.3337806267750905
Epoch 780, Validation Loss: 5.4565677757859214
Epoch 790, Validation Loss: 5.456739149572255
Epoch 800, Validation Loss: 5.496742805794072
Epoch 810, Validation Loss: 5.5281496690123335
Epoch 820, Validation Loss: 5.550849839976164
Epoch 830, Validation Loss: 5.58184470099301
Epoch 840, Validation Loss: 5.625560266118802
Epoch 850, Validation Loss: 5.675923816136967
Epoch 860, Validation Loss: 5.728603297634679
Epoch 870, Validation Loss: 5.783242134074319
Epoch 880, Validation Loss: 5.839931819781382
Epoch 890, Validation Loss: 5.898521256175681
Epoch 900, Validation Loss: 5.958625958711325
Epoch 910, Validation Loss: 6.019732348449805
Epoch 920, Validation Loss: 6.081325793038414
Epoch 930, Validation Loss: 6.142978080028588
Epoch 940, Validation Loss: 6.204371695642946
Epoch 950, Validation Loss: 6.2652734319851024
Epoch 960, Validation Loss: 6.325474222210516
Epoch 970, Validation Loss: 6.384716809365389
Epoch 980, Validation Loss: 6.4430274539397825
Epoch 990, Validation Loss: 6.018097967242177
