Epoch 0, Validation Loss: 122.14142742752395
Epoch 10, Validation Loss: 70.16615063975144
Epoch 20, Validation Loss: 69.56391459118186
Epoch 30, Validation Loss: 68.620888638028
Epoch 40, Validation Loss: 67.2701949864709
Epoch 50, Validation Loss: 65.4244014383402
Epoch 60, Validation Loss: 62.74301287152648
Epoch 70, Validation Loss: 57.78272935233543
Epoch 80, Validation Loss: 47.71271084300954
Epoch 90, Validation Loss: 34.51464776725929
Epoch 100, Validation Loss: 20.484409912004793
Epoch 110, Validation Loss: 13.804334845720401
Epoch 120, Validation Loss: 11.501872421267622
Epoch 130, Validation Loss: 10.69700987502919
Epoch 140, Validation Loss: 10.462230193089182
Epoch 150, Validation Loss: 10.38704454010405
Epoch 160, Validation Loss: 10.327856328044446
Epoch 170, Validation Loss: 10.241976078045125
Epoch 180, Validation Loss: 10.123989219403716
Epoch 190, Validation Loss: 9.979384466736505
Epoch 200, Validation Loss: 9.815950024727352
Epoch 210, Validation Loss: 9.644064789168137
Epoch 220, Validation Loss: 9.478215657304897
Epoch 230, Validation Loss: 9.335043214321198
Epoch 240, Validation Loss: 9.22908060339391
Epoch 250, Validation Loss: 9.168935013155014
Epoch 260, Validation Loss: 9.155982358821277
Epoch 270, Validation Loss: 9.185550748113872
Epoch 280, Validation Loss: 9.249014122721414
Epoch 290, Validation Loss: 9.33604160939837
Epoch 300, Validation Loss: 9.436637513246264
Epoch 310, Validation Loss: 9.542583278202303
Epoch 320, Validation Loss: 9.648085359622067
Epoch 330, Validation Loss: 9.749713145789276
Epoch 340, Validation Loss: 9.84587618987861
Epoch 350, Validation Loss: 9.93610859755925
Epoch 360, Validation Loss: 10.02037456916329
Epoch 370, Validation Loss: 10.098576638088792
Epoch 380, Validation Loss: 10.170404332699286
Epoch 390, Validation Loss: 10.235476065632872
Epoch 400, Validation Loss: 10.293563991282337
Epoch 410, Validation Loss: 10.344722357220421
Epoch 420, Validation Loss: 10.389250002361177
Epoch 430, Validation Loss: 10.427553134181565
Epoch 440, Validation Loss: 10.460022600651277
Epoch 450, Validation Loss: 10.48696803764178
Epoch 460, Validation Loss: 10.50858464220829
Epoch 470, Validation Loss: 10.524919160680746
Epoch 480, Validation Loss: 10.5358237527622
Epoch 490, Validation Loss: 10.540913855752876
Epoch 500, Validation Loss: 10.539561204544038
Epoch 510, Validation Loss: 10.530944729659796
Epoch 520, Validation Loss: 10.51415777945084
Epoch 530, Validation Loss: 10.48835118169354
Epoch 540, Validation Loss: 10.452889292725967
Epoch 550, Validation Loss: 10.407499407846322
Epoch 560, Validation Loss: 10.352384892153731
Epoch 570, Validation Loss: 10.288248861899598
Epoch 580, Validation Loss: 10.216170003761121
Epoch 590, Validation Loss: 10.137325268758522
Epoch 600, Validation Loss: 10.052653751296694
Epoch 610, Validation Loss: 9.962616053344243
Epoch 620, Validation Loss: 9.867154091124794
Epoch 630, Validation Loss: 9.765840174171485
Epoch 640, Validation Loss: 9.658121055338416
Epoch 650, Validation Loss: 9.543552978981651
Epoch 660, Validation Loss: 9.421959563206684
Epoch 670, Validation Loss: 9.293492008502716
Epoch 680, Validation Loss: 9.158615482273749
Epoch 690, Validation Loss: 9.018071059833247
Epoch 700, Validation Loss: 8.872851676517083
Epoch 710, Validation Loss: 8.724192242874556
Epoch 720, Validation Loss: 8.573546213401874
Epoch 730, Validation Loss: 8.422526318775569
Epoch 740, Validation Loss: 8.272811475381275
Epoch 750, Validation Loss: 8.12604026142565
Epoch 760, Validation Loss: 7.983714436255929
Epoch 770, Validation Loss: 7.847128245628163
Epoch 780, Validation Loss: 7.717328224219395
Epoch 790, Validation Loss: 7.595099157375807
Epoch 800, Validation Loss: 7.480967208802929
Epoch 810, Validation Loss: 7.3752111827414435
Epoch 820, Validation Loss: 7.277876285942266
Epoch 830, Validation Loss: 7.188789651265562
Epoch 840, Validation Loss: 7.10758107837411
Epoch 850, Validation Loss: 7.033713958139552
Epoch 860, Validation Loss: 6.966529159138258
Epoch 870, Validation Loss: 6.905299550638358
Epoch 880, Validation Loss: 6.84928750616664
Epoch 890, Validation Loss: 6.797795361356883
Epoch 900, Validation Loss: 6.750200819245269
Epoch 910, Validation Loss: 6.705974330747763
Epoch 920, Validation Loss: 6.664680607013762
Epoch 930, Validation Loss: 6.625969405226447
Epoch 940, Validation Loss: 6.589561137681024
Epoch 950, Validation Loss: 6.5552315881419725
Epoch 960, Validation Loss: 6.5227982567766984
Epoch 970, Validation Loss: 6.492109368356392
Epoch 980, Validation Loss: 6.463035631174023
Epoch 990, Validation Loss: 6.43546437023119
