Epoch 0, Validation Loss: 483.6726081063001
Epoch 10, Validation Loss: 28.792487850506333
Epoch 20, Validation Loss: 23.44716829459613
Epoch 30, Validation Loss: 21.392791450151172
Epoch 40, Validation Loss: 22.664401756933575
Epoch 50, Validation Loss: 19.419994756637802
Epoch 60, Validation Loss: 17.677506544068486
Epoch 70, Validation Loss: 16.5191976120071
Epoch 80, Validation Loss: 14.443534071520347
Epoch 90, Validation Loss: 12.047648276518276
Epoch 100, Validation Loss: 11.113095615853128
Epoch 110, Validation Loss: 10.64786333088639
Epoch 120, Validation Loss: 10.42808743249957
Epoch 130, Validation Loss: 10.133532775490325
Epoch 140, Validation Loss: 9.640846605616668
Epoch 150, Validation Loss: 9.135878405862357
Epoch 160, Validation Loss: 8.573140287328018
Epoch 170, Validation Loss: 7.961831358337207
Epoch 180, Validation Loss: 7.601182315342066
Epoch 190, Validation Loss: 7.3246682709673205
Epoch 200, Validation Loss: 7.21852288630559
Epoch 210, Validation Loss: 7.218421701893474
Epoch 220, Validation Loss: 7.237861442954861
Epoch 230, Validation Loss: 7.204598199630777
Epoch 240, Validation Loss: 7.137507672202398
Epoch 250, Validation Loss: 7.06155420908806
Epoch 260, Validation Loss: 6.990508299780469
Epoch 270, Validation Loss: 6.922587151418812
Epoch 280, Validation Loss: 6.862938207511453
Epoch 290, Validation Loss: 6.825601223077046
Epoch 300, Validation Loss: 6.8223859727793075
Epoch 310, Validation Loss: 6.855951817030461
Epoch 320, Validation Loss: 6.910715784964881
Epoch 330, Validation Loss: 6.942516281982139
Epoch 340, Validation Loss: 6.9340000018949315
Epoch 350, Validation Loss: 6.895667439188664
Epoch 360, Validation Loss: 6.83774337021059
Epoch 370, Validation Loss: 6.769155213336183
Epoch 380, Validation Loss: 6.698418367467339
Epoch 390, Validation Loss: 6.632334439947738
Epoch 400, Validation Loss: 6.574924763832051
Epoch 410, Validation Loss: 6.527826734790854
Epoch 420, Validation Loss: 6.491508144844258
Epoch 430, Validation Loss: 6.466286158197528
Epoch 440, Validation Loss: 6.452818624292556
Epoch 450, Validation Loss: 6.451858433387176
Epoch 460, Validation Loss: 6.463067749783207
Epoch 470, Validation Loss: 6.485008550824819
Epoch 480, Validation Loss: 6.516627744843667
Epoch 490, Validation Loss: 6.557689351514745
Epoch 500, Validation Loss: 6.608620619224512
Epoch 510, Validation Loss: 6.6703557144234695
Epoch 520, Validation Loss: 6.744093478864838
Epoch 530, Validation Loss: 6.830940464539573
Epoch 540, Validation Loss: 6.931468920975304
Epoch 550, Validation Loss: 7.045217605342187
Epoch 560, Validation Loss: 7.170198966442581
Epoch 570, Validation Loss: 7.302535847118595
Epoch 580, Validation Loss: 7.436402411520386
Epoch 590, Validation Loss: 7.564486907361425
Epoch 600, Validation Loss: 7.679170596649514
Epoch 610, Validation Loss: 7.7743783961743285
Epoch 620, Validation Loss: 7.847556801085511
Epoch 630, Validation Loss: 7.900783338948528
Epoch 640, Validation Loss: 7.940139745851658
Epoch 650, Validation Loss: 7.973363693153028
Epoch 660, Validation Loss: 8.006902267324104
Epoch 670, Validation Loss: 8.043944559259161
Epoch 680, Validation Loss: 8.084331671347499
Epoch 690, Validation Loss: 8.125959297424188
Epoch 700, Validation Loss: 8.16653827743544
Epoch 710, Validation Loss: 8.204783576691632
Epoch 720, Validation Loss: 8.240550541864058
Epoch 730, Validation Loss: 8.292205612534556
Epoch 740, Validation Loss: 9.698768586994087
Epoch 750, Validation Loss: 8.06993985861772
Epoch 760, Validation Loss: 7.627902688552669
Epoch 770, Validation Loss: 7.957677611725057
Epoch 780, Validation Loss: 8.78385053315122
Epoch 790, Validation Loss: 9.126695882445755
Epoch 800, Validation Loss: 8.77900376871234
Epoch 810, Validation Loss: 8.312012979744106
Epoch 820, Validation Loss: 8.04395207562396
Epoch 830, Validation Loss: 7.996168939581126
Epoch 840, Validation Loss: 8.084327696908723
Epoch 850, Validation Loss: 8.246722053364214
Epoch 860, Validation Loss: 8.409528267071934
Epoch 870, Validation Loss: 8.528454171526937
Epoch 880, Validation Loss: 8.611191463443745
Epoch 890, Validation Loss: 8.65575287906618
Epoch 900, Validation Loss: 8.66143206060496
Epoch 910, Validation Loss: 8.628017054237086
Epoch 920, Validation Loss: 8.556848070700667
Epoch 930, Validation Loss: 8.46858329734451
Epoch 940, Validation Loss: 8.405100808577611
Epoch 950, Validation Loss: 8.383395929529195
Epoch 960, Validation Loss: 8.434042004063304
Epoch 970, Validation Loss: 8.59930894412941
Epoch 980, Validation Loss: 8.857401055722601
Epoch 990, Validation Loss: 9.116635715662186
