Epoch 0, Validation Loss: 483.625259482023
Epoch 10, Validation Loss: 29.239598372951946
Epoch 20, Validation Loss: 22.408522881942464
Epoch 30, Validation Loss: 20.192841857115205
Epoch 40, Validation Loss: 20.925090061759093
Epoch 50, Validation Loss: 17.92289915080633
Epoch 60, Validation Loss: 16.26066784226164
Epoch 70, Validation Loss: 14.475242998728339
Epoch 80, Validation Loss: 11.41811371312827
Epoch 90, Validation Loss: 9.69500302725938
Epoch 100, Validation Loss: 9.08058348976293
Epoch 110, Validation Loss: 9.302864994464903
Epoch 120, Validation Loss: 8.890549958588798
Epoch 130, Validation Loss: 8.500895808319266
Epoch 140, Validation Loss: 8.129618753702756
Epoch 150, Validation Loss: 7.828914139776666
Epoch 160, Validation Loss: 7.5499667681459535
Epoch 170, Validation Loss: 7.276789721358247
Epoch 180, Validation Loss: 7.013555699820457
Epoch 190, Validation Loss: 6.768416222321815
Epoch 200, Validation Loss: 6.549910687188575
Epoch 210, Validation Loss: 6.365388206718318
Epoch 220, Validation Loss: 6.2168086165934335
Epoch 230, Validation Loss: 6.098556569553686
Epoch 240, Validation Loss: 6.0020551400427715
Epoch 250, Validation Loss: 5.921261578953943
Epoch 260, Validation Loss: 5.853425316867353
Epoch 270, Validation Loss: 5.796717583341907
Epoch 280, Validation Loss: 5.749010293712959
Epoch 290, Validation Loss: 5.7082264996653524
Epoch 300, Validation Loss: 5.672675035411958
Epoch 310, Validation Loss: 5.640777558106784
Epoch 320, Validation Loss: 5.6105084606564155
Epoch 330, Validation Loss: 5.5792254676591915
Epoch 340, Validation Loss: 5.544477431353873
Epoch 350, Validation Loss: 5.505420016423
Epoch 360, Validation Loss: 5.463237252571958
Epoch 370, Validation Loss: 5.419835688248992
Epoch 380, Validation Loss: 5.376589913070845
Epoch 390, Validation Loss: 5.3343265400559545
Epoch 400, Validation Loss: 5.293623249351512
Epoch 410, Validation Loss: 5.254720751739152
Epoch 420, Validation Loss: 5.217323531513493
Epoch 430, Validation Loss: 5.180616501124253
Epoch 440, Validation Loss: 5.143482691522309
Epoch 450, Validation Loss: 5.104812550530784
Epoch 460, Validation Loss: 5.063841337066055
Epoch 470, Validation Loss: 5.020444152584672
Epoch 480, Validation Loss: 4.975279808314825
Epoch 490, Validation Loss: 4.929663106904553
Epoch 500, Validation Loss: 4.8851485702844455
Epoch 510, Validation Loss: 4.84315348824152
Epoch 520, Validation Loss: 4.805310856221164
Epoch 530, Validation Loss: 4.774851424393066
Epoch 540, Validation Loss: 4.756468999085882
Epoch 550, Validation Loss: 4.751610681129887
Epoch 560, Validation Loss: 4.756480029342878
Epoch 570, Validation Loss: 4.765477576147998
Epoch 580, Validation Loss: 4.773084927052516
Epoch 590, Validation Loss: 4.774653551963769
Epoch 600, Validation Loss: 4.767760881292108
Epoch 610, Validation Loss: 4.691923330961527
Epoch 620, Validation Loss: 4.570633161484455
Epoch 630, Validation Loss: 4.770143209329384
Epoch 640, Validation Loss: 4.759196343081572
Epoch 650, Validation Loss: 4.970849284673473
Epoch 660, Validation Loss: 5.047771941825915
Epoch 670, Validation Loss: 4.962107126268834
Epoch 680, Validation Loss: 5.39640013461084
Epoch 690, Validation Loss: 5.042845335273537
Epoch 700, Validation Loss: 5.159840643111553
Epoch 710, Validation Loss: 5.03603121674868
Epoch 720, Validation Loss: 5.345178166337035
Epoch 730, Validation Loss: 5.138165585999879
Epoch 740, Validation Loss: 5.089689462745372
Epoch 750, Validation Loss: 5.194111740569272
Epoch 760, Validation Loss: 5.422674341337787
Epoch 770, Validation Loss: 5.293928242568728
Epoch 780, Validation Loss: 5.391589335946844
Epoch 790, Validation Loss: 5.216581290442236
Epoch 800, Validation Loss: 5.468148587652872
Epoch 810, Validation Loss: 5.235463685320461
Epoch 820, Validation Loss: 5.559540526756219
Epoch 830, Validation Loss: 5.154603156682371
Epoch 840, Validation Loss: 5.1317120545116675
Epoch 850, Validation Loss: 5.607336478211739
Epoch 860, Validation Loss: 5.176700270624213
Epoch 870, Validation Loss: 5.191814679614558
Epoch 880, Validation Loss: 5.758389997941688
Epoch 890, Validation Loss: 5.240124579271204
Epoch 900, Validation Loss: 5.166329297741772
Epoch 910, Validation Loss: 5.669046141279966
Epoch 920, Validation Loss: 5.7118008533500335
Epoch 930, Validation Loss: 5.274428841003783
Epoch 940, Validation Loss: 5.244090772683234
Epoch 950, Validation Loss: 5.805869735706866
Epoch 960, Validation Loss: 5.848310003831167
Epoch 970, Validation Loss: 5.380660849256417
Epoch 980, Validation Loss: 5.335634841237395
Epoch 990, Validation Loss: 5.775073983669985
