Epoch 0, Validation Loss: 69.75639393634938
Epoch 10, Validation Loss: 82.8094222820552
Epoch 20, Validation Loss: 53.052061550045885
Epoch 30, Validation Loss: 53.83806040674068
Epoch 40, Validation Loss: 48.198693151844076
Epoch 50, Validation Loss: 51.5599230819319
Epoch 60, Validation Loss: 51.105052987349936
Epoch 70, Validation Loss: 49.560278411103766
Epoch 80, Validation Loss: 40.80947686305105
Epoch 90, Validation Loss: 42.68885728450286
Epoch 100, Validation Loss: 48.39672129474868
Epoch 110, Validation Loss: 50.54891879865415
Epoch 120, Validation Loss: 51.740816081395586
Epoch 130, Validation Loss: 50.1022138097421
Epoch 140, Validation Loss: 52.3946078994686
Epoch 150, Validation Loss: 49.67597436078851
Epoch 160, Validation Loss: 53.50985258237507
Epoch 170, Validation Loss: 56.424938568994
Epoch 180, Validation Loss: 52.343529016749045
Epoch 190, Validation Loss: 39.75906262215014
Epoch 200, Validation Loss: 47.53214440256117
Epoch 210, Validation Loss: 50.95537015514687
Epoch 220, Validation Loss: 56.3377453891698
Epoch 230, Validation Loss: 56.89790326612984
Epoch 240, Validation Loss: 52.68705606261972
Epoch 250, Validation Loss: 52.91838686122644
Epoch 260, Validation Loss: 51.26609569981862
Epoch 270, Validation Loss: 52.593978689901235
Epoch 280, Validation Loss: 51.75481505022848
Epoch 290, Validation Loss: 50.59042953437432
Epoch 300, Validation Loss: 61.57135147562279
Epoch 310, Validation Loss: 56.774556794438205
Epoch 320, Validation Loss: 57.16073258344676
Epoch 330, Validation Loss: 72.33117665008044
Epoch 340, Validation Loss: 59.158599307915644
Epoch 350, Validation Loss: 57.291791344550944
Epoch 360, Validation Loss: 45.870965627753414
Epoch 370, Validation Loss: 45.39266053385741
Epoch 380, Validation Loss: 49.14832218358274
Epoch 390, Validation Loss: 51.938828788236144
Epoch 400, Validation Loss: 50.171759236391196
Epoch 410, Validation Loss: 57.10008655936104
Epoch 420, Validation Loss: 53.028551241947945
Epoch 430, Validation Loss: 48.64088633726089
Epoch 440, Validation Loss: 53.18781304605593
Epoch 450, Validation Loss: 53.839051306810376
Epoch 460, Validation Loss: 53.7310633814073
Epoch 470, Validation Loss: 53.468099183547054
Epoch 480, Validation Loss: 51.98606755838441
Epoch 490, Validation Loss: 57.09275631458288
Epoch 500, Validation Loss: 55.36697520310073
Epoch 510, Validation Loss: 55.47734978907049
Epoch 520, Validation Loss: 58.09980176476989
Epoch 530, Validation Loss: 70.74001075158274
Epoch 540, Validation Loss: 62.2104086998314
Epoch 550, Validation Loss: 59.21421788859612
Epoch 560, Validation Loss: 60.63140780463458
Epoch 570, Validation Loss: 59.65514037014108
Epoch 580, Validation Loss: 60.707707112579854
Epoch 590, Validation Loss: 60.69162930044494
Epoch 600, Validation Loss: 60.95283091606251
Epoch 610, Validation Loss: 58.204879590476914
Epoch 620, Validation Loss: 59.47026846734705
Epoch 630, Validation Loss: 60.43919791312254
Epoch 640, Validation Loss: 58.41253151341819
Epoch 650, Validation Loss: 60.367590804255016
Epoch 660, Validation Loss: 66.64333550262938
Epoch 670, Validation Loss: 60.877654743982845
Epoch 680, Validation Loss: 61.55062868487751
Epoch 690, Validation Loss: 48.44543500790919
Epoch 700, Validation Loss: 58.84185713949126
Epoch 710, Validation Loss: 57.547092676348164
Epoch 720, Validation Loss: 61.936873171561864
Epoch 730, Validation Loss: 56.95896614819951
Epoch 740, Validation Loss: 62.41236671606659
Epoch 750, Validation Loss: 61.46141338252444
Epoch 760, Validation Loss: 60.62086168834407
Epoch 770, Validation Loss: 62.32915417005188
Epoch 780, Validation Loss: 59.525638859861374
Epoch 790, Validation Loss: 60.427454890950855
Epoch 800, Validation Loss: 56.15496734202767
Epoch 810, Validation Loss: 57.318910464456714
Epoch 820, Validation Loss: 52.12964114671241
Epoch 830, Validation Loss: 44.02974218598842
Epoch 840, Validation Loss: 43.63883939467114
Epoch 850, Validation Loss: 40.646983665178546
Epoch 860, Validation Loss: 56.962783918724654
Epoch 870, Validation Loss: 42.20253572456286
Epoch 880, Validation Loss: 44.296514670505246
Epoch 890, Validation Loss: 49.901776055803886
Epoch 900, Validation Loss: 38.92709885011095
Epoch 910, Validation Loss: 44.58442542511292
Epoch 920, Validation Loss: 40.42939502657754
Epoch 930, Validation Loss: 46.234154407826374
Epoch 940, Validation Loss: 47.781954169412096
Epoch 950, Validation Loss: 46.3067057617074
Epoch 960, Validation Loss: 55.430834201807315
Epoch 970, Validation Loss: 52.85056002331758
Epoch 980, Validation Loss: 41.97538320798049
Epoch 990, Validation Loss: 49.641295766100384
