Epoch 0, Validation Loss: 488.75931791673173
Epoch 10, Validation Loss: 108.13721932746621
Epoch 20, Validation Loss: 66.34072242734236
Epoch 30, Validation Loss: 64.97285780743312
Epoch 40, Validation Loss: 63.07232858140194
Epoch 50, Validation Loss: 61.019489734814165
Epoch 60, Validation Loss: 59.09250479633021
Epoch 70, Validation Loss: 57.33526798937188
Epoch 80, Validation Loss: 55.74483540669007
Epoch 90, Validation Loss: 54.307614723928594
Epoch 100, Validation Loss: 53.00701812925557
Epoch 110, Validation Loss: 51.82611533821997
Epoch 120, Validation Loss: 50.74893239573535
Epoch 130, Validation Loss: 49.76106898866929
Epoch 140, Validation Loss: 48.849900216219766
Epoch 150, Validation Loss: 48.00454075188747
Epoch 160, Validation Loss: 47.21569157870968
Epoch 170, Validation Loss: 46.47544271363056
Epoch 180, Validation Loss: 45.77707218488029
Epoch 190, Validation Loss: 45.11486068640464
Epoch 200, Validation Loss: 44.48392940281307
Epoch 210, Validation Loss: 43.88010223793846
Epoch 220, Validation Loss: 43.2997907338445
Epoch 230, Validation Loss: 42.739898829334095
Epoch 240, Validation Loss: 42.197744388479094
Epoch 250, Validation Loss: 41.67099463491213
Epoch 260, Validation Loss: 41.157612994790746
Epoch 270, Validation Loss: 40.65581525044595
Epoch 280, Validation Loss: 40.16403327894822
Epoch 290, Validation Loss: 39.68088497313776
Epoch 300, Validation Loss: 39.20514921299259
Epoch 310, Validation Loss: 38.7357449764392
Epoch 320, Validation Loss: 38.27171385763657
Epoch 330, Validation Loss: 37.812205404642775
Epoch 340, Validation Loss: 37.356464803850265
Epoch 350, Validation Loss: 36.90382253132095
Epoch 360, Validation Loss: 36.4536856657867
Epoch 370, Validation Loss: 36.005530618282194
Epoch 380, Validation Loss: 35.55889708199492
Epoch 390, Validation Loss: 35.11338304512062
Epoch 400, Validation Loss: 34.66864074090946
Epoch 410, Validation Loss: 34.224373433834195
Epoch 420, Validation Loss: 33.7803329596923
Epoch 430, Validation Loss: 33.33631795096771
Epoch 440, Validation Loss: 32.8921726871993
Epoch 450, Validation Loss: 32.447786513541075
Epoch 460, Validation Loss: 32.00309376917772
Epoch 470, Validation Loss: 31.558074160776652
Epoch 480, Validation Loss: 31.112753504786053
Epoch 490, Validation Loss: 30.667204746370327
