Epoch 0, Validation Loss: 430.53090914514394
Epoch 10, Validation Loss: 22.756800943100476
Epoch 20, Validation Loss: 16.57433015357887
Epoch 30, Validation Loss: 15.505115096534475
Epoch 40, Validation Loss: 14.940337455418593
Epoch 50, Validation Loss: 10.077055648223398
Epoch 60, Validation Loss: 8.160003893121512
Epoch 70, Validation Loss: 7.679310914954794
Epoch 80, Validation Loss: 7.19139227636907
Epoch 90, Validation Loss: 6.670198848819758
Epoch 100, Validation Loss: 6.525491210936984
Epoch 110, Validation Loss: 21.465952797456563
Epoch 120, Validation Loss: 6.326444155315869
Epoch 130, Validation Loss: 6.455692837875636
Epoch 140, Validation Loss: 6.551874536846337
Epoch 150, Validation Loss: 6.647332256658138
Epoch 160, Validation Loss: 6.746863140135833
Epoch 170, Validation Loss: 6.850918679436332
Epoch 180, Validation Loss: 6.957825148824628
Epoch 190, Validation Loss: 7.062991702699475
Epoch 200, Validation Loss: 7.161323608156084
Epoch 210, Validation Loss: 7.251019386764964
Epoch 220, Validation Loss: 7.335652342726256
Epoch 230, Validation Loss: 7.422455445047746
Epoch 240, Validation Loss: 7.518522269955092
Epoch 250, Validation Loss: 7.62826944938368
Epoch 260, Validation Loss: 7.861671192862393
Epoch 270, Validation Loss: 7.853142927702379
Epoch 280, Validation Loss: 8.027724584846883
Epoch 290, Validation Loss: 8.377548374724013
Epoch 300, Validation Loss: 8.424123244044658
Epoch 310, Validation Loss: 8.68233611954782
Epoch 320, Validation Loss: 8.905627254110794
Epoch 330, Validation Loss: 9.048621153636288
Epoch 340, Validation Loss: 9.237554379136748
Epoch 350, Validation Loss: 9.426966107533298
Epoch 360, Validation Loss: 9.57295772735783
Epoch 370, Validation Loss: 9.688094631481118
Epoch 380, Validation Loss: 9.797862782457289
Epoch 390, Validation Loss: 9.899410063971928
Epoch 400, Validation Loss: 9.974162004089063
Epoch 410, Validation Loss: 10.011713718827313
Epoch 420, Validation Loss: 10.022557549790934
Epoch 430, Validation Loss: 10.023130102772186
Epoch 440, Validation Loss: 10.021117602164932
Epoch 450, Validation Loss: 10.014411651039774
Epoch 460, Validation Loss: 10.000733564753649
Epoch 470, Validation Loss: 9.986942751879935
Epoch 480, Validation Loss: 9.981561010065834
Epoch 490, Validation Loss: 9.985151944436586
