Epoch 0, Validation Loss: 71.27629168156462
Epoch 10, Validation Loss: 414393.9692916642
Epoch 20, Validation Loss: 159227.6508501474
Epoch 30, Validation Loss: 95461.55834728498
Epoch 40, Validation Loss: 66799.5773174408
Epoch 50, Validation Loss: 50149.699372168565
Epoch 60, Validation Loss: 39038.052985274146
Epoch 70, Validation Loss: 31019.888689887128
Epoch 80, Validation Loss: 24967.075500409148
Epoch 90, Validation Loss: 20271.351379560812
Epoch 100, Validation Loss: 16563.687531395863
Epoch 110, Validation Loss: 13600.495410343117
Epoch 120, Validation Loss: 11211.328140575204
Epoch 130, Validation Loss: 9272.015127205288
Epoch 140, Validation Loss: 7689.494217976577
Epoch 150, Validation Loss: 6392.565635074921
Epoch 160, Validation Loss: 5325.905536092327
Epoch 170, Validation Loss: 4446.005475392692
Epoch 180, Validation Loss: 3718.3180517574588
Epoch 190, Validation Loss: 3115.194309326375
Epoch 200, Validation Loss: 2614.360612865587
Epoch 210, Validation Loss: 2197.7741296830973
Epoch 220, Validation Loss: 1850.7503698495655
Epoch 230, Validation Loss: 1561.2900156687917
Epoch 240, Validation Loss: 1319.5540941139493
Epoch 250, Validation Loss: 1117.4510928893696
Epoch 260, Validation Loss: 948.3095680593491
Epoch 270, Validation Loss: 806.6167366433352
Epoch 280, Validation Loss: 687.8084823088891
Epoch 290, Validation Loss: 588.099761251352
Epoch 300, Validation Loss: 504.34699629939144
Epoch 310, Validation Loss: 433.9359711201723
Epoch 320, Validation Loss: 374.69017534935875
Epoch 330, Validation Loss: 324.79563905236023
Epoch 340, Validation Loss: 282.7391250497711
Epoch 350, Validation Loss: 247.2571871298401
Epoch 360, Validation Loss: 217.2940990671193
Epoch 370, Validation Loss: 191.96704856252086
Epoch 380, Validation Loss: 170.5372973078863
Epoch 390, Validation Loss: 152.3862523091561
Epoch 400, Validation Loss: 136.99558854313182
Epoch 410, Validation Loss: 123.93071966231439
Epoch 420, Validation Loss: 112.82703993762688
Epoch 430, Validation Loss: 103.37846318870984
Epoch 440, Validation Loss: 95.32786793426571
Epoch 450, Validation Loss: 88.45912617608082
Epoch 460, Validation Loss: 82.59044907755816
Epoch 470, Validation Loss: 77.56882865916367
Epoch 480, Validation Loss: 73.26539237883448
Epoch 490, Validation Loss: 69.57151859207254
