Epoch 0, Validation Loss: 121.08968476478013
Epoch 10, Validation Loss: 70.18365877048114
Epoch 20, Validation Loss: 69.60791283525299
Epoch 30, Validation Loss: 68.72413999845149
Epoch 40, Validation Loss: 67.50282786871772
Epoch 50, Validation Loss: 65.94566500838575
Epoch 60, Validation Loss: 64.00576544537901
Epoch 70, Validation Loss: 61.2525737419798
Epoch 80, Validation Loss: 56.13400375916722
Epoch 90, Validation Loss: 46.05141177662671
Epoch 100, Validation Loss: 33.02971369555967
Epoch 110, Validation Loss: 19.710627535671133
Epoch 120, Validation Loss: 13.667444461323397
Epoch 130, Validation Loss: 11.479257907146149
Epoch 140, Validation Loss: 10.694241756341945
Epoch 150, Validation Loss: 10.451799702250739
Epoch 160, Validation Loss: 10.371819956307641
Epoch 170, Validation Loss: 10.315986411421227
Epoch 180, Validation Loss: 10.238941912151935
Epoch 190, Validation Loss: 10.13052291291609
Epoch 200, Validation Loss: 9.991870627143232
Epoch 210, Validation Loss: 9.827747186151663
Epoch 220, Validation Loss: 9.647582622222457
Epoch 230, Validation Loss: 9.467153999223216
Epoch 240, Validation Loss: 9.30466788484411
Epoch 250, Validation Loss: 9.174183837883545
Epoch 260, Validation Loss: 9.0828997542149
Epoch 270, Validation Loss: 9.032541301458235
Epoch 280, Validation Loss: 9.021020750766871
Epoch 290, Validation Loss: 9.04319457932446
Epoch 300, Validation Loss: 9.091748101495469
Epoch 310, Validation Loss: 9.158477770511931
Epoch 320, Validation Loss: 9.235554242002728
Epoch 330, Validation Loss: 9.316469503497306
Epoch 340, Validation Loss: 9.39660086693115
Epoch 350, Validation Loss: 9.473405670318995
Epoch 360, Validation Loss: 9.54623255481934
Epoch 370, Validation Loss: 9.615693822235258
Epoch 380, Validation Loss: 9.68266335299445
Epoch 390, Validation Loss: 9.747355520251986
Epoch 400, Validation Loss: 9.80915362145394
Epoch 410, Validation Loss: 9.867219930298115
Epoch 420, Validation Loss: 9.921108119744606
Epoch 430, Validation Loss: 9.970841197730694
Epoch 440, Validation Loss: 10.016651902954806
Epoch 450, Validation Loss: 10.058747295800277
Epoch 460, Validation Loss: 10.097216855146291
Epoch 470, Validation Loss: 10.132038604284972
Epoch 480, Validation Loss: 10.163121070346008
Epoch 490, Validation Loss: 10.190347309989747
Epoch 500, Validation Loss: 10.213607295747874
Epoch 510, Validation Loss: 10.23281318305555
Epoch 520, Validation Loss: 10.247895640575788
Epoch 530, Validation Loss: 10.258782339756115
Epoch 540, Validation Loss: 10.265363277997013
Epoch 550, Validation Loss: 10.267454305667192
Epoch 560, Validation Loss: 10.264783986911333
Epoch 570, Validation Loss: 10.257048272475675
Epoch 580, Validation Loss: 10.24407702454979
Epoch 590, Validation Loss: 10.226082911728778
Epoch 600, Validation Loss: 10.203825436183042
Epoch 610, Validation Loss: 10.178504543343298
Epoch 620, Validation Loss: 10.151423224607228
Epoch 630, Validation Loss: 10.12366067260683
Epoch 640, Validation Loss: 10.095922513080751
Epoch 650, Validation Loss: 10.068551904959067
Epoch 660, Validation Loss: 10.041611323096392
Epoch 670, Validation Loss: 10.014969138395333
Epoch 680, Validation Loss: 9.988365807411173
Epoch 690, Validation Loss: 9.961457648709885
Epoch 700, Validation Loss: 9.933843757612088
Epoch 710, Validation Loss: 9.905082128709338
Epoch 720, Validation Loss: 9.874699715615781
Epoch 730, Validation Loss: 9.842199869706638
Epoch 740, Validation Loss: 9.807069683993637
Epoch 750, Validation Loss: 9.768789045670319
Epoch 760, Validation Loss: 9.726842462949257
Epoch 770, Validation Loss: 9.680733893575598
Epoch 780, Validation Loss: 9.630003916489827
Epoch 790, Validation Loss: 9.574247790497353
Epoch 800, Validation Loss: 9.513132379865773
Epoch 810, Validation Loss: 9.446409726068163
Epoch 820, Validation Loss: 9.373925371264264
Epoch 830, Validation Loss: 9.295620624684526
Epoch 840, Validation Loss: 9.211529957037087
Epoch 850, Validation Loss: 9.121777265479743
Epoch 860, Validation Loss: 9.026576640080442
Epoch 870, Validation Loss: 8.926242702986777
Epoch 880, Validation Loss: 8.82121170809308
Epoch 890, Validation Loss: 8.71206876879428
Epoch 900, Validation Loss: 8.599571831479592
Epoch 910, Validation Loss: 8.484661618590785
Epoch 920, Validation Loss: 8.368448873798588
Epoch 930, Validation Loss: 8.252174648786085
Epoch 940, Validation Loss: 8.13714496094154
Epoch 950, Validation Loss: 8.02464717185462
Epoch 960, Validation Loss: 7.915860717934807
Epoch 970, Validation Loss: 7.811777424273849
Epoch 980, Validation Loss: 7.713144885951583
Epoch 990, Validation Loss: 7.620440540133592
