Epoch 0, Validation Loss: 483.65692298005115
Epoch 10, Validation Loss: 29.2515754920097
Epoch 20, Validation Loss: 22.59549010201094
Epoch 30, Validation Loss: 19.063550825124267
Epoch 40, Validation Loss: 21.193124040690215
Epoch 50, Validation Loss: 19.264805610161208
Epoch 60, Validation Loss: 17.51136688794984
Epoch 70, Validation Loss: 16.662696889639523
Epoch 80, Validation Loss: 15.775726804807023
Epoch 90, Validation Loss: 14.5001423096642
Epoch 100, Validation Loss: 12.993286777304435
Epoch 110, Validation Loss: 11.437021701850979
Epoch 120, Validation Loss: 10.172851083910345
Epoch 130, Validation Loss: 9.354499857559453
Epoch 140, Validation Loss: 8.695742528725516
Epoch 150, Validation Loss: 8.04096292937759
Epoch 160, Validation Loss: 7.435170309401483
Epoch 170, Validation Loss: 6.963704200351906
Epoch 180, Validation Loss: 6.6281822987196
Epoch 190, Validation Loss: 6.411735785330623
Epoch 200, Validation Loss: 6.25904660034449
Epoch 210, Validation Loss: 6.143710474371666
Epoch 220, Validation Loss: 6.056925105678545
Epoch 230, Validation Loss: 5.999926137999264
Epoch 240, Validation Loss: 5.987306051047817
Epoch 250, Validation Loss: 6.035249135853634
Epoch 260, Validation Loss: 6.123235869394561
Epoch 270, Validation Loss: 6.215044491417712
Epoch 280, Validation Loss: 6.2934444511022924
Epoch 290, Validation Loss: 6.356909307562524
Epoch 300, Validation Loss: 6.408615213984376
Epoch 310, Validation Loss: 6.451018175810859
Epoch 320, Validation Loss: 6.48484391900426
Epoch 330, Validation Loss: 6.509593613375697
Epoch 340, Validation Loss: 6.52427435312311
Epoch 350, Validation Loss: 6.527966256735989
Epoch 360, Validation Loss: 6.520175789861515
Epoch 370, Validation Loss: 6.501225847244673
Epoch 380, Validation Loss: 6.473275631365503
Epoch 390, Validation Loss: 6.441643151358969
Epoch 400, Validation Loss: 6.411901192710022
Epoch 410, Validation Loss: 6.383899997037467
Epoch 420, Validation Loss: 6.354040871922146
Epoch 430, Validation Loss: 6.3204709570743915
Epoch 440, Validation Loss: 6.28344376474958
Epoch 450, Validation Loss: 6.243950220793747
Epoch 460, Validation Loss: 6.202993463395541
Epoch 470, Validation Loss: 6.161382988443676
Epoch 480, Validation Loss: 6.120795703718485
Epoch 490, Validation Loss: 6.1482338188986345
Epoch 500, Validation Loss: 6.065238429717002
Epoch 510, Validation Loss: 6.003064634590854
Epoch 520, Validation Loss: 5.9632396511705625
Epoch 530, Validation Loss: 5.933296789397408
Epoch 540, Validation Loss: 5.9125728864836615
Epoch 550, Validation Loss: 5.901257305465015
Epoch 560, Validation Loss: 5.898817296117805
Epoch 570, Validation Loss: 5.904178499505394
Epoch 580, Validation Loss: 5.91590236923302
Epoch 590, Validation Loss: 5.932684424788158
Epoch 600, Validation Loss: 5.953536760421836
Epoch 610, Validation Loss: 5.977557129195818
Epoch 620, Validation Loss: 6.00390250944663
Epoch 630, Validation Loss: 6.0318748306543215
Epoch 640, Validation Loss: 6.060963456248115
Epoch 650, Validation Loss: 6.090842571252965
Epoch 660, Validation Loss: 6.121347240951586
Epoch 670, Validation Loss: 6.1524429455082315
Epoch 680, Validation Loss: 6.184195390777345
Epoch 690, Validation Loss: 6.216742965228848
Epoch 700, Validation Loss: 6.250272395324415
Epoch 710, Validation Loss: 6.2849982584569934
Epoch 720, Validation Loss: 6.321147802437402
Epoch 730, Validation Loss: 6.358952203046133
Epoch 740, Validation Loss: 6.3986431228909435
Epoch 750, Validation Loss: 6.440450587524854
Epoch 760, Validation Loss: 6.484597422275943
Epoch 770, Validation Loss: 6.531288084398524
Epoch 780, Validation Loss: 6.580694072420388
Epoch 790, Validation Loss: 6.632940839625635
Epoch 800, Validation Loss: 6.68809946046352
Epoch 810, Validation Loss: 6.746179382516911
Epoch 820, Validation Loss: 6.807109028776904
Epoch 830, Validation Loss: 6.870689110721731
Epoch 840, Validation Loss: 6.936533056713849
Epoch 850, Validation Loss: 7.004083470320873
Epoch 860, Validation Loss: 7.072689394153689
Epoch 870, Validation Loss: 6.483744294716613
Epoch 880, Validation Loss: 6.780741529628915
Epoch 890, Validation Loss: 7.119015908197998
Epoch 900, Validation Loss: 6.971625814822914
Epoch 910, Validation Loss: 6.976127675055497
Epoch 920, Validation Loss: 7.2090993887756465
Epoch 930, Validation Loss: 6.995327565188558
Epoch 940, Validation Loss: 7.1591150158892605
Epoch 950, Validation Loss: 7.221939160913407
Epoch 960, Validation Loss: 7.36313892692729
Epoch 970, Validation Loss: 7.0598580251620895
Epoch 980, Validation Loss: 7.644818587898075
Epoch 990, Validation Loss: 7.342138384368263
