Epoch 0, Validation Loss: 483.5272878037484
Epoch 10, Validation Loss: 29.42634150755241
Epoch 20, Validation Loss: 23.159834314093555
Epoch 30, Validation Loss: 21.5225482757178
Epoch 40, Validation Loss: 21.223496691221282
Epoch 50, Validation Loss: 19.357950345275487
Epoch 60, Validation Loss: 17.119112802181885
Epoch 70, Validation Loss: 14.97007222279421
Epoch 80, Validation Loss: 13.052021020275824
Epoch 90, Validation Loss: 11.120649565224221
Epoch 100, Validation Loss: 9.64397134331674
Epoch 110, Validation Loss: 8.652703060268687
Epoch 120, Validation Loss: 7.9391867433617955
Epoch 130, Validation Loss: 7.181272936613446
Epoch 140, Validation Loss: 6.291110867044913
Epoch 150, Validation Loss: 5.771219093163532
Epoch 160, Validation Loss: 5.429204805999808
Epoch 170, Validation Loss: 5.201571544350915
Epoch 180, Validation Loss: 5.051465605837764
Epoch 190, Validation Loss: 4.958521299479887
Epoch 200, Validation Loss: 4.9041193637233915
Epoch 210, Validation Loss: 4.870654726114672
Epoch 220, Validation Loss: 4.853442320595966
Epoch 230, Validation Loss: 4.847361476364024
Epoch 240, Validation Loss: 4.84953259218367
Epoch 250, Validation Loss: 4.8581827727494815
Epoch 260, Validation Loss: 4.87130287200583
Epoch 270, Validation Loss: 4.8872318377573984
Epoch 280, Validation Loss: 4.9055496470173034
Epoch 290, Validation Loss: 4.926289190888676
Epoch 300, Validation Loss: 4.949369069753501
Epoch 310, Validation Loss: 4.974727627915006
Epoch 320, Validation Loss: 5.002539238710119
Epoch 330, Validation Loss: 5.033242994460747
Epoch 340, Validation Loss: 5.067402052910947
Epoch 350, Validation Loss: 5.105496703907043
Epoch 360, Validation Loss: 5.147750729368408
Epoch 370, Validation Loss: 5.194049254865964
Epoch 380, Validation Loss: 5.243956733431459
Epoch 390, Validation Loss: 5.296811441332664
Epoch 400, Validation Loss: 5.351853560464437
Epoch 410, Validation Loss: 5.4083259772853856
Epoch 420, Validation Loss: 5.465524380418615
Epoch 430, Validation Loss: 5.5228758601547
Epoch 440, Validation Loss: 5.580094227369692
Epoch 450, Validation Loss: 5.6372500569582416
Epoch 460, Validation Loss: 5.694596269356932
Epoch 470, Validation Loss: 5.752283709473467
Epoch 480, Validation Loss: 5.8102214743828515
Epoch 490, Validation Loss: 5.868144811721342
