Epoch 0, Validation Loss: 102.35968782781367
Epoch 10, Validation Loss: 47.76195880217313
Epoch 20, Validation Loss: 27.209383293499375
Epoch 30, Validation Loss: 32.74704048067613
Epoch 40, Validation Loss: 21.195527860903713
Epoch 50, Validation Loss: 69.25600837943769
Epoch 60, Validation Loss: 68.63173701829176
Epoch 70, Validation Loss: 68.43458857999433
Epoch 80, Validation Loss: 68.38433904839007
Epoch 90, Validation Loss: 68.43677557963063
Epoch 100, Validation Loss: 68.53260079985118
Epoch 110, Validation Loss: 68.64271397577707
Epoch 120, Validation Loss: 68.75317302634303
Epoch 130, Validation Loss: 68.96942242293726
Epoch 140, Validation Loss: 69.04857044665178
Epoch 150, Validation Loss: 69.00658655714072
Epoch 160, Validation Loss: 69.06090295908233
Epoch 170, Validation Loss: 69.0151984713825
Epoch 180, Validation Loss: 68.9762963031131
Epoch 190, Validation Loss: 68.97975068007695
Epoch 200, Validation Loss: 68.96371337571448
Epoch 210, Validation Loss: 68.9098891093366
Epoch 220, Validation Loss: 68.89349883131013
Epoch 230, Validation Loss: 68.86514547045718
Epoch 240, Validation Loss: 68.86784217936135
Epoch 250, Validation Loss: 68.86833871689169
Epoch 260, Validation Loss: 68.84641412211543
Epoch 270, Validation Loss: 68.84430561317137
Epoch 280, Validation Loss: 68.8278740385103
Epoch 290, Validation Loss: 68.84571984243095
Epoch 300, Validation Loss: 68.8389173376793
Epoch 310, Validation Loss: 68.83523093104691
Epoch 320, Validation Loss: 68.83469862164603
Epoch 330, Validation Loss: 68.8378401887925
Epoch 340, Validation Loss: 68.84085921736833
Epoch 350, Validation Loss: 68.8840337741434
Epoch 360, Validation Loss: 68.87929511368725
Epoch 370, Validation Loss: 68.90474114104954
Epoch 380, Validation Loss: 68.92053545351732
Epoch 390, Validation Loss: 68.93760036015746
Epoch 400, Validation Loss: 68.9698066843025
Epoch 410, Validation Loss: 68.99192646202285
Epoch 420, Validation Loss: 69.03742190230808
Epoch 430, Validation Loss: 69.04916618408419
Epoch 440, Validation Loss: 69.03194230285507
Epoch 450, Validation Loss: 69.1469334371062
Epoch 460, Validation Loss: 69.13385621190923
Epoch 470, Validation Loss: 69.18701898191973
Epoch 480, Validation Loss: 69.22359994696376
Epoch 490, Validation Loss: 69.2557308121128
