Epoch 0, Validation Loss: 121.9822143062471
Epoch 10, Validation Loss: 70.1709531041417
Epoch 20, Validation Loss: 69.58709496414328
Epoch 30, Validation Loss: 68.68651192954391
Epoch 40, Validation Loss: 67.43800570580362
Epoch 50, Validation Loss: 65.83462605046482
Epoch 60, Validation Loss: 63.796396982706305
Epoch 70, Validation Loss: 60.797661148947064
Epoch 80, Validation Loss: 55.14014802573571
Epoch 90, Validation Loss: 44.583643176601974
Epoch 100, Validation Loss: 31.5816095646516
Epoch 110, Validation Loss: 18.716526830838387
Epoch 120, Validation Loss: 13.334629111895728
Epoch 130, Validation Loss: 11.39641115201439
Epoch 140, Validation Loss: 10.718294034978106
Epoch 150, Validation Loss: 10.507285079982095
Epoch 160, Validation Loss: 10.424578195583326
Epoch 170, Validation Loss: 10.35187697489434
Epoch 180, Validation Loss: 10.254084809179181
Epoch 190, Validation Loss: 10.1259485870351
Epoch 200, Validation Loss: 9.970551174326943
Epoch 210, Validation Loss: 9.79443559718141
Epoch 220, Validation Loss: 9.609662170749761
Epoch 230, Validation Loss: 9.43286337189097
Epoch 240, Validation Loss: 9.280613176348174
Epoch 250, Validation Loss: 9.165924517674558
Epoch 260, Validation Loss: 9.096168340219883
Epoch 270, Validation Loss: 9.072295823316484
Epoch 280, Validation Loss: 9.08985133851561
Epoch 290, Validation Loss: 9.14096643857031
Epoch 300, Validation Loss: 9.216321359319906
Epoch 310, Validation Loss: 9.306832533129773
Epoch 320, Validation Loss: 9.404885863073918
Epoch 330, Validation Loss: 9.504874920710868
Epoch 340, Validation Loss: 9.603065282528968
Epoch 350, Validation Loss: 9.697094114051891
Epoch 360, Validation Loss: 9.785475976420104
Epoch 370, Validation Loss: 9.867315851031195
Epoch 380, Validation Loss: 9.942203361747861
Epoch 390, Validation Loss: 10.010163200388389
Epoch 400, Validation Loss: 10.07157109050858
Epoch 410, Validation Loss: 10.127012323769167
Epoch 420, Validation Loss: 10.177114105290325
Epoch 430, Validation Loss: 10.222404596305314
Epoch 440, Validation Loss: 10.26322900541768
Epoch 450, Validation Loss: 10.299718037680327
Epoch 460, Validation Loss: 10.331789187744747
Epoch 470, Validation Loss: 10.359164054480186
Epoch 480, Validation Loss: 10.381390544523033
Epoch 490, Validation Loss: 10.397861863092142
Epoch 500, Validation Loss: 10.40782582438605
Epoch 510, Validation Loss: 10.410379988559399
Epoch 520, Validation Loss: 10.4044509784975
Epoch 530, Validation Loss: 10.388761145699567
Epoch 540, Validation Loss: 10.361795452745454
Epoch 550, Validation Loss: 10.321799232278625
Epoch 560, Validation Loss: 10.266862043627805
Epoch 570, Validation Loss: 10.19515935187427
Epoch 580, Validation Loss: 10.105395220111513
Epoch 590, Validation Loss: 9.997370809723815
Epoch 600, Validation Loss: 9.872412158856315
Epoch 610, Validation Loss: 9.733294752084587
Epoch 620, Validation Loss: 9.583532905873666
Epoch 630, Validation Loss: 9.426374260683739
Epoch 640, Validation Loss: 9.264071436571033
Epoch 650, Validation Loss: 9.097768559054288
Epoch 660, Validation Loss: 8.927936617308681
Epoch 670, Validation Loss: 8.75502698920093
Epoch 680, Validation Loss: 8.57998843976212
Epoch 690, Validation Loss: 8.404459789202491
Epoch 700, Validation Loss: 8.230651369848665
Epoch 710, Validation Loss: 8.061040588767494
Epoch 720, Validation Loss: 7.898022992549762
Epoch 730, Validation Loss: 7.743625496195318
Epoch 740, Validation Loss: 7.599336422253303
Epoch 750, Validation Loss: 7.466056809500069
Epoch 760, Validation Loss: 7.344143320412211
Epoch 770, Validation Loss: 7.233501034323373
Epoch 780, Validation Loss: 7.13369009953123
Epoch 790, Validation Loss: 7.04402429962864
Epoch 800, Validation Loss: 6.963653937605585
Epoch 810, Validation Loss: 6.891635151845406
Epoch 820, Validation Loss: 6.826990685909652
Epoch 830, Validation Loss: 6.768763990099844
Epoch 840, Validation Loss: 6.716063440816377
Epoch 850, Validation Loss: 6.668091567052061
Epoch 860, Validation Loss: 6.624157216768539
Epoch 870, Validation Loss: 6.583673614866406
Epoch 880, Validation Loss: 6.546148229023797
Epoch 890, Validation Loss: 6.511169977585369
Epoch 900, Validation Loss: 6.478397045441471
Epoch 910, Validation Loss: 6.447546369771618
Epoch 920, Validation Loss: 6.418384649749449
Epoch 930, Validation Loss: 6.39072044197438
Epoch 940, Validation Loss: 6.3643970604675415
Epoch 950, Validation Loss: 6.339286221685125
Epoch 960, Validation Loss: 6.31528249215437
Epoch 970, Validation Loss: 6.29229859912671
Epoch 980, Validation Loss: 6.270261606339082
Epoch 990, Validation Loss: 6.249109890238994
