Epoch 0, Validation Loss: 483.45225318755473
Epoch 10, Validation Loss: 28.89693282820187
Epoch 20, Validation Loss: 22.62429117538383
Epoch 30, Validation Loss: 21.31446330363599
Epoch 40, Validation Loss: 21.174744477239972
Epoch 50, Validation Loss: 18.474195718619942
Epoch 60, Validation Loss: 17.32960056329444
Epoch 70, Validation Loss: 16.767586216221712
Epoch 80, Validation Loss: 16.086359158824592
Epoch 90, Validation Loss: 14.73551284384877
Epoch 100, Validation Loss: 12.171045112734951
Epoch 110, Validation Loss: 10.597868201235006
Epoch 120, Validation Loss: 9.950996586725067
Epoch 130, Validation Loss: 9.928416941719373
Epoch 140, Validation Loss: 8.857485672368112
Epoch 150, Validation Loss: 8.182921771939847
Epoch 160, Validation Loss: 7.652511490244155
Epoch 170, Validation Loss: 7.308495374367132
Epoch 180, Validation Loss: 7.114756318721004
Epoch 190, Validation Loss: 7.016473841234207
Epoch 200, Validation Loss: 6.971237020910796
Epoch 210, Validation Loss: 6.949541347163356
Epoch 220, Validation Loss: 6.934629893548371
Epoch 230, Validation Loss: 6.919887709122747
Epoch 240, Validation Loss: 6.904226071617719
Epoch 250, Validation Loss: 6.888381492744872
Epoch 260, Validation Loss: 6.872937590535122
Epoch 270, Validation Loss: 6.857567902353395
Epoch 280, Validation Loss: 6.840957797008168
Epoch 290, Validation Loss: 6.82117159372321
Epoch 300, Validation Loss: 6.79624608559239
Epoch 310, Validation Loss: 6.764722098726078
Epoch 320, Validation Loss: 6.725944328135839
Epoch 330, Validation Loss: 6.680110751518236
Epoch 340, Validation Loss: 6.628134657825897
Epoch 350, Validation Loss: 6.571413013999633
Epoch 360, Validation Loss: 6.51157083219705
Epoch 370, Validation Loss: 6.450213478827752
Epoch 380, Validation Loss: 6.388719335972285
Epoch 390, Validation Loss: 6.328119033958903
Epoch 400, Validation Loss: 6.269088660482665
Epoch 410, Validation Loss: 6.212046833092709
Epoch 420, Validation Loss: 6.157324187813938
Epoch 430, Validation Loss: 6.105364306554991
Epoch 440, Validation Loss: 6.056894892269368
Epoch 450, Validation Loss: 6.012993195985067
Epoch 460, Validation Loss: 5.975008739373775
Epoch 470, Validation Loss: 5.944383007641863
Epoch 480, Validation Loss: 5.922421360583593
Epoch 490, Validation Loss: 5.909988660992346
Epoch 500, Validation Loss: 5.907015020979612
Epoch 510, Validation Loss: 5.911795561012094
Epoch 520, Validation Loss: 5.920611251540136
Epoch 530, Validation Loss: 5.929294897062128
Epoch 540, Validation Loss: 5.939088679979226
Epoch 550, Validation Loss: 5.9593993365676114
Epoch 560, Validation Loss: 5.992793668186986
Epoch 570, Validation Loss: 6.374207043732451
Epoch 580, Validation Loss: 5.964983514801456
Epoch 590, Validation Loss: 5.935086447619134
Epoch 600, Validation Loss: 5.8495785782372955
Epoch 610, Validation Loss: 6.72166938497996
Epoch 620, Validation Loss: 6.060769043601172
Epoch 630, Validation Loss: 6.022336751731522
Epoch 640, Validation Loss: 7.135005145189406
Epoch 650, Validation Loss: 6.1214260140956585
Epoch 660, Validation Loss: 6.3063322105641575
Epoch 670, Validation Loss: 7.074337179556728
Epoch 680, Validation Loss: 6.226079374777966
Epoch 690, Validation Loss: 6.7842612171340155
Epoch 700, Validation Loss: 6.6311821685090955
Epoch 710, Validation Loss: 6.3991385185345715
Epoch 720, Validation Loss: 7.083476390046301
Epoch 730, Validation Loss: 6.538911754777179
Epoch 740, Validation Loss: 6.531215704283268
Epoch 750, Validation Loss: 7.1147067755562015
Epoch 760, Validation Loss: 6.593096664421649
Epoch 770, Validation Loss: 6.591095885754013
Epoch 780, Validation Loss: 7.086425222784475
Epoch 790, Validation Loss: 6.674282096665892
Epoch 800, Validation Loss: 6.608770647008265
Epoch 810, Validation Loss: 7.021054628493555
Epoch 820, Validation Loss: 6.7530352802746
Epoch 830, Validation Loss: 6.616868207224698
Epoch 840, Validation Loss: 6.949003609071211
Epoch 850, Validation Loss: 6.785437456911029
Epoch 860, Validation Loss: 6.6260876973906475
Epoch 870, Validation Loss: 6.94962629946351
Epoch 880, Validation Loss: 6.721283866971795
Epoch 890, Validation Loss: 6.633194174879789
Epoch 900, Validation Loss: 7.053200909265598
Epoch 910, Validation Loss: 6.639629515129374
Epoch 920, Validation Loss: 6.678959576387746
Epoch 930, Validation Loss: 6.833494097518737
Epoch 940, Validation Loss: 6.65608986651623
Epoch 950, Validation Loss: 7.042744434068269
Epoch 960, Validation Loss: 6.692535924128182
Epoch 970, Validation Loss: 6.976721779211968
Epoch 980, Validation Loss: 6.719654576070118
Epoch 990, Validation Loss: 6.90835293327523
