Epoch 0, Validation Loss: 483.51894987081363
Epoch 10, Validation Loss: 29.04528168429507
Epoch 20, Validation Loss: 23.508413939806797
Epoch 30, Validation Loss: 21.34273586264581
Epoch 40, Validation Loss: 21.025599464615322
Epoch 50, Validation Loss: 18.11877820927638
Epoch 60, Validation Loss: 16.87195222201464
Epoch 70, Validation Loss: 16.09018079928108
Epoch 80, Validation Loss: 14.962008317596332
Epoch 90, Validation Loss: 12.915009555087968
Epoch 100, Validation Loss: 11.326448424125187
Epoch 110, Validation Loss: 10.39834593899243
Epoch 120, Validation Loss: 9.73717479457101
Epoch 130, Validation Loss: 9.010705491015326
Epoch 140, Validation Loss: 7.996980157275376
Epoch 150, Validation Loss: 7.366116622546289
Epoch 160, Validation Loss: 7.046435438919566
Epoch 170, Validation Loss: 6.905830804144783
Epoch 180, Validation Loss: 6.840007002461735
Epoch 190, Validation Loss: 6.803173956184233
Epoch 200, Validation Loss: 6.775791918470392
Epoch 210, Validation Loss: 6.749403833854799
Epoch 220, Validation Loss: 6.718623237197427
Epoch 230, Validation Loss: 6.6809486345443565
Epoch 240, Validation Loss: 6.6402054748107116
Epoch 250, Validation Loss: 6.6033738882856605
Epoch 260, Validation Loss: 6.575532597255363
Epoch 270, Validation Loss: 6.558385158747804
Epoch 280, Validation Loss: 6.550967380939454
Epoch 290, Validation Loss: 6.550836636476265
Epoch 300, Validation Loss: 6.555196156270563
Epoch 310, Validation Loss: 6.561683420253257
Epoch 320, Validation Loss: 6.5686472814870225
Epoch 330, Validation Loss: 6.5749897061985
Epoch 340, Validation Loss: 6.579842219198683
Epoch 350, Validation Loss: 6.582319310191938
Epoch 360, Validation Loss: 6.581440312638317
Epoch 370, Validation Loss: 6.576191266438618
Epoch 380, Validation Loss: 6.565650968787791
Epoch 390, Validation Loss: 6.549106155323408
Epoch 400, Validation Loss: 6.526115418369125
Epoch 410, Validation Loss: 6.496539235324825
Epoch 420, Validation Loss: 6.460588570149126
Epoch 430, Validation Loss: 6.418903973075916
Epoch 440, Validation Loss: 6.372572368823664
Epoch 450, Validation Loss: 6.3229328258954665
Epoch 460, Validation Loss: 6.2711840949882625
Epoch 470, Validation Loss: 6.218112564325189
Epoch 480, Validation Loss: 6.164207894765161
Epoch 490, Validation Loss: 6.109955705754253
Epoch 500, Validation Loss: 6.055980792003862
Epoch 510, Validation Loss: 6.003031540071119
Epoch 520, Validation Loss: 5.95178754032992
Epoch 530, Validation Loss: 5.90238286745928
Epoch 540, Validation Loss: 5.853853750326681
Epoch 550, Validation Loss: 5.804170091891097
Epoch 560, Validation Loss: 5.752485663633393
Epoch 570, Validation Loss: 5.70809564328482
Epoch 580, Validation Loss: 5.708141400710776
Epoch 590, Validation Loss: 5.802083229324981
Epoch 600, Validation Loss: 5.961254038349758
Epoch 610, Validation Loss: 6.107728905718213
Epoch 620, Validation Loss: 6.230175506674427
Epoch 630, Validation Loss: 6.3510033191433095
Epoch 640, Validation Loss: 6.4886003387706355
Epoch 650, Validation Loss: 6.468764529693424
Epoch 660, Validation Loss: 6.660880389304116
Epoch 670, Validation Loss: 7.140040413704765
Epoch 680, Validation Loss: 7.307699227009323
Epoch 690, Validation Loss: 7.375995490240556
Epoch 700, Validation Loss: 7.494491851876856
Epoch 710, Validation Loss: 7.637595786433473
Epoch 720, Validation Loss: 7.8010926631028585
Epoch 730, Validation Loss: 7.960434383195209
Epoch 740, Validation Loss: 8.067671865960785
Epoch 750, Validation Loss: 8.146958963425647
Epoch 760, Validation Loss: 8.229565578482562
Epoch 770, Validation Loss: 8.312835851142687
Epoch 780, Validation Loss: 8.386647636029862
Epoch 790, Validation Loss: 8.450859530300205
Epoch 800, Validation Loss: 8.51071607123861
Epoch 810, Validation Loss: 8.567638280384426
Epoch 820, Validation Loss: 8.621330658669265
Epoch 830, Validation Loss: 8.67275514031547
Epoch 840, Validation Loss: 8.723258903721185
Epoch 850, Validation Loss: 8.773820763471143
Epoch 860, Validation Loss: 8.825395007408407
Epoch 870, Validation Loss: 8.878995909805168
Epoch 880, Validation Loss: 8.935537385809234
Epoch 890, Validation Loss: 8.995780556836891
Epoch 900, Validation Loss: 9.06031006196506
Epoch 910, Validation Loss: 9.129486923401732
Epoch 920, Validation Loss: 9.20341867951839
Epoch 930, Validation Loss: 9.281972140675194
Epoch 940, Validation Loss: 9.364854107864442
Epoch 950, Validation Loss: 9.451773307779789
Epoch 960, Validation Loss: 9.54262026331052
Epoch 970, Validation Loss: 9.637517149033402
Epoch 980, Validation Loss: 9.736654588003795
Epoch 990, Validation Loss: 9.840841001324621
