Epoch 0, Validation Loss: 483.6259344018445
Epoch 10, Validation Loss: 29.039676469088203
Epoch 20, Validation Loss: 22.408345497134334
Epoch 30, Validation Loss: 20.6478216143667
Epoch 40, Validation Loss: 21.152206691123382
Epoch 50, Validation Loss: 18.287499298089575
Epoch 60, Validation Loss: 16.821261445536663
Epoch 70, Validation Loss: 15.460505444121134
Epoch 80, Validation Loss: 12.707350560236183
Epoch 90, Validation Loss: 10.935539343864157
Epoch 100, Validation Loss: 10.168494032394074
Epoch 110, Validation Loss: 9.908335205657657
Epoch 120, Validation Loss: 10.026832327856594
Epoch 130, Validation Loss: 9.124598722311335
Epoch 140, Validation Loss: 8.562502533555886
Epoch 150, Validation Loss: 8.174035145955784
Epoch 160, Validation Loss: 7.809500670276411
Epoch 170, Validation Loss: 7.496753281779447
Epoch 180, Validation Loss: 7.263818381445807
Epoch 190, Validation Loss: 7.095406929586478
Epoch 200, Validation Loss: 6.972831226492115
Epoch 210, Validation Loss: 6.878403155350934
Epoch 220, Validation Loss: 6.798036898361761
Epoch 230, Validation Loss: 6.723910656650441
Epoch 240, Validation Loss: 6.653821412126927
Epoch 250, Validation Loss: 6.587666652835129
Epoch 260, Validation Loss: 6.525423031139183
Epoch 270, Validation Loss: 6.4670404799569985
Epoch 280, Validation Loss: 6.412459420502484
Epoch 290, Validation Loss: 6.361350963082498
Epoch 300, Validation Loss: 6.3129697228313235
Epoch 310, Validation Loss: 6.266280273396568
Epoch 320, Validation Loss: 6.220155208339942
Epoch 330, Validation Loss: 6.173306052745868
Epoch 340, Validation Loss: 6.124009838496297
Epoch 350, Validation Loss: 6.070667333884286
Epoch 360, Validation Loss: 6.013444970746483
Epoch 370, Validation Loss: 5.954755046585526
Epoch 380, Validation Loss: 5.898265569862477
Epoch 390, Validation Loss: 5.848234116609083
Epoch 400, Validation Loss: 5.80892777502698
Epoch 410, Validation Loss: 5.783504360027524
Epoch 420, Validation Loss: 5.77299601040324
Epoch 430, Validation Loss: 5.776248671942226
Epoch 440, Validation Loss: 5.790775627496613
Epoch 450, Validation Loss: 5.813740708030694
Epoch 460, Validation Loss: 5.842470589497137
Epoch 470, Validation Loss: 5.8745370435784094
Epoch 480, Validation Loss: 5.90772454025969
Epoch 490, Validation Loss: 5.940071890428151
Epoch 500, Validation Loss: 5.970006628145599
Epoch 510, Validation Loss: 5.996513237301555
Epoch 520, Validation Loss: 6.019231020294785
Epoch 530, Validation Loss: 6.03837250941859
Epoch 540, Validation Loss: 6.054457865101029
Epoch 550, Validation Loss: 6.068002202889939
Epoch 560, Validation Loss: 6.079312675706002
Epoch 570, Validation Loss: 6.088448866618226
Epoch 580, Validation Loss: 6.095302332454902
Epoch 590, Validation Loss: 6.099722828877051
Epoch 600, Validation Loss: 6.10163569536568
Epoch 610, Validation Loss: 6.101119126011699
Epoch 620, Validation Loss: 6.09842500412294
Epoch 630, Validation Loss: 6.093953913961696
Epoch 640, Validation Loss: 6.0882316991770775
Epoch 650, Validation Loss: 6.081911232964281
Epoch 660, Validation Loss: 6.075765281013519
Epoch 670, Validation Loss: 6.070641421154461
Epoch 680, Validation Loss: 6.067389554756939
Epoch 690, Validation Loss: 6.066786337475573
Epoch 700, Validation Loss: 6.069469879518681
Epoch 710, Validation Loss: 6.075875139033248
Epoch 720, Validation Loss: 6.086128006530651
Epoch 730, Validation Loss: 6.099845655631484
Epoch 740, Validation Loss: 6.115991099837307
Epoch 750, Validation Loss: 6.133495732098618
Epoch 760, Validation Loss: 6.152575224142213
Epoch 770, Validation Loss: 6.174281243514
Epoch 780, Validation Loss: 6.198873117370859
Epoch 790, Validation Loss: 6.225662740130185
Epoch 800, Validation Loss: 6.253634944561998
Epoch 810, Validation Loss: 6.281828772196445
Epoch 820, Validation Loss: 6.309447429495518
Epoch 830, Validation Loss: 6.335847208952275
Epoch 840, Validation Loss: 6.360497081477881
Epoch 850, Validation Loss: 6.382957384669532
Epoch 860, Validation Loss: 6.402887579987498
Epoch 870, Validation Loss: 6.420063916254787
Epoch 880, Validation Loss: 6.4343853652758325
Epoch 890, Validation Loss: 6.445860140702193
Epoch 900, Validation Loss: 6.454576006347422
Epoch 910, Validation Loss: 6.460661285728459
Epoch 920, Validation Loss: 6.464244522866942
Epoch 930, Validation Loss: 6.465421211919987
Epoch 940, Validation Loss: 6.464235282631861
Epoch 950, Validation Loss: 6.460680317506671
Epoch 960, Validation Loss: 6.45472086603277
Epoch 970, Validation Loss: 6.446352002077624
Epoch 980, Validation Loss: 6.436106043196191
Epoch 990, Validation Loss: 7.1865901644256445
