Epoch 0, Validation Loss: 483.48050705562827
Epoch 10, Validation Loss: 29.40486531210695
Epoch 20, Validation Loss: 22.520021549622218
Epoch 30, Validation Loss: 19.564732461598787
Epoch 40, Validation Loss: 20.673971259050138
Epoch 50, Validation Loss: 18.51098163293156
Epoch 60, Validation Loss: 16.73007127201278
Epoch 70, Validation Loss: 15.44143482517112
Epoch 80, Validation Loss: 13.002369775187832
Epoch 90, Validation Loss: 10.964489149984184
Epoch 100, Validation Loss: 10.122763697905116
Epoch 110, Validation Loss: 9.60461902163093
Epoch 120, Validation Loss: 8.792841596952917
Epoch 130, Validation Loss: 8.333200426656498
Epoch 140, Validation Loss: 7.977233353930715
Epoch 150, Validation Loss: 7.8010545559532956
Epoch 160, Validation Loss: 7.779873306229864
Epoch 170, Validation Loss: 7.835145705243913
Epoch 180, Validation Loss: 7.93061429998117
Epoch 190, Validation Loss: 8.049770189088846
Epoch 200, Validation Loss: 8.181956108920007
Epoch 210, Validation Loss: 8.30973022471681
Epoch 220, Validation Loss: 8.407588694978088
Epoch 230, Validation Loss: 8.463746379198197
Epoch 240, Validation Loss: 8.487485710995106
Epoch 250, Validation Loss: 8.491052777660368
Epoch 260, Validation Loss: 8.481513356996135
Epoch 270, Validation Loss: 8.462265855764818
Epoch 280, Validation Loss: 8.434683573208643
Epoch 290, Validation Loss: 8.398862912537075
Epoch 300, Validation Loss: 8.35394442575139
Epoch 310, Validation Loss: 8.298238894151783
Epoch 320, Validation Loss: 8.22942318403174
Epoch 330, Validation Loss: 8.145113517925541
Epoch 340, Validation Loss: 8.043779228327848
Epoch 350, Validation Loss: 7.925430542659154
Epoch 360, Validation Loss: 7.635253442271805
Epoch 370, Validation Loss: 7.332832130137464
Epoch 380, Validation Loss: 7.471315773172493
Epoch 390, Validation Loss: 7.326814950760315
Epoch 400, Validation Loss: 7.200467697004213
Epoch 410, Validation Loss: 7.112142485803284
Epoch 420, Validation Loss: 6.735536464478819
Epoch 430, Validation Loss: 6.770894377871521
Epoch 440, Validation Loss: 6.5903824946748735
Epoch 450, Validation Loss: 6.29532558446801
Epoch 460, Validation Loss: 6.384345982078388
Epoch 470, Validation Loss: 6.313560439615027
Epoch 480, Validation Loss: 5.863990407467469
Epoch 490, Validation Loss: 5.6545550738048815
Epoch 500, Validation Loss: 5.474396273561736
Epoch 510, Validation Loss: 5.380293708539493
Epoch 520, Validation Loss: 5.468607461465004
Epoch 530, Validation Loss: 5.082820931010928
Epoch 540, Validation Loss: 4.790917956195742
Epoch 550, Validation Loss: 4.967026434531031
Epoch 560, Validation Loss: 4.882121089083992
Epoch 570, Validation Loss: 4.912912868815731
Epoch 580, Validation Loss: 4.985385472865536
Epoch 590, Validation Loss: 5.0587809808533395
Epoch 600, Validation Loss: 5.18995689805991
Epoch 610, Validation Loss: 5.41346028746299
Epoch 620, Validation Loss: 5.625550467984947
Epoch 630, Validation Loss: 6.054860453378076
Epoch 640, Validation Loss: 5.48809719832681
Epoch 650, Validation Loss: 6.043682055057478
Epoch 660, Validation Loss: 5.8623130310337475
Epoch 670, Validation Loss: 5.526004996947987
Epoch 680, Validation Loss: 6.185715334706101
Epoch 690, Validation Loss: 6.104786722625199
Epoch 700, Validation Loss: 5.661294061162087
Epoch 710, Validation Loss: 6.303538677738248
Epoch 720, Validation Loss: 6.241857143301833
Epoch 730, Validation Loss: 5.905628293211082
Epoch 740, Validation Loss: 6.449676698821968
Epoch 750, Validation Loss: 6.4057845753779095
Epoch 760, Validation Loss: 6.205645891033676
Epoch 770, Validation Loss: 6.571427172034981
Epoch 780, Validation Loss: 6.491540854632885
Epoch 790, Validation Loss: 6.6493325587621
Epoch 800, Validation Loss: 6.6880743616272875
Epoch 810, Validation Loss: 6.761869543800214
Epoch 820, Validation Loss: 6.3043769767426
Epoch 830, Validation Loss: 6.202491704631668
Epoch 840, Validation Loss: 6.394749078315113
Epoch 850, Validation Loss: 6.534420305661378
Epoch 860, Validation Loss: 7.528856112743588
Epoch 870, Validation Loss: 6.2793181431851774
Epoch 880, Validation Loss: 6.447954817497571
Epoch 890, Validation Loss: 6.5056158865669556
Epoch 900, Validation Loss: 6.603207285969647
Epoch 910, Validation Loss: 6.465563463921808
Epoch 920, Validation Loss: 6.661359641908095
Epoch 930, Validation Loss: 6.23981770856764
Epoch 940, Validation Loss: 6.182137045247788
Epoch 950, Validation Loss: 6.205864347980373
Epoch 960, Validation Loss: 6.4016276987898735
Epoch 970, Validation Loss: 6.620853566281451
Epoch 980, Validation Loss: 6.792550433328583
Epoch 990, Validation Loss: 6.1512385311037
