Epoch 0, Validation Loss: 483.34401195583183
Epoch 10, Validation Loss: 28.8905003227541
Epoch 20, Validation Loss: 24.426383650457087
Epoch 30, Validation Loss: 24.317411171126317
Epoch 40, Validation Loss: 22.962147518278417
Epoch 50, Validation Loss: 19.437866760755384
Epoch 60, Validation Loss: 16.752411505777147
Epoch 70, Validation Loss: 14.799322171879528
Epoch 80, Validation Loss: 13.45412161226421
Epoch 90, Validation Loss: 12.223188895174166
Epoch 100, Validation Loss: 11.081833536377372
Epoch 110, Validation Loss: 10.133390257564598
Epoch 120, Validation Loss: 8.57261244608105
Epoch 130, Validation Loss: 8.217964845673334
Epoch 140, Validation Loss: 7.633461798720104
Epoch 150, Validation Loss: 7.212228256696519
Epoch 160, Validation Loss: 6.8083257355469975
Epoch 170, Validation Loss: 6.458685857015535
Epoch 180, Validation Loss: 6.169407652412762
Epoch 190, Validation Loss: 5.931667507840066
Epoch 200, Validation Loss: 5.736089658914345
Epoch 210, Validation Loss: 5.573746010644947
Epoch 220, Validation Loss: 5.435583099736413
Epoch 230, Validation Loss: 5.3165346280619135
Epoch 240, Validation Loss: 5.213745125516441
Epoch 250, Validation Loss: 5.124937556503524
Epoch 260, Validation Loss: 5.048189990595778
Epoch 270, Validation Loss: 4.981758243946385
Epoch 280, Validation Loss: 4.924030114216099
Epoch 290, Validation Loss: 4.873666280938997
Epoch 300, Validation Loss: 4.829734802193698
Epoch 310, Validation Loss: 4.7916887817632965
Epoch 320, Validation Loss: 4.759238323464222
Epoch 330, Validation Loss: 4.732203308320985
Epoch 340, Validation Loss: 4.710410472708398
Epoch 350, Validation Loss: 4.693673956833342
Epoch 360, Validation Loss: 4.681832066723531
Epoch 370, Validation Loss: 4.674781472432638
Epoch 380, Validation Loss: 4.672477155475991
Epoch 390, Validation Loss: 4.674899598013177
Epoch 400, Validation Loss: 4.682003183031931
Epoch 410, Validation Loss: 4.693662139329624
Epoch 420, Validation Loss: 4.709630841176708
Epoch 430, Validation Loss: 4.729527505987915
Epoch 440, Validation Loss: 4.752831959557529
Epoch 450, Validation Loss: 4.778875077318494
Epoch 460, Validation Loss: 4.806811928000717
Epoch 470, Validation Loss: 4.835608505947027
Epoch 480, Validation Loss: 4.8640914853052335
Epoch 490, Validation Loss: 4.8910759341582795
Epoch 500, Validation Loss: 4.91552306319864
Epoch 510, Validation Loss: 4.936654506276521
Epoch 520, Validation Loss: 4.95398688865272
Epoch 530, Validation Loss: 4.967313972988887
Epoch 540, Validation Loss: 4.976700405992931
Epoch 550, Validation Loss: 4.982530743910831
Epoch 560, Validation Loss: 4.985591768826076
Epoch 570, Validation Loss: 4.987107147672204
Epoch 580, Validation Loss: 4.988644167713476
Epoch 590, Validation Loss: 4.9918809375654005
Epoch 600, Validation Loss: 4.998332383689937
Epoch 610, Validation Loss: 5.009212116777676
Epoch 620, Validation Loss: 5.02548598678027
Epoch 630, Validation Loss: 5.047948956897944
Epoch 640, Validation Loss: 5.077168415591649
Epoch 650, Validation Loss: 5.113332992705886
Epoch 660, Validation Loss: 5.156235851996135
Epoch 670, Validation Loss: 5.20547546954986
Epoch 680, Validation Loss: 5.2607099774880215
Epoch 690, Validation Loss: 5.3218201130889815
Epoch 700, Validation Loss: 5.388982224772377
Epoch 710, Validation Loss: 5.462721412257288
Epoch 720, Validation Loss: 5.543971757288219
Epoch 730, Validation Loss: 5.6340704635649885
Epoch 740, Validation Loss: 5.734554612611901
Epoch 750, Validation Loss: 5.846707998310518
Epoch 760, Validation Loss: 5.970967413004934
Epoch 770, Validation Loss: 6.106365157213398
Epoch 780, Validation Loss: 6.250132754484571
Epoch 790, Validation Loss: 6.397608195126714
Epoch 800, Validation Loss: 6.542729063013636
Epoch 810, Validation Loss: 6.679290479178071
Epoch 820, Validation Loss: 6.802478510538884
Epoch 830, Validation Loss: 6.909694299495599
Epoch 840, Validation Loss: 7.000303543998296
Epoch 850, Validation Loss: 7.074875844139143
Epoch 860, Validation Loss: 7.1345855272062035
Epoch 870, Validation Loss: 7.1810288916063
Epoch 880, Validation Loss: 7.216571510860752
Epoch 890, Validation Loss: 7.253748574554303
Epoch 900, Validation Loss: 6.858537684673168
Epoch 910, Validation Loss: 7.257005708428039
Epoch 920, Validation Loss: 6.9749103983513425
Epoch 930, Validation Loss: 6.786938376903895
Epoch 940, Validation Loss: 7.722546566876938
Epoch 950, Validation Loss: 6.812575451341517
Epoch 960, Validation Loss: 6.925974794724102
Epoch 970, Validation Loss: 7.823057320379825
Epoch 980, Validation Loss: 7.207170529759154
Epoch 990, Validation Loss: 6.833220498404063
