Epoch 0, Validation Loss: 483.64925100124657
Epoch 10, Validation Loss: 29.543907898776016
Epoch 20, Validation Loss: 22.419603486215784
Epoch 30, Validation Loss: 18.573379847129562
Epoch 40, Validation Loss: 19.921892535634782
Epoch 50, Validation Loss: 17.976147766618514
Epoch 60, Validation Loss: 16.405618001380617
Epoch 70, Validation Loss: 15.495463787792483
Epoch 80, Validation Loss: 14.191079109075085
Epoch 90, Validation Loss: 11.93615366275112
Epoch 100, Validation Loss: 10.70051248271738
Epoch 110, Validation Loss: 10.371965825197549
Epoch 120, Validation Loss: 10.12968041233005
Epoch 130, Validation Loss: 9.665962433082129
Epoch 140, Validation Loss: 9.034258066964522
Epoch 150, Validation Loss: 8.490595303422205
Epoch 160, Validation Loss: 8.080920729845724
Epoch 170, Validation Loss: 7.785356264513098
Epoch 180, Validation Loss: 7.578339219683727
Epoch 190, Validation Loss: 7.454177934799245
Epoch 200, Validation Loss: 7.380083707181088
Epoch 210, Validation Loss: 7.320788255056038
Epoch 220, Validation Loss: 7.270746612373376
Epoch 230, Validation Loss: 7.223701856070193
Epoch 240, Validation Loss: 7.174840535662961
Epoch 250, Validation Loss: 7.122150060566967
Epoch 260, Validation Loss: 7.0652725563972405
Epoch 270, Validation Loss: 7.004160744409153
Epoch 280, Validation Loss: 6.940204206357372
Epoch 290, Validation Loss: 6.869520044562077
Epoch 300, Validation Loss: 6.818894509742252
Epoch 310, Validation Loss: 6.79409321608504
Epoch 320, Validation Loss: 6.787142136946214
Epoch 330, Validation Loss: 6.781282056823594
Epoch 340, Validation Loss: 6.773652785741886
Epoch 350, Validation Loss: 6.763871952752432
Epoch 360, Validation Loss: 6.749489086004773
Epoch 370, Validation Loss: 6.729690582838971
Epoch 380, Validation Loss: 6.704663699091599
Epoch 390, Validation Loss: 6.675238191064019
Epoch 400, Validation Loss: 6.642622656285366
Epoch 410, Validation Loss: 6.608132661414499
Epoch 420, Validation Loss: 6.572955518860203
Epoch 430, Validation Loss: 6.537978993483337
Epoch 440, Validation Loss: 6.503718227691965
Epoch 450, Validation Loss: 6.470369601684136
Epoch 460, Validation Loss: 6.43794625133333
Epoch 470, Validation Loss: 6.406402953296111
Epoch 480, Validation Loss: 6.37570631495644
Epoch 490, Validation Loss: 6.345863182570428
Epoch 500, Validation Loss: 6.316934182658208
Epoch 510, Validation Loss: 6.2890508102642135
Epoch 520, Validation Loss: 6.262433286453872
Epoch 530, Validation Loss: 6.23738823193153
Epoch 540, Validation Loss: 6.21427053033176
Epoch 550, Validation Loss: 6.193416190590655
Epoch 560, Validation Loss: 6.175070915142387
Epoch 570, Validation Loss: 6.159341311665104
Epoch 580, Validation Loss: 6.1461848099026755
Epoch 590, Validation Loss: 6.135437975974987
Epoch 600, Validation Loss: 6.126868961287243
Epoch 610, Validation Loss: 6.120233993929914
Epoch 620, Validation Loss: 6.115321016005796
Epoch 630, Validation Loss: 6.111972464603382
Epoch 640, Validation Loss: 6.110089039845759
Epoch 650, Validation Loss: 6.109622859657759
Epoch 660, Validation Loss: 6.110569377821617
Epoch 670, Validation Loss: 6.112963646582829
Epoch 680, Validation Loss: 6.116881116864923
Epoch 690, Validation Loss: 6.122439284741529
Epoch 700, Validation Loss: 6.129795283887161
Epoch 710, Validation Loss: 6.139135436166105
Epoch 720, Validation Loss: 6.15065483315452
Epoch 730, Validation Loss: 6.164527610514675
Epoch 740, Validation Loss: 6.180871264373741
Epoch 750, Validation Loss: 6.199710673515782
Epoch 760, Validation Loss: 6.2209492521033445
Epoch 770, Validation Loss: 6.244356031331861
Epoch 780, Validation Loss: 6.269577406912267
Epoch 790, Validation Loss: 6.296177664004551
Epoch 800, Validation Loss: 6.323674190706827
Epoch 810, Validation Loss: 6.329277914400681
Epoch 820, Validation Loss: 6.947877640753247
Epoch 830, Validation Loss: 6.62521843625398
Epoch 840, Validation Loss: 6.608187865190987
Epoch 850, Validation Loss: 5.997834054089737
Epoch 860, Validation Loss: 6.03633596962939
Epoch 870, Validation Loss: 6.261770842787534
Epoch 880, Validation Loss: 6.391025994952592
Epoch 890, Validation Loss: 6.500799443636689
Epoch 900, Validation Loss: 6.538678294592176
Epoch 910, Validation Loss: 6.548829774462443
Epoch 920, Validation Loss: 6.511445531829776
Epoch 930, Validation Loss: 6.440293219601536
Epoch 940, Validation Loss: 6.349606370973498
Epoch 950, Validation Loss: 6.272366278088775
Epoch 960, Validation Loss: 6.21293772275294
Epoch 970, Validation Loss: 6.174067282272339
Epoch 980, Validation Loss: 6.180113838735551
Epoch 990, Validation Loss: 6.2399731202940005
