Epoch 0, Validation Loss: 122.34244938994344
Epoch 10, Validation Loss: 70.15713056184529
Epoch 20, Validation Loss: 69.56014058699562
Epoch 30, Validation Loss: 68.64286967300309
Epoch 40, Validation Loss: 67.37539045805622
Epoch 50, Validation Loss: 65.75198999385114
Epoch 60, Validation Loss: 63.68771648794074
Epoch 70, Validation Loss: 60.64568113470596
Epoch 80, Validation Loss: 54.776831968059994
Epoch 90, Validation Loss: 43.29780377071436
Epoch 100, Validation Loss: 28.643521875572105
Epoch 110, Validation Loss: 16.66099974401155
Epoch 120, Validation Loss: 12.616543643643018
Epoch 130, Validation Loss: 11.139051575830925
Epoch 140, Validation Loss: 10.655944791253528
Epoch 150, Validation Loss: 10.494286557365552
Epoch 160, Validation Loss: 10.406210208494311
Epoch 170, Validation Loss: 10.314189257035684
Epoch 180, Validation Loss: 10.199891612063357
Epoch 190, Validation Loss: 10.063323625364399
Epoch 200, Validation Loss: 9.908552392149012
Epoch 210, Validation Loss: 9.741663704605951
Epoch 220, Validation Loss: 9.57199307348605
Epoch 230, Validation Loss: 9.411766879918813
Epoch 240, Validation Loss: 9.273837278208395
Epoch 250, Validation Loss: 9.166878255850968
Epoch 260, Validation Loss: 9.094236665054533
Epoch 270, Validation Loss: 9.0569482734917
Epoch 280, Validation Loss: 9.054758688312786
Epoch 290, Validation Loss: 9.085040023159957
Epoch 300, Validation Loss: 9.14238485308779
Epoch 310, Validation Loss: 9.219688115297481
Epoch 320, Validation Loss: 9.309759700410666
Epoch 330, Validation Loss: 9.406558671370881
Epoch 340, Validation Loss: 9.505767116311224
Epoch 350, Validation Loss: 9.604772503327295
Epoch 360, Validation Loss: 9.702242969033145
Epoch 370, Validation Loss: 9.797518352546735
Epoch 380, Validation Loss: 9.890052017275885
Epoch 390, Validation Loss: 9.979102551239473
Epoch 400, Validation Loss: 10.06373311807036
Epoch 410, Validation Loss: 10.142981802251093
Epoch 420, Validation Loss: 10.216021787943776
Epoch 430, Validation Loss: 10.282255963789453
Epoch 440, Validation Loss: 10.341362260661919
Epoch 450, Validation Loss: 10.393271379252482
Epoch 460, Validation Loss: 10.438060311489213
Epoch 470, Validation Loss: 10.475806308239873
Epoch 480, Validation Loss: 10.50646948431995
Epoch 490, Validation Loss: 10.529835239284468
Epoch 500, Validation Loss: 10.545506053798414
Epoch 510, Validation Loss: 10.552919123316919
Epoch 520, Validation Loss: 10.551373119885591
Epoch 530, Validation Loss: 10.54005745727063
Epoch 540, Validation Loss: 10.518083290083
Epoch 550, Validation Loss: 10.48451667698549
Epoch 560, Validation Loss: 10.438412410793935
Epoch 570, Validation Loss: 10.378843507949508
Epoch 580, Validation Loss: 10.304918708126232
Epoch 590, Validation Loss: 10.215783918134049
Epoch 600, Validation Loss: 10.11061961480002
Epoch 610, Validation Loss: 9.98867107835458
Epoch 620, Validation Loss: 9.849361592201781
Epoch 630, Validation Loss: 9.692526679987306
Epoch 640, Validation Loss: 9.518792747443435
Epoch 650, Validation Loss: 9.330108046126439
Epoch 660, Validation Loss: 9.130259367051098
Epoch 670, Validation Loss: 8.9247626255357
Epoch 680, Validation Loss: 8.719545022608742
Epoch 690, Validation Loss: 8.519169824555975
Epoch 700, Validation Loss: 8.326172674686921
Epoch 710, Validation Loss: 8.14171817587787
Epoch 720, Validation Loss: 7.966533778830684
Epoch 730, Validation Loss: 7.801396001701951
Epoch 740, Validation Loss: 7.647158259911648
Epoch 750, Validation Loss: 7.504582124804279
Epoch 760, Validation Loss: 7.374167791499699
Epoch 770, Validation Loss: 7.25605694030513
Epoch 780, Validation Loss: 7.150012293358294
Epoch 790, Validation Loss: 7.055454460326696
Epoch 800, Validation Loss: 6.9715334870503884
Epoch 810, Validation Loss: 6.89721715389823
Epoch 820, Validation Loss: 6.831383598594766
Epoch 830, Validation Loss: 6.772907985887933
Epoch 840, Validation Loss: 6.720732478798345
Epoch 850, Validation Loss: 6.673910402302603
Epoch 860, Validation Loss: 6.6316218766886665
Epoch 870, Validation Loss: 6.593166533360344
Epoch 880, Validation Loss: 6.557944271203709
Epoch 890, Validation Loss: 6.525435115697289
Epoch 900, Validation Loss: 6.49518542728823
Epoch 910, Validation Loss: 6.4668026532460035
Epoch 920, Validation Loss: 6.439956629590881
Epoch 930, Validation Loss: 6.414383165773654
Epoch 940, Validation Loss: 6.3898855098619824
Epoch 950, Validation Loss: 6.366330872103349
Epoch 960, Validation Loss: 6.343641541227978
Epoch 970, Validation Loss: 6.321782168675032
Epoch 980, Validation Loss: 6.300745785890946
Epoch 990, Validation Loss: 6.280540969835246
