Epoch 0, Validation Loss: 483.56175048828806
Epoch 10, Validation Loss: 28.795023528837113
Epoch 20, Validation Loss: 23.37039118904333
Epoch 30, Validation Loss: 20.954492181849666
Epoch 40, Validation Loss: 21.77866585028182
Epoch 50, Validation Loss: 18.92149179876074
Epoch 60, Validation Loss: 17.521216828386446
Epoch 70, Validation Loss: 16.491090313833766
Epoch 80, Validation Loss: 14.549577326166894
Epoch 90, Validation Loss: 11.930990695339123
Epoch 100, Validation Loss: 10.958448057987319
Epoch 110, Validation Loss: 10.209969344272826
Epoch 120, Validation Loss: 9.741361006587118
Epoch 130, Validation Loss: 9.41651161681101
Epoch 140, Validation Loss: 9.035653733181777
Epoch 150, Validation Loss: 8.650798343601352
Epoch 160, Validation Loss: 8.232974750789039
Epoch 170, Validation Loss: 7.841217952783673
Epoch 180, Validation Loss: 7.573057623260043
Epoch 190, Validation Loss: 7.317375882164422
Epoch 200, Validation Loss: 7.127945801782114
Epoch 210, Validation Loss: 6.996811853563298
Epoch 220, Validation Loss: 6.846184215935398
Epoch 230, Validation Loss: 6.80624839370136
Epoch 240, Validation Loss: 6.844623178391544
Epoch 250, Validation Loss: 6.9262017600908665
Epoch 260, Validation Loss: 6.882126709214281
Epoch 270, Validation Loss: 6.769699852395333
Epoch 280, Validation Loss: 6.77382504246733
Epoch 290, Validation Loss: 6.781481177771973
Epoch 300, Validation Loss: 6.729542595092686
Epoch 310, Validation Loss: 6.6685993751400785
Epoch 320, Validation Loss: 6.608862236221341
Epoch 330, Validation Loss: 6.554718863597049
Epoch 340, Validation Loss: 6.509709412610752
Epoch 350, Validation Loss: 6.474557207840166
Epoch 360, Validation Loss: 6.443410115360036
Epoch 370, Validation Loss: 6.402177008283728
Epoch 380, Validation Loss: 6.33578967420979
Epoch 390, Validation Loss: 6.2398664096877905
Epoch 400, Validation Loss: 6.124189221715522
Epoch 410, Validation Loss: 6.004939029876166
Epoch 420, Validation Loss: 5.89471767431304
Epoch 430, Validation Loss: 5.798906274421455
Epoch 440, Validation Loss: 5.7175541526534275
Epoch 450, Validation Loss: 5.648100844341976
Epoch 460, Validation Loss: 5.587167218416698
Epoch 470, Validation Loss: 5.531951599499269
Epoch 480, Validation Loss: 5.48155591386954
Epoch 490, Validation Loss: 5.437200670139373
Epoch 500, Validation Loss: 5.400687928940095
Epoch 510, Validation Loss: 5.372840020382145
Epoch 520, Validation Loss: 5.353841643083397
Epoch 530, Validation Loss: 5.340545837397815
Epoch 540, Validation Loss: 5.341130982808075
Epoch 550, Validation Loss: 5.3054257795411095
Epoch 560, Validation Loss: 5.443258424297635
Epoch 570, Validation Loss: 5.383090591063207
Epoch 580, Validation Loss: 5.338201009982187
Epoch 590, Validation Loss: 5.350772641955456
Epoch 600, Validation Loss: 5.371508855633683
Epoch 610, Validation Loss: 5.390290621026295
Epoch 620, Validation Loss: 5.409379369278443
Epoch 630, Validation Loss: 5.431148960382606
Epoch 640, Validation Loss: 5.451429402875163
Epoch 650, Validation Loss: 5.409384546230174
Epoch 660, Validation Loss: 5.482797542139871
Epoch 670, Validation Loss: 5.543363814846328
Epoch 680, Validation Loss: 5.601227201394469
Epoch 690, Validation Loss: 5.666754772379197
Epoch 700, Validation Loss: 5.739977805981888
Epoch 710, Validation Loss: 5.819407492033798
Epoch 720, Validation Loss: 5.90268693853726
Epoch 730, Validation Loss: 5.98287636467141
Epoch 740, Validation Loss: 5.9996092929844425
Epoch 750, Validation Loss: 5.90198459753358
Epoch 760, Validation Loss: 6.30450502319183
Epoch 770, Validation Loss: 6.551905635423008
Epoch 780, Validation Loss: 6.584210835311768
Epoch 790, Validation Loss: 6.509091254886368
Epoch 800, Validation Loss: 6.453053977897358
Epoch 810, Validation Loss: 6.571078077143225
Epoch 820, Validation Loss: 6.909778791931645
Epoch 830, Validation Loss: 7.110152564749221
Epoch 840, Validation Loss: 7.009994726462148
Epoch 850, Validation Loss: 6.885570420424887
Epoch 860, Validation Loss: 6.931381924032088
Epoch 870, Validation Loss: 7.278263024485125
Epoch 880, Validation Loss: 7.440746799696073
Epoch 890, Validation Loss: 7.292293012463094
Epoch 900, Validation Loss: 7.165865729171211
Epoch 910, Validation Loss: 7.322394957776321
Epoch 920, Validation Loss: 7.615398307462026
Epoch 930, Validation Loss: 7.610133149046233
Epoch 940, Validation Loss: 7.4477704514407055
Epoch 950, Validation Loss: 7.393545790256272
Epoch 960, Validation Loss: 7.642392363024763
Epoch 970, Validation Loss: 7.795533050738322
Epoch 980, Validation Loss: 7.725133199905304
Epoch 990, Validation Loss: 7.600684446817641
