Epoch 0, Validation Loss: 483.6235911882167
Epoch 10, Validation Loss: 29.035541971445912
Epoch 20, Validation Loss: 22.662515289965057
Epoch 30, Validation Loss: 19.198542137376496
Epoch 40, Validation Loss: 21.546848511919105
Epoch 50, Validation Loss: 19.71352939502053
Epoch 60, Validation Loss: 17.538536082452286
Epoch 70, Validation Loss: 16.449440387141948
Epoch 80, Validation Loss: 15.558259735065707
Epoch 90, Validation Loss: 14.144861700048688
Epoch 100, Validation Loss: 12.46160625478339
Epoch 110, Validation Loss: 11.521891347829973
Epoch 120, Validation Loss: 10.757579150766956
Epoch 130, Validation Loss: 10.093451282700594
Epoch 140, Validation Loss: 9.554676066764955
Epoch 150, Validation Loss: 9.233333409860117
Epoch 160, Validation Loss: 9.044136455141393
Epoch 170, Validation Loss: 8.902005687335452
Epoch 180, Validation Loss: 8.764083102293645
Epoch 190, Validation Loss: 8.631862597690523
Epoch 200, Validation Loss: 8.501776492668903
Epoch 210, Validation Loss: 8.402707206613766
Epoch 220, Validation Loss: 8.33777356107654
Epoch 230, Validation Loss: 8.296792987455245
Epoch 240, Validation Loss: 8.272928859049209
Epoch 250, Validation Loss: 8.261556641693083
Epoch 260, Validation Loss: 8.259115881360358
Epoch 270, Validation Loss: 8.26411404553067
Epoch 280, Validation Loss: 8.277860266123092
Epoch 290, Validation Loss: 8.30225694204802
Epoch 300, Validation Loss: 8.338315870245532
Epoch 310, Validation Loss: 8.386355680205575
Epoch 320, Validation Loss: 8.444313017871456
Epoch 330, Validation Loss: 8.507804125068054
Epoch 340, Validation Loss: 8.572507306784464
Epoch 350, Validation Loss: 8.634632070155071
Epoch 360, Validation Loss: 8.69097229473992
Epoch 370, Validation Loss: 8.739975369383659
Epoch 380, Validation Loss: 8.781638585381694
Epoch 390, Validation Loss: 8.816737970002324
Epoch 400, Validation Loss: 8.846432911602935
Epoch 410, Validation Loss: 8.872134436951344
Epoch 420, Validation Loss: 8.895434627975552
Epoch 430, Validation Loss: 8.918060311961895
Epoch 440, Validation Loss: 8.941316711217818
Epoch 450, Validation Loss: 8.962259471036118
Epoch 460, Validation Loss: 8.967351983073101
Epoch 470, Validation Loss: 8.95015025004232
Epoch 480, Validation Loss: 8.924971488889064
Epoch 490, Validation Loss: 8.903727118947785
Epoch 500, Validation Loss: 8.890684137407007
Epoch 510, Validation Loss: 8.886924729918498
Epoch 520, Validation Loss: 8.892159186034513
Epoch 530, Validation Loss: 8.904996359099226
Epoch 540, Validation Loss: 8.923181993361043
Epoch 550, Validation Loss: 8.944108755575227
Epoch 560, Validation Loss: 8.96530714168284
Epoch 570, Validation Loss: 8.98470385762064
Epoch 580, Validation Loss: 9.00070379859355
Epoch 590, Validation Loss: 9.012225066274492
Epoch 600, Validation Loss: 9.018731147347529
Epoch 610, Validation Loss: 9.020213390134392
Epoch 620, Validation Loss: 9.017060021432473
Epoch 630, Validation Loss: 9.009769423774596
Epoch 640, Validation Loss: 8.998291246893494
Epoch 650, Validation Loss: 8.980441298662702
Epoch 660, Validation Loss: 8.956287002053157
Epoch 670, Validation Loss: 8.93766786336656
Epoch 680, Validation Loss: 8.927806644152426
Epoch 690, Validation Loss: 8.92385273424923
Epoch 700, Validation Loss: 8.922812167754877
Epoch 710, Validation Loss: 8.922312191956658
Epoch 720, Validation Loss: 8.92149606553806
Epoch 730, Validation Loss: 8.921126555843008
Epoch 740, Validation Loss: 8.922529991458886
Epoch 750, Validation Loss: 8.926238058475892
Epoch 760, Validation Loss: 8.931613330060673
Epoch 770, Validation Loss: 8.937334382435335
Epoch 780, Validation Loss: 8.941936025529628
Epoch 790, Validation Loss: 8.944089312300658
Epoch 800, Validation Loss: 8.942691344059073
Epoch 810, Validation Loss: 8.936900954195126
Epoch 820, Validation Loss: 8.926212005693579
Epoch 830, Validation Loss: 8.910569841526511
Epoch 840, Validation Loss: 8.89045642619159
Epoch 850, Validation Loss: 8.866872868108588
Epoch 860, Validation Loss: 8.841222586491858
Epoch 870, Validation Loss: 8.815148384101793
Epoch 880, Validation Loss: 8.790363439791017
Epoch 890, Validation Loss: 8.76848159144101
Epoch 900, Validation Loss: 8.750840233728349
Epoch 910, Validation Loss: 8.73832968602664
Epoch 920, Validation Loss: 8.731275185482517
Epoch 930, Validation Loss: 8.72942325151484
Epoch 940, Validation Loss: 8.732043977389266
Epoch 950, Validation Loss: 8.738107145325031
Epoch 960, Validation Loss: 8.746470131582461
Epoch 970, Validation Loss: 8.756032526418613
Epoch 980, Validation Loss: 8.765838173789062
Epoch 990, Validation Loss: 8.775124477056675
