Epoch 0, Validation Loss: 121.16791806179036
Epoch 10, Validation Loss: 70.17027420443416
Epoch 20, Validation Loss: 69.58653755750942
Epoch 30, Validation Loss: 68.68707859528254
Epoch 40, Validation Loss: 67.44470093148466
Epoch 50, Validation Loss: 65.86020036738066
Epoch 60, Validation Loss: 63.86955896124711
Epoch 70, Validation Loss: 60.98021864793026
Epoch 80, Validation Loss: 55.528892426680365
Epoch 90, Validation Loss: 44.99375070142656
Epoch 100, Validation Loss: 30.874140908163028
Epoch 110, Validation Loss: 17.99537825658312
Epoch 120, Validation Loss: 13.148842209398898
Epoch 130, Validation Loss: 11.37391348311834
Epoch 140, Validation Loss: 10.77371464340301
Epoch 150, Validation Loss: 10.575194744271165
Epoch 160, Validation Loss: 10.476250986016488
Epoch 170, Validation Loss: 10.379197374594195
Epoch 180, Validation Loss: 10.258571599783382
Epoch 190, Validation Loss: 10.112176886521562
Epoch 200, Validation Loss: 9.94302120421594
Epoch 210, Validation Loss: 9.756636707897192
Epoch 220, Validation Loss: 9.5647540144524
Epoch 230, Validation Loss: 9.384660274307404
Epoch 240, Validation Loss: 9.231266649749486
Epoch 250, Validation Loss: 9.112903281447238
Epoch 260, Validation Loss: 9.033892886489356
Epoch 270, Validation Loss: 8.99587002893973
Epoch 280, Validation Loss: 8.996508213788038
Epoch 290, Validation Loss: 9.029540611262872
Epoch 300, Validation Loss: 9.086670329732891
Epoch 310, Validation Loss: 9.159587699644584
Epoch 320, Validation Loss: 9.241157243410086
Epoch 330, Validation Loss: 9.325847085689082
Epoch 340, Validation Loss: 9.409751335886137
Epoch 350, Validation Loss: 9.49046031616381
Epoch 360, Validation Loss: 9.566830188017699
Epoch 370, Validation Loss: 9.638617241608836
Epoch 380, Validation Loss: 9.706041655357687
Epoch 390, Validation Loss: 9.769437317277198
Epoch 400, Validation Loss: 9.82907979066145
Epoch 410, Validation Loss: 9.885145974796748
Epoch 420, Validation Loss: 9.937703846477692
Epoch 430, Validation Loss: 9.986691159718482
Epoch 440, Validation Loss: 10.031906782269191
Epoch 450, Validation Loss: 10.073035072239973
Epoch 460, Validation Loss: 10.109692086025362
Epoch 470, Validation Loss: 10.1414693672991
Epoch 480, Validation Loss: 10.167957872231849
Epoch 490, Validation Loss: 10.188746066867868
Epoch 500, Validation Loss: 10.203395305786794
Epoch 510, Validation Loss: 10.211406534945048
Epoch 520, Validation Loss: 10.212216047573682
Epoch 530, Validation Loss: 10.205296009541948
Epoch 540, Validation Loss: 10.190438773136517
Epoch 550, Validation Loss: 10.168155178749153
Epoch 560, Validation Loss: 10.139838280127853
Epoch 570, Validation Loss: 10.10738083368071
Epoch 580, Validation Loss: 10.072495364364164
Epoch 590, Validation Loss: 10.036276431369394
Epoch 600, Validation Loss: 9.99916545123191
Epoch 610, Validation Loss: 9.96112169150382
Epoch 620, Validation Loss: 9.921809905747946
Epoch 630, Validation Loss: 9.880737036530789
Epoch 640, Validation Loss: 9.837337744437841
Epoch 650, Validation Loss: 9.791024731085932
Epoch 660, Validation Loss: 9.741218044340425
Epoch 670, Validation Loss: 9.687362960881023
Epoch 680, Validation Loss: 9.6289422552514
Epoch 690, Validation Loss: 9.56548635935151
Epoch 700, Validation Loss: 9.49658420379013
Epoch 710, Validation Loss: 9.421897320765153
Epoch 720, Validation Loss: 9.341178099548461
Epoch 730, Validation Loss: 9.254289601816609
Epoch 740, Validation Loss: 9.161221940778477
Epoch 750, Validation Loss: 9.06210211210511
Epoch 760, Validation Loss: 8.95719930731051
Epoch 770, Validation Loss: 8.846930914626427
Epoch 780, Validation Loss: 8.731871747180186
Epoch 790, Validation Loss: 8.612762491662746
Epoch 800, Validation Loss: 8.490508741156532
Epoch 810, Validation Loss: 8.366163291450997
Epoch 820, Validation Loss: 8.240890912885698
Epoch 830, Validation Loss: 8.115922388286346
Epoch 840, Validation Loss: 7.992508557334507
Epoch 850, Validation Loss: 7.871882571462036
Epoch 860, Validation Loss: 7.755230027899152
Epoch 870, Validation Loss: 7.643656874688588
Epoch 880, Validation Loss: 7.538141906002301
Epoch 890, Validation Loss: 7.439470048291602
Epoch 900, Validation Loss: 7.348160460810635
Epoch 910, Validation Loss: 7.264415739918133
Epoch 920, Validation Loss: 7.188113748760029
Epoch 930, Validation Loss: 7.118845451233809
Epoch 940, Validation Loss: 7.055985302712236
Epoch 950, Validation Loss: 6.9987752439181525
Epoch 960, Validation Loss: 6.946407027673609
Epoch 970, Validation Loss: 6.898093056320031
Epoch 980, Validation Loss: 6.8531194673543965
Epoch 990, Validation Loss: 6.810878069634992
