Epoch 0, Validation Loss: 483.61093491119715
Epoch 10, Validation Loss: 29.589048690469774
Epoch 20, Validation Loss: 22.827514266001128
Epoch 30, Validation Loss: 20.026260884416597
Epoch 40, Validation Loss: 21.13588064245933
Epoch 50, Validation Loss: 19.688843122631678
Epoch 60, Validation Loss: 17.771444836727873
Epoch 70, Validation Loss: 16.83246980943084
Epoch 80, Validation Loss: 16.13377762685325
Epoch 90, Validation Loss: 15.210204121870426
Epoch 100, Validation Loss: 14.223359829811683
Epoch 110, Validation Loss: 13.044245901839924
Epoch 120, Validation Loss: 11.692019665721158
Epoch 130, Validation Loss: 10.456233683541027
Epoch 140, Validation Loss: 9.451363764573786
Epoch 150, Validation Loss: 8.742080711958984
Epoch 160, Validation Loss: 8.26573415843429
Epoch 170, Validation Loss: 7.947506927412246
Epoch 180, Validation Loss: 7.762404954713899
Epoch 190, Validation Loss: 7.654630855385781
Epoch 200, Validation Loss: 7.587716507946517
Epoch 210, Validation Loss: 7.547627422890203
Epoch 220, Validation Loss: 7.5273538697209235
Epoch 230, Validation Loss: 7.5200770799981935
Epoch 240, Validation Loss: 7.518623822450311
Epoch 250, Validation Loss: 7.517268252217518
Epoch 260, Validation Loss: 7.511002329432538
Epoch 270, Validation Loss: 7.4953544606702085
Epoch 280, Validation Loss: 7.4679373258260116
Epoch 290, Validation Loss: 7.429085290270234
Epoch 300, Validation Loss: 7.381121488412259
Epoch 310, Validation Loss: 7.327332568277113
Epoch 320, Validation Loss: 7.271199476119914
Epoch 330, Validation Loss: 7.215731517223449
Epoch 340, Validation Loss: 7.163032511054484
Epoch 350, Validation Loss: 7.1143525804647645
Epoch 360, Validation Loss: 7.070400509586269
Epoch 370, Validation Loss: 7.031542103316694
Epoch 380, Validation Loss: 6.998138675090025
Epoch 390, Validation Loss: 6.972255809196731
Epoch 400, Validation Loss: 6.960370546524862
Epoch 410, Validation Loss: 6.969600114813228
Epoch 420, Validation Loss: 6.9980549456008285
Epoch 430, Validation Loss: 7.036852916761292
Epoch 440, Validation Loss: 7.077970740607861
Epoch 450, Validation Loss: 7.1166639646086
Epoch 460, Validation Loss: 7.150971888806464
Epoch 470, Validation Loss: 7.181642787186975
Epoch 480, Validation Loss: 7.48494991148295
Epoch 490, Validation Loss: 7.399245448383898
Epoch 500, Validation Loss: 6.641836618656126
Epoch 510, Validation Loss: 7.936942941202729
Epoch 520, Validation Loss: 7.6976724731527515
Epoch 530, Validation Loss: 6.747870159536566
Epoch 540, Validation Loss: 8.339942035278241
Epoch 550, Validation Loss: 6.942938510787623
Epoch 560, Validation Loss: 7.525833977469751
Epoch 570, Validation Loss: 7.636360584731727
Epoch 580, Validation Loss: 7.2592023461247335
Epoch 590, Validation Loss: 7.991069294157615
Epoch 600, Validation Loss: 7.417032855778963
Epoch 610, Validation Loss: 7.856374843745604
Epoch 620, Validation Loss: 7.817633247665528
Epoch 630, Validation Loss: 7.659682595892928
Epoch 640, Validation Loss: 8.488256113417265
Epoch 650, Validation Loss: 7.784210970530239
Epoch 660, Validation Loss: 8.61938023039458
Epoch 670, Validation Loss: 8.070096646639877
Epoch 680, Validation Loss: 8.156494143911624
Epoch 690, Validation Loss: 8.854500809948313
Epoch 700, Validation Loss: 8.2990752120887
Epoch 710, Validation Loss: 8.540313285509198
Epoch 720, Validation Loss: 8.971539665357467
Epoch 730, Validation Loss: 8.606492063147627
Epoch 740, Validation Loss: 8.804021945800963
Epoch 750, Validation Loss: 9.191250608332927
Epoch 760, Validation Loss: 8.814624152162725
Epoch 770, Validation Loss: 8.92756150116223
Epoch 780, Validation Loss: 9.245837671987863
Epoch 790, Validation Loss: 9.117685587253343
Epoch 800, Validation Loss: 8.94714194911025
Epoch 810, Validation Loss: 8.988017227363715
Epoch 820, Validation Loss: 9.31075691168572
Epoch 830, Validation Loss: 9.159256898366493
Epoch 840, Validation Loss: 8.922748833198431
Epoch 850, Validation Loss: 8.97285828736556
Epoch 860, Validation Loss: 9.399331119329142
Epoch 870, Validation Loss: 9.55381194672279
Epoch 880, Validation Loss: 9.050779228242769
Epoch 890, Validation Loss: 9.039799820499132
Epoch 900, Validation Loss: 9.410513758476062
Epoch 910, Validation Loss: 9.81882988872806
Epoch 920, Validation Loss: 9.30428921284175
Epoch 930, Validation Loss: 9.19682878616479
Epoch 940, Validation Loss: 9.610745641064488
Epoch 950, Validation Loss: 9.878410659030802
Epoch 960, Validation Loss: 9.341957092863494
Epoch 970, Validation Loss: 9.374340010742397
Epoch 980, Validation Loss: 9.935039946144885
Epoch 990, Validation Loss: 9.600901936360303
