Epoch 0, Validation Loss: 483.6070942092437
Epoch 10, Validation Loss: 28.91609220442199
Epoch 20, Validation Loss: 23.259878952817093
Epoch 30, Validation Loss: 20.482796622812486
Epoch 40, Validation Loss: 21.64069342569218
Epoch 50, Validation Loss: 20.505224230114568
Epoch 60, Validation Loss: 18.203355473982757
Epoch 70, Validation Loss: 16.923659509386614
Epoch 80, Validation Loss: 15.953280374025711
Epoch 90, Validation Loss: 14.83182004125511
Epoch 100, Validation Loss: 13.867147243304212
Epoch 110, Validation Loss: 13.032279940472403
Epoch 120, Validation Loss: 12.386593238629588
Epoch 130, Validation Loss: 11.687618953764362
Epoch 140, Validation Loss: 11.004079680862848
Epoch 150, Validation Loss: 10.494209992400023
Epoch 160, Validation Loss: 10.114475452006166
Epoch 170, Validation Loss: 9.823068018195473
Epoch 180, Validation Loss: 9.52560542828381
Epoch 190, Validation Loss: 9.35473519519057
Epoch 200, Validation Loss: 9.25855139378932
Epoch 210, Validation Loss: 9.147662942677803
Epoch 220, Validation Loss: 9.012456163043117
Epoch 230, Validation Loss: 8.877327128450732
Epoch 240, Validation Loss: 8.766979876450764
Epoch 250, Validation Loss: 8.681986171610413
Epoch 260, Validation Loss: 8.612901156986135
Epoch 270, Validation Loss: 8.555550194252257
Epoch 280, Validation Loss: 8.508334216353946
Epoch 290, Validation Loss: 8.470228024239352
Epoch 300, Validation Loss: 8.440239374876233
Epoch 310, Validation Loss: 8.417242555536676
Epoch 320, Validation Loss: 8.400050441674944
Epoch 330, Validation Loss: 8.38764961119081
Epoch 340, Validation Loss: 8.379450511764096
Epoch 350, Validation Loss: 8.375440351312985
Epoch 360, Validation Loss: 8.376212641555966
Epoch 370, Validation Loss: 8.382888474865009
Epoch 380, Validation Loss: 8.396871707491897
Epoch 390, Validation Loss: 8.419123797301367
Epoch 400, Validation Loss: 8.448386261806991
Epoch 410, Validation Loss: 8.478962971609175
Epoch 420, Validation Loss: 8.50202334903379
Epoch 430, Validation Loss: 8.511775873663144
Epoch 440, Validation Loss: 8.508591559817342
Epoch 450, Validation Loss: 8.496011770193245
Epoch 460, Validation Loss: 8.477750183857268
Epoch 470, Validation Loss: 8.45697868068031
Epoch 480, Validation Loss: 8.426233701325346
Epoch 490, Validation Loss: 8.320356009738646
Epoch 500, Validation Loss: 8.117065098268009
Epoch 510, Validation Loss: 7.88554272331531
Epoch 520, Validation Loss: 8.52023602712362
Epoch 530, Validation Loss: 7.729145171967233
Epoch 540, Validation Loss: 8.384344544999308
Epoch 550, Validation Loss: 7.776312744463802
Epoch 560, Validation Loss: 8.54970259720072
Epoch 570, Validation Loss: 8.744323420421882
Epoch 580, Validation Loss: 8.194666764623802
Epoch 590, Validation Loss: 8.175609359478605
Epoch 600, Validation Loss: 8.204184957333297
Epoch 610, Validation Loss: 7.8213350110977204
Epoch 620, Validation Loss: 7.977204046757287
Epoch 630, Validation Loss: 7.9591550989947955
Epoch 640, Validation Loss: 7.934981668249804
Epoch 650, Validation Loss: 7.91273984715125
Epoch 660, Validation Loss: 7.895087744018018
Epoch 670, Validation Loss: 7.88381505383708
Epoch 680, Validation Loss: 7.882012082725943
Epoch 690, Validation Loss: 7.898533355693758
Epoch 700, Validation Loss: 7.957371603154146
Epoch 710, Validation Loss: 7.948766218323582
Epoch 720, Validation Loss: 7.631111775470224
Epoch 730, Validation Loss: 7.747886650546272
Epoch 740, Validation Loss: 7.8058534056067375
Epoch 750, Validation Loss: 7.856551377044956
Epoch 760, Validation Loss: 7.909113325397044
Epoch 770, Validation Loss: 7.965479392857183
Epoch 780, Validation Loss: 8.026337159206776
Epoch 790, Validation Loss: 8.091880309386875
Epoch 800, Validation Loss: 8.161948516166467
Epoch 810, Validation Loss: 8.236108600559191
Epoch 820, Validation Loss: 8.320049832846738
Epoch 830, Validation Loss: 8.376413454613521
Epoch 840, Validation Loss: 8.189441311401731
Epoch 850, Validation Loss: 8.409175047744503
Epoch 860, Validation Loss: 8.553160219637329
Epoch 870, Validation Loss: 9.57155338609058
Epoch 880, Validation Loss: 8.467888919542975
Epoch 890, Validation Loss: 8.682916463878538
Epoch 900, Validation Loss: 8.84767980985468
Epoch 910, Validation Loss: 9.704918188409268
Epoch 920, Validation Loss: 8.76170117768427
Epoch 930, Validation Loss: 8.988106711002075
Epoch 940, Validation Loss: 9.208375732917233
Epoch 950, Validation Loss: 9.076247538378349
Epoch 960, Validation Loss: 9.228698134112753
Epoch 970, Validation Loss: 9.446139471169488
Epoch 980, Validation Loss: 9.775335953016176
Epoch 990, Validation Loss: 9.465530387561984
