Epoch 0, Validation Loss: 121.91207760134428
Epoch 10, Validation Loss: 70.17027701260271
Epoch 20, Validation Loss: 69.57926360409988
Epoch 30, Validation Loss: 68.6596928691436
Epoch 40, Validation Loss: 67.36706116106348
Epoch 50, Validation Loss: 65.66285393110617
Epoch 60, Validation Loss: 63.36190907999809
Epoch 70, Validation Loss: 59.534542661177284
Epoch 80, Validation Loss: 51.438744597249574
Epoch 90, Validation Loss: 38.56361579332859
Epoch 100, Validation Loss: 23.980514349781032
Epoch 110, Validation Loss: 14.902588080039857
Epoch 120, Validation Loss: 11.911199764128495
Epoch 130, Validation Loss: 10.821359203591165
Epoch 140, Validation Loss: 10.488669946093838
Epoch 150, Validation Loss: 10.382378944480909
Epoch 160, Validation Loss: 10.311718570490749
Epoch 170, Validation Loss: 10.217083169998244
Epoch 180, Validation Loss: 10.087394193044991
Epoch 190, Validation Loss: 9.927713284307762
Epoch 200, Validation Loss: 9.748595979881928
Epoch 210, Validation Loss: 9.565326417952
Epoch 220, Validation Loss: 9.39734943114924
Epoch 230, Validation Loss: 9.263552872256609
Epoch 240, Validation Loss: 9.176520589480438
Epoch 250, Validation Loss: 9.139792892745204
Epoch 260, Validation Loss: 9.149403512642943
Epoch 270, Validation Loss: 9.19710934628912
Epoch 280, Validation Loss: 9.272933958739133
Epoch 290, Validation Loss: 9.366867216675937
Epoch 300, Validation Loss: 9.470014949821683
Epoch 310, Validation Loss: 9.575321074538087
Epoch 320, Validation Loss: 9.677899809903552
Epoch 330, Validation Loss: 9.774985565440753
Epoch 340, Validation Loss: 9.86554378114104
Epoch 350, Validation Loss: 9.949666176770759
Epoch 360, Validation Loss: 10.027933333774296
Epoch 370, Validation Loss: 10.100914865886187
Epoch 380, Validation Loss: 10.168882090613076
Epoch 390, Validation Loss: 10.231703715118407
Epoch 400, Validation Loss: 10.288911824529361
Epoch 410, Validation Loss: 10.339996816526826
Epoch 420, Validation Loss: 10.38481523582421
Epoch 430, Validation Loss: 10.423750343229475
Epoch 440, Validation Loss: 10.457484698233293
Epoch 450, Validation Loss: 10.486632268972318
Epoch 460, Validation Loss: 10.511488349835666
Epoch 470, Validation Loss: 10.531952949784369
Epoch 480, Validation Loss: 10.547567646517164
Epoch 490, Validation Loss: 10.557596770437067
Epoch 500, Validation Loss: 10.561110111268247
Epoch 510, Validation Loss: 10.557049364109961
Epoch 520, Validation Loss: 10.544276528677807
Epoch 530, Validation Loss: 10.521612318896572
Epoch 540, Validation Loss: 10.487881515250978
Epoch 550, Validation Loss: 10.44199559028152
Epoch 560, Validation Loss: 10.383121636810273
Epoch 570, Validation Loss: 10.310981844015712
Epoch 580, Validation Loss: 10.226215376468778
Epoch 590, Validation Loss: 10.130497153317648
Epoch 600, Validation Loss: 10.026077959999729
Epoch 610, Validation Loss: 9.914927224083655
Epoch 620, Validation Loss: 9.798132980960714
Epoch 630, Validation Loss: 9.675910220261255
Epoch 640, Validation Loss: 9.547999378915492
Epoch 650, Validation Loss: 9.414096746394392
Epoch 660, Validation Loss: 9.274137999996023
Epoch 670, Validation Loss: 9.128435526086628
Epoch 680, Validation Loss: 8.977738977708762
Epoch 690, Validation Loss: 8.823260793343007
Epoch 700, Validation Loss: 8.666649531718138
Epoch 710, Validation Loss: 8.509877309851698
Epoch 720, Validation Loss: 8.355046360770363
Epoch 730, Validation Loss: 8.204165724982994
Epoch 740, Validation Loss: 8.058960875653137
Epoch 750, Validation Loss: 7.920756876675608
Epoch 760, Validation Loss: 7.790442566639725
Epoch 770, Validation Loss: 7.668498646723437
Epoch 780, Validation Loss: 7.555062840982423
Epoch 790, Validation Loss: 7.450007406264168
Epoch 800, Validation Loss: 7.35301205514192
Epoch 810, Validation Loss: 7.263623852358942
Epoch 820, Validation Loss: 7.1813023342077384
Epoch 830, Validation Loss: 7.105452410471709
Epoch 840, Validation Loss: 7.035449835589827
Epoch 850, Validation Loss: 6.970664378723751
Epoch 860, Validation Loss: 6.910484105349007
Epoch 870, Validation Loss: 6.854340626355312
Epoch 880, Validation Loss: 6.801731446359517
Epoch 890, Validation Loss: 6.75223423141727
Epoch 900, Validation Loss: 6.705509992824264
Epoch 910, Validation Loss: 6.661296064220928
Epoch 920, Validation Loss: 6.619392522339825
Epoch 930, Validation Loss: 6.579646194602213
Epoch 940, Validation Loss: 6.541935397340488
Epoch 950, Validation Loss: 6.506157271889695
Epoch 960, Validation Loss: 6.472218595747234
Epoch 970, Validation Loss: 6.440030228063574
Epoch 980, Validation Loss: 6.409504771114305
Epoch 990, Validation Loss: 6.380556585213571
