Epoch 0, Validation Loss: 122.79513894826282
Epoch 10, Validation Loss: 70.16938381782703
Epoch 20, Validation Loss: 69.58188217297402
Epoch 30, Validation Loss: 68.6733054450222
Epoch 40, Validation Loss: 67.41349317065863
Epoch 50, Validation Loss: 65.79682732801436
Epoch 60, Validation Loss: 63.73911004492351
Epoch 70, Validation Loss: 60.676563107321165
Epoch 80, Validation Loss: 54.69923035369767
Epoch 90, Validation Loss: 43.68490835196013
Epoch 100, Validation Loss: 30.578291945232433
Epoch 110, Validation Loss: 18.35126794250331
Epoch 120, Validation Loss: 13.228227345027415
Epoch 130, Validation Loss: 11.303151990648855
Epoch 140, Validation Loss: 10.626832479316388
Epoch 150, Validation Loss: 10.42289477611086
Epoch 160, Validation Loss: 10.353207324353951
Epoch 170, Validation Loss: 10.294634498205154
Epoch 180, Validation Loss: 10.207957822421143
Epoch 190, Validation Loss: 10.086454142088849
Epoch 200, Validation Loss: 9.934180152007313
Epoch 210, Validation Loss: 9.759276953329445
Epoch 220, Validation Loss: 9.574994592663824
Epoch 230, Validation Loss: 9.400421595308414
Epoch 240, Validation Loss: 9.255523681610654
Epoch 250, Validation Loss: 9.154512617381275
Epoch 260, Validation Loss: 9.103586554471768
Epoch 270, Validation Loss: 9.101960145026252
Epoch 280, Validation Loss: 9.143622524660412
Epoch 290, Validation Loss: 9.219327980066723
Epoch 300, Validation Loss: 9.318577732534658
Epoch 310, Validation Loss: 9.431214475093142
Epoch 320, Validation Loss: 9.548489816910097
Epoch 330, Validation Loss: 9.663667086713005
Epoch 340, Validation Loss: 9.772219738468173
Epoch 350, Validation Loss: 9.871664581496436
Epoch 360, Validation Loss: 9.961146216374594
Epoch 370, Validation Loss: 10.040928844752878
Epoch 380, Validation Loss: 10.111888470853344
Epoch 390, Validation Loss: 10.175052321986355
Epoch 400, Validation Loss: 10.231264686979548
Epoch 410, Validation Loss: 10.281052899169085
Epoch 420, Validation Loss: 10.324666009086627
Epoch 430, Validation Loss: 10.362192734290216
Epoch 440, Validation Loss: 10.393658163069219
Epoch 450, Validation Loss: 10.419013827564907
Epoch 460, Validation Loss: 10.438028151884492
Epoch 470, Validation Loss: 10.450160467194161
Epoch 480, Validation Loss: 10.45447903553409
Epoch 490, Validation Loss: 10.449645422092603
Epoch 500, Validation Loss: 10.433982442879815
Epoch 510, Validation Loss: 10.405643276161072
Epoch 520, Validation Loss: 10.362870406655828
Epoch 530, Validation Loss: 10.304271378579589
Epoch 540, Validation Loss: 10.228989279910008
Epoch 550, Validation Loss: 10.13667560016491
Epoch 560, Validation Loss: 10.0273058390723
Epoch 570, Validation Loss: 9.901025731950345
Epoch 580, Validation Loss: 9.758218092358426
Epoch 590, Validation Loss: 9.599802654376186
Epoch 600, Validation Loss: 9.427586405053324
Epoch 610, Validation Loss: 9.24443311057255
Epoch 620, Validation Loss: 9.0541290456408
Epoch 630, Validation Loss: 8.860989520788028
Epoch 640, Validation Loss: 8.669362380932437
Epoch 650, Validation Loss: 8.483183589022348
Epoch 660, Validation Loss: 8.305667538230173
Epoch 670, Validation Loss: 8.139149196823169
Epoch 680, Validation Loss: 7.985064339472639
Epoch 690, Validation Loss: 7.844039555079215
Epoch 700, Validation Loss: 7.716052543783843
Epoch 710, Validation Loss: 7.600619346653209
Epoch 720, Validation Loss: 7.496971936087192
Epoch 730, Validation Loss: 7.40420255748833
Epoch 740, Validation Loss: 7.321363288069117
Epoch 750, Validation Loss: 7.247516739891278
Epoch 760, Validation Loss: 7.181739080409838
Epoch 770, Validation Loss: 7.1230876850268885
Epoch 780, Validation Loss: 7.070567598487936
Epoch 790, Validation Loss: 7.023145707560785
Epoch 800, Validation Loss: 6.979832072162644
Epoch 810, Validation Loss: 6.939780488482112
Epoch 820, Validation Loss: 6.902333925463009
Epoch 830, Validation Loss: 6.866995839341023
Epoch 840, Validation Loss: 6.833373783904878
Epoch 850, Validation Loss: 6.801144859116096
Epoch 860, Validation Loss: 6.770052306189345
Epoch 870, Validation Loss: 6.739913406909675
Epoch 880, Validation Loss: 6.710619713164326
Epoch 890, Validation Loss: 6.682125200420644
Epoch 900, Validation Loss: 6.654427863933029
Epoch 910, Validation Loss: 6.627551492439781
Epoch 920, Validation Loss: 6.601531377520281
Epoch 930, Validation Loss: 6.576404763770541
Epoch 940, Validation Loss: 6.552205284437718
Epoch 950, Validation Loss: 6.528960199886934
Epoch 960, Validation Loss: 6.506689387390371
Epoch 970, Validation Loss: 6.485405325504821
Epoch 980, Validation Loss: 6.465113592026974
Epoch 990, Validation Loss: 6.44581359599236
