Epoch 0, Validation Loss: 483.80104657536447
Epoch 10, Validation Loss: 12.6452845733586
Epoch 20, Validation Loss: 13.868625424795061
Epoch 30, Validation Loss: 12.601603248519016
Epoch 40, Validation Loss: 10.4061832026351
Epoch 50, Validation Loss: 8.352730509356846
Epoch 60, Validation Loss: 7.192223443283266
Epoch 70, Validation Loss: 7.017659501169515
Epoch 80, Validation Loss: 7.322183548768703
Epoch 90, Validation Loss: 5.857528654141574
Epoch 100, Validation Loss: 8.241957872297268
Epoch 110, Validation Loss: 5.870750599568355
Epoch 120, Validation Loss: 9.171148274876003
Epoch 130, Validation Loss: 6.092777774893501
Epoch 140, Validation Loss: 5.997669939371053
Epoch 150, Validation Loss: 5.910790864698207
Epoch 160, Validation Loss: 6.800736505977496
Epoch 170, Validation Loss: 6.5346405395608205
Epoch 180, Validation Loss: 7.733911901788922
Epoch 190, Validation Loss: 6.090535306257951
Epoch 200, Validation Loss: 6.168527706965167
Epoch 210, Validation Loss: 7.170425066301559
Epoch 220, Validation Loss: 6.352418834478412
Epoch 230, Validation Loss: 7.186810511821905
Epoch 240, Validation Loss: 6.263229712568531
Epoch 250, Validation Loss: 6.307373085558776
Epoch 260, Validation Loss: 6.571425832215419
Epoch 270, Validation Loss: 6.291462978189451
Epoch 280, Validation Loss: 9.18621263052163
Epoch 290, Validation Loss: 6.754885600959811
Epoch 300, Validation Loss: 7.195047877478846
Epoch 310, Validation Loss: 6.29564827991861
Epoch 320, Validation Loss: 6.205174765567289
Epoch 330, Validation Loss: 9.100430132007379
Epoch 340, Validation Loss: 6.623395932742401
Epoch 350, Validation Loss: 6.860839610701458
Epoch 360, Validation Loss: 6.333211692122341
Epoch 370, Validation Loss: 6.142994906346255
Epoch 380, Validation Loss: 8.505554239656755
Epoch 390, Validation Loss: 6.627829943739155
Epoch 400, Validation Loss: 7.069295040331717
Epoch 410, Validation Loss: 6.287122907498902
Epoch 420, Validation Loss: 6.03325578346072
Epoch 430, Validation Loss: 8.347444773172656
Epoch 440, Validation Loss: 6.438949432217655
Epoch 450, Validation Loss: 6.8918122278077325
Epoch 460, Validation Loss: 6.265752329191575
Epoch 470, Validation Loss: 5.887772422137322
Epoch 480, Validation Loss: 8.234789845029711
Epoch 490, Validation Loss: 6.1678352426491525
Epoch 500, Validation Loss: 7.72703909883167
Epoch 510, Validation Loss: 6.036822074667976
Epoch 520, Validation Loss: 5.973882938735887
Epoch 530, Validation Loss: 6.712562860126681
Epoch 540, Validation Loss: 5.890219564027036
Epoch 550, Validation Loss: 8.389043062405756
Epoch 560, Validation Loss: 6.192081517631066
Epoch 570, Validation Loss: 7.55960271882255
Epoch 580, Validation Loss: 6.081244460241817
Epoch 590, Validation Loss: 5.760215864027196
Epoch 600, Validation Loss: 7.512760169795463
Epoch 610, Validation Loss: 6.235739435018558
Epoch 620, Validation Loss: 7.705030238267879
Epoch 630, Validation Loss: 6.017870420532706
Epoch 640, Validation Loss: 5.72485546200087
Epoch 650, Validation Loss: 7.925174238825089
Epoch 660, Validation Loss: 6.23008905711647
Epoch 670, Validation Loss: 6.793867818659683
Epoch 680, Validation Loss: 6.626237470525858
Epoch 690, Validation Loss: 6.178261383335669
Epoch 700, Validation Loss: 7.125943594960618
Epoch 710, Validation Loss: 6.586648665376067
Epoch 720, Validation Loss: 6.115413616964572
Epoch 730, Validation Loss: 6.755702712303513
Epoch 740, Validation Loss: 7.866292740242659
Epoch 750, Validation Loss: 6.212140800909163
Epoch 760, Validation Loss: 5.8608830859577825
Epoch 770, Validation Loss: 7.280649525378966
Epoch 780, Validation Loss: 7.680473170396947
Epoch 790, Validation Loss: 6.056080366557457
Epoch 800, Validation Loss: 5.904776904939101
Epoch 810, Validation Loss: 6.8831261466123586
Epoch 820, Validation Loss: 8.070170015807578
Epoch 830, Validation Loss: 6.10788633595381
Epoch 840, Validation Loss: 6.027288389260815
Epoch 850, Validation Loss: 6.727212870829034
Epoch 860, Validation Loss: 8.294402125118754
Epoch 870, Validation Loss: 6.510252293313001
Epoch 880, Validation Loss: 6.174561859233756
Epoch 890, Validation Loss: 5.890049418128906
Epoch 900, Validation Loss: 7.058315448752414
Epoch 910, Validation Loss: 8.316922211891601
Epoch 920, Validation Loss: 6.9167626409321965
Epoch 930, Validation Loss: 6.212885323821331
Epoch 940, Validation Loss: 6.124454300384966
Epoch 950, Validation Loss: 6.384267352903985
Epoch 960, Validation Loss: 7.806320012652115
Epoch 970, Validation Loss: 8.22270295562047
Epoch 980, Validation Loss: 7.036288123058142
Epoch 990, Validation Loss: 6.291254386622671
