Epoch 0, Validation Loss: 483.6657297620118
Epoch 10, Validation Loss: 29.749438592308604
Epoch 20, Validation Loss: 21.644075466559958
Epoch 30, Validation Loss: 20.260624012756416
Epoch 40, Validation Loss: 19.117821819966455
Epoch 50, Validation Loss: 17.114415389580703
Epoch 60, Validation Loss: 16.253538671563195
Epoch 70, Validation Loss: 14.451869152986115
Epoch 80, Validation Loss: 11.514999630746402
Epoch 90, Validation Loss: 10.59277107305777
Epoch 100, Validation Loss: 10.096799644207552
Epoch 110, Validation Loss: 9.774958559643348
Epoch 120, Validation Loss: 9.555469268858532
Epoch 130, Validation Loss: 9.744541819462492
Epoch 140, Validation Loss: 9.362516441350506
Epoch 150, Validation Loss: 8.662229331398185
Epoch 160, Validation Loss: 8.253105763249357
Epoch 170, Validation Loss: 7.944279931227545
Epoch 180, Validation Loss: 7.662952712508898
Epoch 190, Validation Loss: 7.439605856764204
Epoch 200, Validation Loss: 7.2617830748318335
Epoch 210, Validation Loss: 7.113037732767735
Epoch 220, Validation Loss: 6.986442535903467
Epoch 230, Validation Loss: 6.881082375269351
Epoch 240, Validation Loss: 6.797083642097024
Epoch 250, Validation Loss: 6.730993695318635
Epoch 260, Validation Loss: 6.678077988145733
Epoch 270, Validation Loss: 6.634803865737607
Epoch 280, Validation Loss: 6.598098929014147
Epoch 290, Validation Loss: 6.565225177448366
Epoch 300, Validation Loss: 6.53767568724764
Epoch 310, Validation Loss: 6.521941202787957
Epoch 320, Validation Loss: 6.525040120432712
Epoch 330, Validation Loss: 6.551204920737294
Epoch 340, Validation Loss: 6.601178797207322
Epoch 350, Validation Loss: 6.6716635335835495
Epoch 360, Validation Loss: 6.754806434012113
Epoch 370, Validation Loss: 6.839112866344565
Epoch 380, Validation Loss: 6.9124160078603
Epoch 390, Validation Loss: 6.965878889733333
Epoch 400, Validation Loss: 6.996263172320252
Epoch 410, Validation Loss: 7.005249117612037
Epoch 420, Validation Loss: 6.997283435592345
Epoch 430, Validation Loss: 6.977596557826298
Epoch 440, Validation Loss: 6.950943726607241
Epoch 450, Validation Loss: 6.921414565372918
Epoch 460, Validation Loss: 6.897842892421131
Epoch 470, Validation Loss: 6.8720163604059445
Epoch 480, Validation Loss: 6.758680140043345
Epoch 490, Validation Loss: 6.811937955102267
Epoch 500, Validation Loss: 6.783257277376547
Epoch 510, Validation Loss: 6.760649512372127
Epoch 520, Validation Loss: 6.744584607755776
Epoch 530, Validation Loss: 6.731282877747092
Epoch 540, Validation Loss: 6.720595762431181
Epoch 550, Validation Loss: 6.712037947540274
Epoch 560, Validation Loss: 6.704800654889873
Epoch 570, Validation Loss: 6.697981985904185
Epoch 580, Validation Loss: 6.690907651653387
Epoch 590, Validation Loss: 6.683321576194098
Epoch 600, Validation Loss: 6.675340389364829
Epoch 610, Validation Loss: 6.667836579732335
Epoch 620, Validation Loss: 7.648977947102909
Epoch 630, Validation Loss: 6.533830867602949
Epoch 640, Validation Loss: 6.623165933292702
Epoch 650, Validation Loss: 7.7654670318593055
Epoch 660, Validation Loss: 6.39098084586104
Epoch 670, Validation Loss: 6.723831685393319
Epoch 680, Validation Loss: 6.933967040855199
Epoch 690, Validation Loss: 6.361154185109901
Epoch 700, Validation Loss: 7.316563278192606
Epoch 710, Validation Loss: 6.2284472064676555
Epoch 720, Validation Loss: 7.300602865859354
Epoch 730, Validation Loss: 6.138266827948572
Epoch 740, Validation Loss: 7.259818200264336
Epoch 750, Validation Loss: 6.07296677586488
Epoch 760, Validation Loss: 7.2240408239422065
Epoch 770, Validation Loss: 6.0469658228602805
Epoch 780, Validation Loss: 7.028844106764054
Epoch 790, Validation Loss: 6.161041652908406
Epoch 800, Validation Loss: 6.520024771971996
Epoch 810, Validation Loss: 6.546315885793523
Epoch 820, Validation Loss: 5.941532937927986
Epoch 830, Validation Loss: 6.988067479236627
Epoch 840, Validation Loss: 5.7610991859281615
Epoch 850, Validation Loss: 6.894036519854648
Epoch 860, Validation Loss: 6.039048698443184
Epoch 870, Validation Loss: 6.100801980229216
Epoch 880, Validation Loss: 6.749573303156218
Epoch 890, Validation Loss: 5.685836411806135
Epoch 900, Validation Loss: 6.920917119234187
Epoch 910, Validation Loss: 6.029818554371718
Epoch 920, Validation Loss: 6.017666754268647
Epoch 930, Validation Loss: 6.924377490173543
Epoch 940, Validation Loss: 5.769085842953518
Epoch 950, Validation Loss: 6.606194594569599
Epoch 960, Validation Loss: 6.638723579776177
Epoch 970, Validation Loss: 5.805865634966181
Epoch 980, Validation Loss: 6.893608797357178
Epoch 990, Validation Loss: 6.6646584128225665
