Epoch 0, Validation Loss: 483.81481331177326
Epoch 10, Validation Loss: 14.364010522271782
Epoch 20, Validation Loss: 13.312247856351744
Epoch 30, Validation Loss: 12.101513056417504
Epoch 40, Validation Loss: 10.342802087511473
Epoch 50, Validation Loss: 8.061782761154447
Epoch 60, Validation Loss: 7.7668785671041745
Epoch 70, Validation Loss: 7.114159546372393
Epoch 80, Validation Loss: 8.855366388025226
Epoch 90, Validation Loss: 6.959491679707065
Epoch 100, Validation Loss: 6.704283293052806
Epoch 110, Validation Loss: 7.950171092309762
Epoch 120, Validation Loss: 6.064531469405781
Epoch 130, Validation Loss: 6.00302920190196
Epoch 140, Validation Loss: 6.608113842783709
Epoch 150, Validation Loss: 8.128060035477086
Epoch 160, Validation Loss: 5.960159208899219
Epoch 170, Validation Loss: 6.088458402276246
Epoch 180, Validation Loss: 5.841902304679658
Epoch 190, Validation Loss: 5.819499875988833
Epoch 200, Validation Loss: 5.790160074795527
Epoch 210, Validation Loss: 6.175005908802181
Epoch 220, Validation Loss: 5.938645350697503
Epoch 230, Validation Loss: 7.791598505581884
Epoch 240, Validation Loss: 5.600033750298883
Epoch 250, Validation Loss: 5.6975940385488935
Epoch 260, Validation Loss: 8.068080566143605
Epoch 270, Validation Loss: 5.515084516416905
Epoch 280, Validation Loss: 5.622156696399749
Epoch 290, Validation Loss: 7.870537669220252
Epoch 300, Validation Loss: 5.376815811323475
Epoch 310, Validation Loss: 5.652384067145057
Epoch 320, Validation Loss: 5.945297718409979
Epoch 330, Validation Loss: 7.657550954301987
Epoch 340, Validation Loss: 5.2850552240290956
Epoch 350, Validation Loss: 5.370082710583404
Epoch 360, Validation Loss: 6.868202178361342
Epoch 370, Validation Loss: 5.842651541961267
Epoch 380, Validation Loss: 5.408175487413943
Epoch 390, Validation Loss: 5.29923841645426
Epoch 400, Validation Loss: 7.28700671343591
Epoch 410, Validation Loss: 5.125478554745157
Epoch 420, Validation Loss: 5.11307107238509
Epoch 430, Validation Loss: 7.175986222840623
Epoch 440, Validation Loss: 5.035476115151906
Epoch 450, Validation Loss: 5.150926550470841
Epoch 460, Validation Loss: 7.4083987249907315
Epoch 470, Validation Loss: 4.967733938111805
Epoch 480, Validation Loss: 5.060402964207779
Epoch 490, Validation Loss: 7.604650353226781
Epoch 500, Validation Loss: 5.016398681585404
Epoch 510, Validation Loss: 5.013915699181864
Epoch 520, Validation Loss: 8.007977856656979
Epoch 530, Validation Loss: 5.243617164981252
Epoch 540, Validation Loss: 5.233146851793434
Epoch 550, Validation Loss: 6.795078721306066
Epoch 560, Validation Loss: 5.38601534286098
Epoch 570, Validation Loss: 5.603284616234791
Epoch 580, Validation Loss: 6.637786353131887
Epoch 590, Validation Loss: 5.344481843752379
Epoch 600, Validation Loss: 5.356435291952419
Epoch 610, Validation Loss: 7.218715464298565
Epoch 620, Validation Loss: 5.230287854330759
Epoch 630, Validation Loss: 5.228686968412593
Epoch 640, Validation Loss: 7.707529049003887
Epoch 650, Validation Loss: 5.0926665296787945
Epoch 660, Validation Loss: 5.218156991859795
Epoch 670, Validation Loss: 6.833481659061431
Epoch 680, Validation Loss: 6.2969790416047795
Epoch 690, Validation Loss: 5.386041576728515
Epoch 700, Validation Loss: 5.295442088632303
Epoch 710, Validation Loss: 7.816230935347495
Epoch 720, Validation Loss: 5.466930817299662
Epoch 730, Validation Loss: 5.37661285590517
Epoch 740, Validation Loss: 6.345110653657835
Epoch 750, Validation Loss: 6.747379981276332
Epoch 760, Validation Loss: 5.487180479937965
Epoch 770, Validation Loss: 5.612027377695774
Epoch 780, Validation Loss: 7.778782719295926
Epoch 790, Validation Loss: 5.8227123945254835
Epoch 800, Validation Loss: 5.630907131514499
Epoch 810, Validation Loss: 6.392519279318364
Epoch 820, Validation Loss: 7.5705901716181625
Epoch 830, Validation Loss: 5.843488238843336
Epoch 840, Validation Loss: 5.827122887360151
Epoch 850, Validation Loss: 7.426073174160435
Epoch 860, Validation Loss: 6.5682299009779666
Epoch 870, Validation Loss: 5.98952899327425
Epoch 880, Validation Loss: 6.182391020786175
Epoch 890, Validation Loss: 8.192276048644851
Epoch 900, Validation Loss: 6.340898507041659
Epoch 910, Validation Loss: 6.12921123887205
Epoch 920, Validation Loss: 6.451108424086152
Epoch 930, Validation Loss: 8.455646851066982
Epoch 940, Validation Loss: 6.920918780859869
Epoch 950, Validation Loss: 6.243135566052832
Epoch 960, Validation Loss: 6.267684431257374
Epoch 970, Validation Loss: 7.313059224320616
Epoch 980, Validation Loss: 8.266322789990179
Epoch 990, Validation Loss: 6.560278824552259
