Epoch 0, Validation Loss: 483.639763158305
Epoch 10, Validation Loss: 29.178648516873206
Epoch 20, Validation Loss: 23.41528651975491
Epoch 30, Validation Loss: 21.295481207521327
Epoch 40, Validation Loss: 21.548203025407844
Epoch 50, Validation Loss: 18.842119637083286
Epoch 60, Validation Loss: 16.93401430298256
Epoch 70, Validation Loss: 15.488359917133423
Epoch 80, Validation Loss: 12.771970662185922
Epoch 90, Validation Loss: 10.64265733267807
Epoch 100, Validation Loss: 9.859789595602129
Epoch 110, Validation Loss: 9.410388018903767
Epoch 120, Validation Loss: 9.177353495217382
Epoch 130, Validation Loss: 9.141124657261848
Epoch 140, Validation Loss: 8.991254506533883
Epoch 150, Validation Loss: 8.805652282662557
Epoch 160, Validation Loss: 8.683485446987532
Epoch 170, Validation Loss: 8.574605325895524
Epoch 180, Validation Loss: 8.451233047919569
Epoch 190, Validation Loss: 8.33846368589181
Epoch 200, Validation Loss: 8.25882702767465
Epoch 210, Validation Loss: 8.199872913882949
Epoch 220, Validation Loss: 8.141489921147716
Epoch 230, Validation Loss: 8.079895651247778
Epoch 240, Validation Loss: 8.015281416770186
Epoch 250, Validation Loss: 7.946810682436972
Epoch 260, Validation Loss: 7.871870057724145
Epoch 270, Validation Loss: 7.784448149555888
Epoch 280, Validation Loss: 7.6709917419059845
Epoch 290, Validation Loss: 7.51599095271704
Epoch 300, Validation Loss: 7.651658795158554
Epoch 310, Validation Loss: 7.27196396882902
Epoch 320, Validation Loss: 7.297725715249765
Epoch 330, Validation Loss: 6.858590732491627
Epoch 340, Validation Loss: 6.992475501741388
Epoch 350, Validation Loss: 7.271580314874856
Epoch 360, Validation Loss: 6.504198516594063
Epoch 370, Validation Loss: 6.818276208044562
Epoch 380, Validation Loss: 10.513624720041589
Epoch 390, Validation Loss: 6.375498918656052
Epoch 400, Validation Loss: 9.072346720944102
Epoch 410, Validation Loss: 8.074989890933361
Epoch 420, Validation Loss: 6.583742857045387
Epoch 430, Validation Loss: 7.409165922303627
Epoch 440, Validation Loss: 8.245747219832552
Epoch 450, Validation Loss: 10.243898138609092
Epoch 460, Validation Loss: 7.777171964331807
Epoch 470, Validation Loss: 7.83579577387092
Epoch 480, Validation Loss: 7.301380314288595
Epoch 490, Validation Loss: 8.490215346603236
Epoch 500, Validation Loss: 8.303122203824186
Epoch 510, Validation Loss: 8.568134149173037
Epoch 520, Validation Loss: 7.64513408831094
Epoch 530, Validation Loss: 8.554856007479067
Epoch 540, Validation Loss: 8.561594468554985
Epoch 550, Validation Loss: 10.172560302800116
Epoch 560, Validation Loss: 8.76895011753348
Epoch 570, Validation Loss: 8.823093856978808
Epoch 580, Validation Loss: 9.816256401348703
Epoch 590, Validation Loss: 8.800070951731684
Epoch 600, Validation Loss: 7.892202627976812
Epoch 610, Validation Loss: 8.804095446364363
Epoch 620, Validation Loss: 9.554014066019578
Epoch 630, Validation Loss: 8.559839807881781
Epoch 640, Validation Loss: 10.720396401232147
Epoch 650, Validation Loss: 8.862598901048505
Epoch 660, Validation Loss: 8.480284886722297
Epoch 670, Validation Loss: 10.714445676525958
Epoch 680, Validation Loss: 8.77249033491192
Epoch 690, Validation Loss: 8.57261584625634
Epoch 700, Validation Loss: 11.02794830980217
Epoch 710, Validation Loss: 8.655414428238663
Epoch 720, Validation Loss: 8.934231114868526
Epoch 730, Validation Loss: 8.486285441182616
Epoch 740, Validation Loss: 8.483891854161158
Epoch 750, Validation Loss: 8.181223481910013
Epoch 760, Validation Loss: 9.599008853296082
Epoch 770, Validation Loss: 8.098572407302118
Epoch 780, Validation Loss: 8.147642579150785
Epoch 790, Validation Loss: 8.116225450084166
Epoch 800, Validation Loss: 8.498360061286183
Epoch 810, Validation Loss: 9.002933876517147
Epoch 820, Validation Loss: 8.226374177377691
Epoch 830, Validation Loss: 8.017223092640634
Epoch 840, Validation Loss: 10.966774573198162
Epoch 850, Validation Loss: 8.197812337900308
Epoch 860, Validation Loss: 7.729594964076841
Epoch 870, Validation Loss: 8.185371645577291
Epoch 880, Validation Loss: 8.097717499545775
Epoch 890, Validation Loss: 8.278593819882715
Epoch 900, Validation Loss: 8.381506464982637
Epoch 910, Validation Loss: 8.264031000238523
Epoch 920, Validation Loss: 10.533862770568337
Epoch 930, Validation Loss: 8.33146864952404
Epoch 940, Validation Loss: 9.641242727874152
Epoch 950, Validation Loss: 8.405271356085715
Epoch 960, Validation Loss: 9.881723007326496
Epoch 970, Validation Loss: 8.461322144329142
Epoch 980, Validation Loss: 10.0898591569431
Epoch 990, Validation Loss: 8.493172759436053
