Epoch 0, Validation Loss: 483.3880412827044
Epoch 10, Validation Loss: 28.540785859766657
Epoch 20, Validation Loss: 22.76053334868268
Epoch 30, Validation Loss: 21.47479684221941
Epoch 40, Validation Loss: 21.19645908179592
Epoch 50, Validation Loss: 18.7966054089374
Epoch 60, Validation Loss: 16.87050111346229
Epoch 70, Validation Loss: 15.096281603126421
Epoch 80, Validation Loss: 11.76643596188408
Epoch 90, Validation Loss: 9.897581342130835
Epoch 100, Validation Loss: 9.02761755056463
Epoch 110, Validation Loss: 7.776207495635893
Epoch 120, Validation Loss: 7.084355638547675
Epoch 130, Validation Loss: 6.524081976795627
Epoch 140, Validation Loss: 6.123381789887463
Epoch 150, Validation Loss: 5.858341134763731
Epoch 160, Validation Loss: 5.678881115018588
Epoch 170, Validation Loss: 5.548392727927277
Epoch 180, Validation Loss: 5.445989963194548
Epoch 190, Validation Loss: 5.360747901176446
Epoch 200, Validation Loss: 5.287215971982536
Epoch 210, Validation Loss: 5.222832356011626
Epoch 220, Validation Loss: 5.166471804298347
Epoch 230, Validation Loss: 5.117570984259394
Epoch 240, Validation Loss: 5.075587744799475
Epoch 250, Validation Loss: 5.039703794135731
Epoch 260, Validation Loss: 5.008735131895501
Epoch 270, Validation Loss: 4.981277265375958
Epoch 280, Validation Loss: 4.9561377344278785
Epoch 290, Validation Loss: 4.932926951844935
Epoch 300, Validation Loss: 4.9124207294840945
Epoch 310, Validation Loss: 4.896404693870279
Epoch 320, Validation Loss: 4.887190261337126
Epoch 330, Validation Loss: 4.887466011910422
Epoch 340, Validation Loss: 4.901230871800289
Epoch 350, Validation Loss: 4.9347163723419625
Epoch 360, Validation Loss: 4.993090133335342
Epoch 370, Validation Loss: 5.07347816657641
Epoch 380, Validation Loss: 5.166796914569185
Epoch 390, Validation Loss: 5.265683148182034
Epoch 400, Validation Loss: 5.366008302333429
Epoch 410, Validation Loss: 5.465265590109734
Epoch 420, Validation Loss: 5.561806045610174
Epoch 430, Validation Loss: 5.655070269171492
Epoch 440, Validation Loss: 5.745626154500685
Epoch 450, Validation Loss: 5.8341055004689775
Epoch 460, Validation Loss: 5.920075478037903
Epoch 470, Validation Loss: 6.0022278250669645
Epoch 480, Validation Loss: 6.079271366007799
Epoch 490, Validation Loss: 6.1504760108928105
Epoch 500, Validation Loss: 6.215712271307406
Epoch 510, Validation Loss: 6.275233975921426
Epoch 520, Validation Loss: 6.3294105736764665
Epoch 530, Validation Loss: 6.37852108517541
Epoch 540, Validation Loss: 6.422656997610102
Epoch 550, Validation Loss: 6.461733399032455
Epoch 560, Validation Loss: 6.495577815561778
Epoch 570, Validation Loss: 6.524060495941493
Epoch 580, Validation Loss: 6.5472316108961
Epoch 590, Validation Loss: 6.565422339926784
Epoch 600, Validation Loss: 6.579265473551234
Epoch 610, Validation Loss: 6.589620104142991
Epoch 620, Validation Loss: 6.597432739466055
Epoch 630, Validation Loss: 6.603599580324186
Epoch 640, Validation Loss: 6.608886630252831
Epoch 650, Validation Loss: 6.613923064183396
Epoch 660, Validation Loss: 6.619243999100348
Epoch 670, Validation Loss: 6.625347113930722
Epoch 680, Validation Loss: 6.6327383768459995
Epoch 690, Validation Loss: 6.641957912144189
Epoch 700, Validation Loss: 6.653588136127365
Epoch 710, Validation Loss: 6.668251072481225
Epoch 720, Validation Loss: 6.686600517902853
Epoch 730, Validation Loss: 6.709309056551075
Epoch 740, Validation Loss: 6.7370438098436916
Epoch 750, Validation Loss: 6.770422386085602
Epoch 760, Validation Loss: 6.809942602658131
Epoch 770, Validation Loss: 6.8558847210474285
Epoch 780, Validation Loss: 6.9081944362758545
Epoch 790, Validation Loss: 6.966496214834938
Epoch 800, Validation Loss: 7.084355999548627
Epoch 810, Validation Loss: 7.7152587860549495
Epoch 820, Validation Loss: 8.413981958710664
Epoch 830, Validation Loss: 7.146414683150134
Epoch 840, Validation Loss: 6.499692411338355
Epoch 850, Validation Loss: 6.616803465313337
Epoch 860, Validation Loss: 7.296574286272964
Epoch 870, Validation Loss: 8.126948557558336
Epoch 880, Validation Loss: 8.49726293860088
Epoch 890, Validation Loss: 8.050914360616416
Epoch 900, Validation Loss: 7.271040710469523
Epoch 910, Validation Loss: 6.824470369591809
Epoch 920, Validation Loss: 6.838130771925648
Epoch 930, Validation Loss: 7.3056958198513104
Epoch 940, Validation Loss: 8.074829311304406
Epoch 950, Validation Loss: 8.55826387157632
Epoch 960, Validation Loss: 8.086346288436113
Epoch 970, Validation Loss: 7.219774428536694
Epoch 980, Validation Loss: 6.891355728602967
Epoch 990, Validation Loss: 7.22896155296946
