Epoch 0, Validation Loss: 483.8378053681439
Epoch 10, Validation Loss: 15.190895545390399
Epoch 20, Validation Loss: 13.244097348531241
Epoch 30, Validation Loss: 12.255274970841779
Epoch 40, Validation Loss: 10.077082469305392
Epoch 50, Validation Loss: 8.016374650633045
Epoch 60, Validation Loss: 8.400515284907017
Epoch 70, Validation Loss: 6.341723200669768
Epoch 80, Validation Loss: 5.849405665596
Epoch 90, Validation Loss: 6.220739901235976
Epoch 100, Validation Loss: 6.159830552798396
Epoch 110, Validation Loss: 5.647654177313675
Epoch 120, Validation Loss: 5.674900596680989
Epoch 130, Validation Loss: 5.480402609324567
Epoch 140, Validation Loss: 6.832099996861591
Epoch 150, Validation Loss: 6.035202247266361
Epoch 160, Validation Loss: 5.9331035773989855
Epoch 170, Validation Loss: 5.713510623375972
Epoch 180, Validation Loss: 5.6061528309062485
Epoch 190, Validation Loss: 5.977615237878055
Epoch 200, Validation Loss: 5.625486114227518
Epoch 210, Validation Loss: 5.705320860419247
Epoch 220, Validation Loss: 6.500669958680525
Epoch 230, Validation Loss: 5.751820427057104
Epoch 240, Validation Loss: 8.954932013314547
Epoch 250, Validation Loss: 5.8272964432358805
Epoch 260, Validation Loss: 5.754799902311674
Epoch 270, Validation Loss: 6.989575223990465
Epoch 280, Validation Loss: 5.866099660241961
Epoch 290, Validation Loss: 7.360871811151637
Epoch 300, Validation Loss: 5.36081004515955
Epoch 310, Validation Loss: 5.376020827994241
Epoch 320, Validation Loss: 8.623082688111982
Epoch 330, Validation Loss: 5.56875424538541
Epoch 340, Validation Loss: 5.455922395642517
Epoch 350, Validation Loss: 7.100172906814561
Epoch 360, Validation Loss: 5.75275344196044
Epoch 370, Validation Loss: 6.139234147712872
Epoch 380, Validation Loss: 5.696315825874591
Epoch 390, Validation Loss: 5.503018852910409
Epoch 400, Validation Loss: 7.202064030521408
Epoch 410, Validation Loss: 5.424394158286076
Epoch 420, Validation Loss: 5.458993289228651
Epoch 430, Validation Loss: 7.175798906298761
Epoch 440, Validation Loss: 5.52505387588043
Epoch 450, Validation Loss: 5.599313533287655
Epoch 460, Validation Loss: 6.433161336548564
Epoch 470, Validation Loss: 6.0977684338691605
Epoch 480, Validation Loss: 5.585246324495652
Epoch 490, Validation Loss: 5.445252111377632
Epoch 500, Validation Loss: 7.541479980616419
Epoch 510, Validation Loss: 5.5476229812374385
Epoch 520, Validation Loss: 5.187090744626031
Epoch 530, Validation Loss: 7.968963505953248
Epoch 540, Validation Loss: 5.323202050832335
Epoch 550, Validation Loss: 5.187715467693186
Epoch 560, Validation Loss: 8.174571877792031
Epoch 570, Validation Loss: 5.526275545647342
Epoch 580, Validation Loss: 5.222586536238417
Epoch 590, Validation Loss: 8.101082638676555
Epoch 600, Validation Loss: 5.482594094065572
Epoch 610, Validation Loss: 5.2113343246998225
Epoch 620, Validation Loss: 8.18103905959839
Epoch 630, Validation Loss: 5.360521217402062
Epoch 640, Validation Loss: 5.282912925868564
Epoch 650, Validation Loss: 7.7550642687947535
Epoch 660, Validation Loss: 5.348036266920801
Epoch 670, Validation Loss: 5.482556778689658
Epoch 680, Validation Loss: 6.888296931458176
Epoch 690, Validation Loss: 6.3288240281624
Epoch 700, Validation Loss: 5.649998344973485
Epoch 710, Validation Loss: 6.138668632985175
Epoch 720, Validation Loss: 7.096058254972046
Epoch 730, Validation Loss: 5.613577141280355
Epoch 740, Validation Loss: 5.524964289867055
Epoch 750, Validation Loss: 7.997563570760787
Epoch 760, Validation Loss: 5.606231964801557
Epoch 770, Validation Loss: 5.647351280566838
Epoch 780, Validation Loss: 6.400240976025555
Epoch 790, Validation Loss: 7.119521573038117
Epoch 800, Validation Loss: 5.679646721258906
Epoch 810, Validation Loss: 5.5440567471521085
Epoch 820, Validation Loss: 7.600223429441896
Epoch 830, Validation Loss: 6.39243604577726
Epoch 840, Validation Loss: 5.836824709379942
Epoch 850, Validation Loss: 5.536761910927805
Epoch 860, Validation Loss: 7.327551816483431
Epoch 870, Validation Loss: 7.179635315260885
Epoch 880, Validation Loss: 5.833439146532869
Epoch 890, Validation Loss: 5.9570961492167775
Epoch 900, Validation Loss: 5.563657459868609
Epoch 910, Validation Loss: 7.124532221499991
Epoch 920, Validation Loss: 7.65358645496133
Epoch 930, Validation Loss: 6.036426611024018
Epoch 940, Validation Loss: 5.770738051082264
Epoch 950, Validation Loss: 5.841442340249808
Epoch 960, Validation Loss: 5.866778929425145
Epoch 970, Validation Loss: 7.676310126499883
Epoch 980, Validation Loss: 7.087537364096486
Epoch 990, Validation Loss: 5.923799197034597
