Epoch 0, Validation Loss: 483.6121838938396
Epoch 10, Validation Loss: 29.76110296520883
Epoch 20, Validation Loss: 23.9189242321662
Epoch 30, Validation Loss: 21.02142236835077
Epoch 40, Validation Loss: 22.14769438635481
Epoch 50, Validation Loss: 19.373211612478887
Epoch 60, Validation Loss: 17.469991128043404
Epoch 70, Validation Loss: 16.421028773626492
Epoch 80, Validation Loss: 14.220341186976459
Epoch 90, Validation Loss: 11.745107054019964
Epoch 100, Validation Loss: 10.502987990571535
Epoch 110, Validation Loss: 10.10697158152342
Epoch 120, Validation Loss: 9.769163777106003
Epoch 130, Validation Loss: 9.09263566743653
Epoch 140, Validation Loss: 8.585938930764236
Epoch 150, Validation Loss: 8.44857648013585
Epoch 160, Validation Loss: 8.404204864299016
Epoch 170, Validation Loss: 8.313015489293194
Epoch 180, Validation Loss: 8.153080840555182
Epoch 190, Validation Loss: 7.9585931818819144
Epoch 200, Validation Loss: 7.773810200117013
Epoch 210, Validation Loss: 7.620234570630963
Epoch 220, Validation Loss: 7.498759205815614
Epoch 230, Validation Loss: 7.4043018882268
Epoch 240, Validation Loss: 7.333573036915293
Epoch 250, Validation Loss: 7.285010009398045
Epoch 260, Validation Loss: 7.256704554054699
Epoch 270, Validation Loss: 7.245317303188098
Epoch 280, Validation Loss: 7.2461282980384265
Epoch 290, Validation Loss: 7.253457397504867
Epoch 300, Validation Loss: 7.261091281309848
Epoch 310, Validation Loss: 7.262651833905028
Epoch 320, Validation Loss: 7.252123396530163
Epoch 330, Validation Loss: 7.224942666279801
Epoch 340, Validation Loss: 7.1793546327191855
Epoch 350, Validation Loss: 7.116964414503435
Epoch 360, Validation Loss: 7.04188407776044
Epoch 370, Validation Loss: 6.9590445494594135
Epoch 380, Validation Loss: 6.872703678127954
Epoch 390, Validation Loss: 6.785710040872534
Epoch 400, Validation Loss: 6.699451627286599
Epoch 410, Validation Loss: 6.614169555618668
Epoch 420, Validation Loss: 6.529383366911702
Epoch 430, Validation Loss: 6.444302667755563
Epoch 440, Validation Loss: 6.358176224600322
Epoch 450, Validation Loss: 6.270550939046462
Epoch 460, Validation Loss: 6.181419132369362
Epoch 470, Validation Loss: 6.0912701005944045
Epoch 480, Validation Loss: 6.001077359827927
Epoch 490, Validation Loss: 5.9121862595797365
Epoch 500, Validation Loss: 5.82605315470129
Epoch 510, Validation Loss: 5.7439339070043545
Epoch 520, Validation Loss: 5.666704833767301
Epoch 530, Validation Loss: 5.594859272241383
Epoch 540, Validation Loss: 5.5285908142032705
Epoch 550, Validation Loss: 5.467879835705881
Epoch 560, Validation Loss: 5.412543330744647
Epoch 570, Validation Loss: 5.362255257454488
Epoch 580, Validation Loss: 5.316577692435305
Epoch 590, Validation Loss: 5.275027411655243
Epoch 600, Validation Loss: 5.2371638560651155
Epoch 610, Validation Loss: 5.202668718546818
Epoch 620, Validation Loss: 5.171398292644123
Epoch 630, Validation Loss: 5.1434065746075746
Epoch 640, Validation Loss: 5.118944376684131
Epoch 650, Validation Loss: 5.09843104638512
Epoch 660, Validation Loss: 5.082382217283433
Epoch 670, Validation Loss: 5.071289614780221
Epoch 680, Validation Loss: 5.065486836379281
Epoch 690, Validation Loss: 5.06504366901399
Epoch 700, Validation Loss: 5.069716274502886
Epoch 710, Validation Loss: 5.078984053199452
Epoch 720, Validation Loss: 5.092171707691779
Epoch 730, Validation Loss: 5.108594366355942
Epoch 740, Validation Loss: 5.12765904184609
Epoch 750, Validation Loss: 5.14890116020298
Epoch 760, Validation Loss: 5.171973386921568
Epoch 770, Validation Loss: 5.196614070986871
Epoch 780, Validation Loss: 5.222615221167123
Epoch 790, Validation Loss: 5.249799778273488
Epoch 800, Validation Loss: 5.278011650040505
Epoch 810, Validation Loss: 5.30711896579586
Epoch 820, Validation Loss: 5.337028291499182
Epoch 830, Validation Loss: 5.36770357546654
Epoch 840, Validation Loss: 5.399179513308413
Epoch 850, Validation Loss: 5.431557672342339
Epoch 860, Validation Loss: 5.464978036345291
Epoch 870, Validation Loss: 5.4995691701454685
Epoch 880, Validation Loss: 5.535392068398038
Epoch 890, Validation Loss: 5.572397149258971
Epoch 900, Validation Loss: 5.610406209771433
Epoch 910, Validation Loss: 5.649116968785122
Epoch 920, Validation Loss: 5.688118504873985
Epoch 930, Validation Loss: 5.726908726092249
Epoch 940, Validation Loss: 5.7649156659006024
Epoch 950, Validation Loss: 5.80153042468604
Epoch 960, Validation Loss: 5.8361562999733
Epoch 970, Validation Loss: 5.868275983674675
Epoch 980, Validation Loss: 5.897615924701663
Epoch 990, Validation Loss: 5.917649651666515
