Epoch 0, Validation Loss: 483.58660495947026
Epoch 10, Validation Loss: 29.312857539136836
Epoch 20, Validation Loss: 22.130031623629932
Epoch 30, Validation Loss: 21.03681442685574
Epoch 40, Validation Loss: 21.2753111554559
Epoch 50, Validation Loss: 18.41862056224423
Epoch 60, Validation Loss: 16.68362139052015
Epoch 70, Validation Loss: 13.88713037184547
Epoch 80, Validation Loss: 11.296743566133722
Epoch 90, Validation Loss: 10.541535581895413
Epoch 100, Validation Loss: 10.193397906063465
Epoch 110, Validation Loss: 10.044883879139002
Epoch 120, Validation Loss: 9.974841192698287
Epoch 130, Validation Loss: 9.911728644695996
Epoch 140, Validation Loss: 9.808398583495075
Epoch 150, Validation Loss: 9.64648922576165
Epoch 160, Validation Loss: 9.375383424801997
Epoch 170, Validation Loss: 8.583136703402186
Epoch 180, Validation Loss: 8.02913550998123
Epoch 190, Validation Loss: 7.619179786651394
Epoch 200, Validation Loss: 7.281703211806331
Epoch 210, Validation Loss: 7.018693819669069
Epoch 220, Validation Loss: 6.816675871354212
Epoch 230, Validation Loss: 6.665195993044075
Epoch 240, Validation Loss: 6.554164724340911
Epoch 250, Validation Loss: 6.473226470206255
Epoch 260, Validation Loss: 6.411935862056489
Epoch 270, Validation Loss: 6.361069703295152
Epoch 280, Validation Loss: 6.314077752171525
Epoch 290, Validation Loss: 6.267737897382761
Epoch 300, Validation Loss: 6.222019592333659
Epoch 310, Validation Loss: 6.178680004037748
Epoch 320, Validation Loss: 6.139108031140647
Epoch 330, Validation Loss: 6.103502035373589
Epoch 340, Validation Loss: 6.071431069335134
Epoch 350, Validation Loss: 6.042413777699604
Epoch 360, Validation Loss: 6.0161379444328595
Epoch 370, Validation Loss: 5.992539067562259
Epoch 380, Validation Loss: 5.971865648290506
Epoch 390, Validation Loss: 5.954767211820519
Epoch 400, Validation Loss: 5.942437117024582
Epoch 410, Validation Loss: 5.936855597717177
Epoch 420, Validation Loss: 5.9410993720564065
Epoch 430, Validation Loss: 5.959304654357439
Epoch 440, Validation Loss: 5.9954031417764755
Epoch 450, Validation Loss: 6.050805768653273
Epoch 460, Validation Loss: 6.123467030128043
Epoch 470, Validation Loss: 6.2091137192829535
Epoch 480, Validation Loss: 6.302514914823431
Epoch 490, Validation Loss: 6.398273913184083
Epoch 500, Validation Loss: 6.491882967494362
Epoch 510, Validation Loss: 6.580655696131247
Epoch 520, Validation Loss: 6.663830396649618
Epoch 530, Validation Loss: 6.742010815066131
Epoch 540, Validation Loss: 6.8165196658850125
Epoch 550, Validation Loss: 6.888939566728283
Epoch 560, Validation Loss: 6.9608031955888
Epoch 570, Validation Loss: 7.033345056661324
Epoch 580, Validation Loss: 7.107317027242179
Epoch 590, Validation Loss: 7.182925425250841
Epoch 600, Validation Loss: 7.259891273321455
Epoch 610, Validation Loss: 7.337540669488123
Epoch 620, Validation Loss: 7.414841992600464
Epoch 630, Validation Loss: 7.490441798133704
Epoch 640, Validation Loss: 7.562835652489724
Epoch 650, Validation Loss: 7.63069296946662
Epoch 660, Validation Loss: 7.6931674107723085
Epoch 670, Validation Loss: 7.750008364931196
Epoch 680, Validation Loss: 7.801442073629899
Epoch 690, Validation Loss: 7.829068238058692
Epoch 700, Validation Loss: 7.857606926802544
Epoch 710, Validation Loss: 7.768867841391585
Epoch 720, Validation Loss: 8.208628126801372
Epoch 730, Validation Loss: 8.158456102823521
Epoch 740, Validation Loss: 7.867501272818209
Epoch 750, Validation Loss: 7.95508498498986
Epoch 760, Validation Loss: 8.637224376193133
Epoch 770, Validation Loss: 8.112761147979029
Epoch 780, Validation Loss: 7.994148222537208
Epoch 790, Validation Loss: 8.135699677213898
Epoch 800, Validation Loss: 8.754964655850102
Epoch 810, Validation Loss: 8.233171615759682
Epoch 820, Validation Loss: 8.136257111020505
Epoch 830, Validation Loss: 8.320281651227024
Epoch 840, Validation Loss: 9.008515905949103
Epoch 850, Validation Loss: 8.445810471419565
Epoch 860, Validation Loss: 8.338490456463386
Epoch 870, Validation Loss: 8.63383571457184
Epoch 880, Validation Loss: 9.386728040760792
Epoch 890, Validation Loss: 8.71582678959714
Epoch 900, Validation Loss: 8.604147665910226
Epoch 910, Validation Loss: 9.073948212723133
Epoch 920, Validation Loss: 9.876710357258961
Epoch 930, Validation Loss: 9.090510638625876
Epoch 940, Validation Loss: 8.897778066132064
Epoch 950, Validation Loss: 9.294440643116202
Epoch 960, Validation Loss: 10.231730710159347
Epoch 970, Validation Loss: 9.811552689149321
Epoch 980, Validation Loss: 9.23772782875411
Epoch 990, Validation Loss: 9.308264990030498
