Epoch 0, Validation Loss: 483.55126853210714
Epoch 10, Validation Loss: 29.941863872686135
Epoch 20, Validation Loss: 22.622638863747557
Epoch 30, Validation Loss: 20.32702204407825
Epoch 40, Validation Loss: 20.048015806586438
Epoch 50, Validation Loss: 17.63683477726053
Epoch 60, Validation Loss: 16.773023390082965
Epoch 70, Validation Loss: 16.187725281185617
Epoch 80, Validation Loss: 15.065813640542109
Epoch 90, Validation Loss: 12.715823047882429
Epoch 100, Validation Loss: 11.346523601759086
Epoch 110, Validation Loss: 10.889742290432826
Epoch 120, Validation Loss: 10.555157846091106
Epoch 130, Validation Loss: 9.394652087555398
Epoch 140, Validation Loss: 8.706518135326817
Epoch 150, Validation Loss: 8.233724858848838
Epoch 160, Validation Loss: 7.854482914209408
Epoch 170, Validation Loss: 7.507782447364356
Epoch 180, Validation Loss: 7.223329286949855
Epoch 190, Validation Loss: 6.99087872324069
Epoch 200, Validation Loss: 6.799162595186052
Epoch 210, Validation Loss: 6.642089911584736
Epoch 220, Validation Loss: 6.513118225885269
Epoch 230, Validation Loss: 6.405475953762914
Epoch 240, Validation Loss: 6.31368722471632
Epoch 250, Validation Loss: 6.23396436917854
Epoch 260, Validation Loss: 6.163524943917356
Epoch 270, Validation Loss: 6.100182320403106
Epoch 280, Validation Loss: 6.0425635329637775
Epoch 290, Validation Loss: 5.990418032947609
Epoch 300, Validation Loss: 5.944591797658043
Epoch 310, Validation Loss: 5.906569056264272
Epoch 320, Validation Loss: 5.877665742334941
Epoch 330, Validation Loss: 5.858064701035235
Epoch 340, Validation Loss: 5.845942900589622
Epoch 350, Validation Loss: 5.836788127760501
Epoch 360, Validation Loss: 5.8227123676068455
Epoch 370, Validation Loss: 5.7922645191155775
Epoch 380, Validation Loss: 5.7327141219473035
Epoch 390, Validation Loss: 5.636438304130148
Epoch 400, Validation Loss: 5.514968371281318
Epoch 410, Validation Loss: 5.402784525865116
Epoch 420, Validation Loss: 5.322761123233157
Epoch 430, Validation Loss: 5.274096388728286
Epoch 440, Validation Loss: 5.250235710729743
Epoch 450, Validation Loss: 5.245487554351227
Epoch 460, Validation Loss: 5.254138567561548
Epoch 470, Validation Loss: 5.270587586056624
Epoch 480, Validation Loss: 5.290644172667671
Epoch 490, Validation Loss: 5.312172033654673
Epoch 500, Validation Loss: 5.334750117416354
Epoch 510, Validation Loss: 5.35894886579981
Epoch 520, Validation Loss: 5.3857070840796215
Epoch 530, Validation Loss: 5.415944769449143
Epoch 540, Validation Loss: 5.45032652347905
Epoch 550, Validation Loss: 5.489035537409742
Epoch 560, Validation Loss: 5.531489162065459
Epoch 570, Validation Loss: 5.576102009826811
Epoch 580, Validation Loss: 5.620367139051592
Epoch 590, Validation Loss: 5.661405835607104
Epoch 600, Validation Loss: 5.696728266546381
Epoch 610, Validation Loss: 5.724735024826984
Epoch 620, Validation Loss: 5.744751110746414
Epoch 630, Validation Loss: 5.756767416108181
Epoch 640, Validation Loss: 5.761169181613933
Epoch 650, Validation Loss: 5.758586027348615
Epoch 660, Validation Loss: 5.7498421058634595
Epoch 670, Validation Loss: 5.735945442769861
Epoch 680, Validation Loss: 5.718025844134732
Epoch 690, Validation Loss: 5.697423554121189
Epoch 700, Validation Loss: 5.678721177134745
Epoch 710, Validation Loss: 5.485020873527681
Epoch 720, Validation Loss: 6.4983162569132835
Epoch 730, Validation Loss: 5.521400886173948
Epoch 740, Validation Loss: 5.9163507691360895
Epoch 750, Validation Loss: 5.189663122713387
Epoch 760, Validation Loss: 5.700598807088711
Epoch 770, Validation Loss: 5.31563053259944
Epoch 780, Validation Loss: 5.5214155261642
Epoch 790, Validation Loss: 5.350773607269154
Epoch 800, Validation Loss: 5.449887266184319
Epoch 810, Validation Loss: 5.291964287557549
Epoch 820, Validation Loss: 5.486529461697088
Epoch 830, Validation Loss: 5.1761532400512325
Epoch 840, Validation Loss: 5.650667414257079
Epoch 850, Validation Loss: 5.099616131709266
Epoch 860, Validation Loss: 5.907084279579032
Epoch 870, Validation Loss: 5.096362141571541
Epoch 880, Validation Loss: 5.785160077561291
Epoch 890, Validation Loss: 5.311266206999071
Epoch 900, Validation Loss: 5.272402181470506
Epoch 910, Validation Loss: 5.54889577342009
Epoch 920, Validation Loss: 5.271001273412117
Epoch 930, Validation Loss: 6.063120113401141
Epoch 940, Validation Loss: 5.314259299893175
Epoch 950, Validation Loss: 5.3133765318610715
Epoch 960, Validation Loss: 5.531696237489837
Epoch 970, Validation Loss: 5.375414952185697
Epoch 980, Validation Loss: 5.928088127904712
Epoch 990, Validation Loss: 5.422570291352533
