Epoch 0, Validation Loss: 483.57550567114214
Epoch 10, Validation Loss: 28.303607039073977
Epoch 20, Validation Loss: 24.19736882044521
Epoch 30, Validation Loss: 22.7357518691387
Epoch 40, Validation Loss: 22.268028413513445
Epoch 50, Validation Loss: 18.96359728593961
Epoch 60, Validation Loss: 17.223460633549628
Epoch 70, Validation Loss: 16.02448364943922
Epoch 80, Validation Loss: 13.556720421678632
Epoch 90, Validation Loss: 11.601966909240627
Epoch 100, Validation Loss: 10.8495201341838
Epoch 110, Validation Loss: 10.068286597809612
Epoch 120, Validation Loss: 9.394790696497578
Epoch 130, Validation Loss: 8.86327410599059
Epoch 140, Validation Loss: 8.58227491586493
Epoch 150, Validation Loss: 8.35527982481056
Epoch 160, Validation Loss: 8.14546931431297
Epoch 170, Validation Loss: 7.9932434499817715
Epoch 180, Validation Loss: 7.711122979082575
Epoch 190, Validation Loss: 7.412999565656798
Epoch 200, Validation Loss: 7.201852614677056
Epoch 210, Validation Loss: 7.0518814761217
Epoch 220, Validation Loss: 6.9405904102392
Epoch 230, Validation Loss: 6.85225943900816
Epoch 240, Validation Loss: 6.776696167723053
Epoch 250, Validation Loss: 6.708683822763433
Epoch 260, Validation Loss: 6.646656071770864
Epoch 270, Validation Loss: 6.590159337754791
Epoch 280, Validation Loss: 6.5377506316234015
Epoch 290, Validation Loss: 6.486301854110647
Epoch 300, Validation Loss: 6.431435614539427
Epoch 310, Validation Loss: 6.3696396090241585
Epoch 320, Validation Loss: 6.26223310812089
Epoch 330, Validation Loss: 6.249871456603578
Epoch 340, Validation Loss: 6.11746776144805
Epoch 350, Validation Loss: 6.023017913738477
Epoch 360, Validation Loss: 5.9165033024735
Epoch 370, Validation Loss: 5.7857569104239115
Epoch 380, Validation Loss: 5.662179993761703
Epoch 390, Validation Loss: 5.571761095706612
Epoch 400, Validation Loss: 5.445246545067635
Epoch 410, Validation Loss: 5.333100344116646
Epoch 420, Validation Loss: 5.191160283301923
Epoch 430, Validation Loss: 5.011261047511053
Epoch 440, Validation Loss: 4.812647081777944
Epoch 450, Validation Loss: 4.676615020256917
Epoch 460, Validation Loss: 4.604670748447012
Epoch 470, Validation Loss: 4.558378807170788
Epoch 480, Validation Loss: 4.516474911388743
Epoch 490, Validation Loss: 4.470427341027193
Epoch 500, Validation Loss: 4.425070791792337
Epoch 510, Validation Loss: 4.377479173356997
Epoch 520, Validation Loss: 4.502204423828712
Epoch 530, Validation Loss: 4.429738713844806
Epoch 540, Validation Loss: 4.556341472001032
Epoch 550, Validation Loss: 4.6417434215579645
Epoch 560, Validation Loss: 4.657818957758542
Epoch 570, Validation Loss: 4.641815570123687
Epoch 580, Validation Loss: 4.576814584615086
Epoch 590, Validation Loss: 4.493119280195352
Epoch 600, Validation Loss: 4.449232504944306
Epoch 610, Validation Loss: 4.370751909314234
Epoch 620, Validation Loss: 4.828119695612729
Epoch 630, Validation Loss: 4.638038076838072
Epoch 640, Validation Loss: 4.540349126174152
Epoch 650, Validation Loss: 4.7737437542252446
Epoch 660, Validation Loss: 4.751465785060364
Epoch 670, Validation Loss: 4.547643056362839
Epoch 680, Validation Loss: 4.697152384563003
Epoch 690, Validation Loss: 4.994018142742248
Epoch 700, Validation Loss: 4.6176411987878785
Epoch 710, Validation Loss: 5.113796655889359
Epoch 720, Validation Loss: 5.120551406584993
Epoch 730, Validation Loss: 4.987087577042104
Epoch 740, Validation Loss: 5.630997554086916
Epoch 750, Validation Loss: 5.781779684040514
Epoch 760, Validation Loss: 5.543253916451971
Epoch 770, Validation Loss: 5.250856248729993
Epoch 780, Validation Loss: 5.8067478313940795
Epoch 790, Validation Loss: 6.506288168191322
Epoch 800, Validation Loss: 5.957852702351158
Epoch 810, Validation Loss: 5.9327885253422155
Epoch 820, Validation Loss: 7.12460500775327
Epoch 830, Validation Loss: 5.990165045584497
Epoch 840, Validation Loss: 6.8866883466695565
Epoch 850, Validation Loss: 7.011034192438252
Epoch 860, Validation Loss: 6.238826799709261
Epoch 870, Validation Loss: 7.6752433525725925
Epoch 880, Validation Loss: 7.174042981867778
Epoch 890, Validation Loss: 6.748610553846142
Epoch 900, Validation Loss: 7.617716057457655
Epoch 910, Validation Loss: 6.999342319142854
Epoch 920, Validation Loss: 8.367655517441959
Epoch 930, Validation Loss: 7.254681315983583
Epoch 940, Validation Loss: 8.25563694508634
Epoch 950, Validation Loss: 7.780095137920151
Epoch 960, Validation Loss: 8.45383884451724
Epoch 970, Validation Loss: 7.958807139959036
Epoch 980, Validation Loss: 8.85222984486368
Epoch 990, Validation Loss: 7.986926225951591
