Epoch 0, Validation Loss: 483.82794074137394
Epoch 10, Validation Loss: 14.59099884942318
Epoch 20, Validation Loss: 13.496324263293051
Epoch 30, Validation Loss: 12.408344334039423
Epoch 40, Validation Loss: 10.321748902969082
Epoch 50, Validation Loss: 8.239824802289775
Epoch 60, Validation Loss: 6.828657525613826
Epoch 70, Validation Loss: 9.014999179778442
Epoch 80, Validation Loss: 5.853206750162332
Epoch 90, Validation Loss: 8.7680343545774
Epoch 100, Validation Loss: 5.822941358640943
Epoch 110, Validation Loss: 5.803508915293895
Epoch 120, Validation Loss: 6.35627789993837
Epoch 130, Validation Loss: 5.826585277905998
Epoch 140, Validation Loss: 6.203006483724719
Epoch 150, Validation Loss: 7.790883395321153
Epoch 160, Validation Loss: 6.248023653362831
Epoch 170, Validation Loss: 5.857404923321475
Epoch 180, Validation Loss: 6.027092886517733
Epoch 190, Validation Loss: 6.240545140946461
Epoch 200, Validation Loss: 8.410479712002155
Epoch 210, Validation Loss: 6.2475869309271
Epoch 220, Validation Loss: 7.444078788553163
Epoch 230, Validation Loss: 5.964500868111983
Epoch 240, Validation Loss: 6.306747378065322
Epoch 250, Validation Loss: 5.715079229892052
Epoch 260, Validation Loss: 6.001414558755918
Epoch 270, Validation Loss: 5.611304825864683
Epoch 280, Validation Loss: 5.956945066412596
Epoch 290, Validation Loss: 5.499493118859292
Epoch 300, Validation Loss: 6.6520024532643385
Epoch 310, Validation Loss: 5.560929519823405
Epoch 320, Validation Loss: 8.054556044756087
Epoch 330, Validation Loss: 5.999429804031776
Epoch 340, Validation Loss: 7.8760647647537585
Epoch 350, Validation Loss: 5.898420881220622
Epoch 360, Validation Loss: 6.558054333942472
Epoch 370, Validation Loss: 5.090444413012769
Epoch 380, Validation Loss: 4.991937268700707
Epoch 390, Validation Loss: 5.941608546687833
Epoch 400, Validation Loss: 5.205157801920616
Epoch 410, Validation Loss: 7.35056619478017
Epoch 420, Validation Loss: 5.358986123038565
Epoch 430, Validation Loss: 5.525235404121082
Epoch 440, Validation Loss: 4.782766293646666
Epoch 450, Validation Loss: 4.682752300997912
Epoch 460, Validation Loss: 5.447128661878684
Epoch 470, Validation Loss: 4.985866903853739
Epoch 480, Validation Loss: 7.314193850174752
Epoch 490, Validation Loss: 5.282665992302662
Epoch 500, Validation Loss: 6.2554856986974
Epoch 510, Validation Loss: 4.844839197347832
Epoch 520, Validation Loss: 4.75428124964565
Epoch 530, Validation Loss: 5.455289841876336
Epoch 540, Validation Loss: 5.023892506038085
Epoch 550, Validation Loss: 7.0422679554300265
Epoch 560, Validation Loss: 5.201943004081946
Epoch 570, Validation Loss: 5.240997959688059
Epoch 580, Validation Loss: 5.124899488074715
Epoch 590, Validation Loss: 4.985503587183295
Epoch 600, Validation Loss: 7.1108178173376295
Epoch 610, Validation Loss: 5.318601685351155
Epoch 620, Validation Loss: 5.477694070690502
Epoch 630, Validation Loss: 5.112364560249303
Epoch 640, Validation Loss: 5.083673676513629
Epoch 650, Validation Loss: 7.334867671520232
Epoch 660, Validation Loss: 5.206174196511618
Epoch 670, Validation Loss: 4.946519707382547
Epoch 680, Validation Loss: 6.556451002593368
Epoch 690, Validation Loss: 5.538095412248074
Epoch 700, Validation Loss: 5.635740039399521
Epoch 710, Validation Loss: 5.418864589254831
Epoch 720, Validation Loss: 5.403867527423188
Epoch 730, Validation Loss: 6.643121208109703
Epoch 740, Validation Loss: 5.094559573518184
Epoch 750, Validation Loss: 5.133948211520423
Epoch 760, Validation Loss: 7.119836661314086
Epoch 770, Validation Loss: 5.187718661785114
Epoch 780, Validation Loss: 5.1020902638176135
Epoch 790, Validation Loss: 7.233979872109837
Epoch 800, Validation Loss: 5.333524132594056
Epoch 810, Validation Loss: 5.092622341063014
Epoch 820, Validation Loss: 7.034538234839627
Epoch 830, Validation Loss: 5.355541968144135
Epoch 840, Validation Loss: 5.498848965985235
Epoch 850, Validation Loss: 6.2544501895809255
Epoch 860, Validation Loss: 5.974818198603039
Epoch 870, Validation Loss: 5.6940632266413385
Epoch 880, Validation Loss: 5.204464400398202
Epoch 890, Validation Loss: 7.2231274153289595
Epoch 900, Validation Loss: 5.375382198689633
Epoch 910, Validation Loss: 5.493943137342398
Epoch 920, Validation Loss: 5.961556266203945
Epoch 930, Validation Loss: 6.805289809161418
Epoch 940, Validation Loss: 5.408215050753751
Epoch 950, Validation Loss: 5.156420226540276
Epoch 960, Validation Loss: 6.735357043996188
Epoch 970, Validation Loss: 5.92294240822323
Epoch 980, Validation Loss: 5.621303937092344
Epoch 990, Validation Loss: 5.133338277408932
