Epoch 0, Validation Loss: 483.61341699930966
Epoch 10, Validation Loss: 28.984764964424556
Epoch 20, Validation Loss: 23.29219139723516
Epoch 30, Validation Loss: 20.528500721789428
Epoch 40, Validation Loss: 21.387698865143015
Epoch 50, Validation Loss: 19.075629327195394
Epoch 60, Validation Loss: 17.245320726610565
Epoch 70, Validation Loss: 16.437001760914608
Epoch 80, Validation Loss: 15.566441325654383
Epoch 90, Validation Loss: 13.866075918862478
Epoch 100, Validation Loss: 12.24348127013599
Epoch 110, Validation Loss: 11.76990538790931
Epoch 120, Validation Loss: 10.595371233504421
Epoch 130, Validation Loss: 9.984157409223101
Epoch 140, Validation Loss: 9.420682147211014
Epoch 150, Validation Loss: 8.8144296184922
Epoch 160, Validation Loss: 8.263265506096227
Epoch 170, Validation Loss: 7.806131430693564
Epoch 180, Validation Loss: 7.443133181322806
Epoch 190, Validation Loss: 7.166221768361608
Epoch 200, Validation Loss: 6.954469314324652
Epoch 210, Validation Loss: 6.7713526044193175
Epoch 220, Validation Loss: 6.588895825480702
Epoch 230, Validation Loss: 6.401877569965262
Epoch 240, Validation Loss: 6.204690856326133
Epoch 250, Validation Loss: 5.981821300593275
Epoch 260, Validation Loss: 5.742436784711029
Epoch 270, Validation Loss: 5.549356730641923
Epoch 280, Validation Loss: 5.404881567299855
Epoch 290, Validation Loss: 5.290075161326659
Epoch 300, Validation Loss: 5.198798438233148
Epoch 310, Validation Loss: 5.1285139605475925
Epoch 320, Validation Loss: 5.076945228072833
Epoch 330, Validation Loss: 5.0419632402495935
Epoch 340, Validation Loss: 5.021943533794023
Epoch 350, Validation Loss: 5.016014742858621
Epoch 360, Validation Loss: 5.023903256244754
Epoch 370, Validation Loss: 5.044673711504871
Epoch 380, Validation Loss: 5.0750630217945565
Epoch 390, Validation Loss: 5.110719521440356
Epoch 400, Validation Loss: 5.14882123462836
Epoch 410, Validation Loss: 5.188138818011048
Epoch 420, Validation Loss: 5.228188994981712
Epoch 430, Validation Loss: 5.268941281756536
Epoch 440, Validation Loss: 5.31034671555944
Epoch 450, Validation Loss: 5.3516959412403
Epoch 460, Validation Loss: 5.391536447623145
Epoch 470, Validation Loss: 5.428160638551638
Epoch 480, Validation Loss: 5.460137379050672
Epoch 490, Validation Loss: 5.486579560050234
Epoch 500, Validation Loss: 5.507197081385936
Epoch 510, Validation Loss: 5.523233018432045
Epoch 520, Validation Loss: 5.537679306766153
Epoch 530, Validation Loss: 5.46432770328349
Epoch 540, Validation Loss: 5.451794838387986
Epoch 550, Validation Loss: 5.3324330768327455
Epoch 560, Validation Loss: 5.381802252412341
Epoch 570, Validation Loss: 5.395284174893492
Epoch 580, Validation Loss: 5.42268602105457
Epoch 590, Validation Loss: 5.46054027276022
Epoch 600, Validation Loss: 5.4874890078660545
Epoch 610, Validation Loss: 5.532696390706673
Epoch 620, Validation Loss: 5.643529728197662
Epoch 630, Validation Loss: 5.8609823901393225
Epoch 640, Validation Loss: 5.890590783169734
Epoch 650, Validation Loss: 5.756777661902489
Epoch 660, Validation Loss: 5.855968104763628
Epoch 670, Validation Loss: 6.063611052103959
Epoch 680, Validation Loss: 5.979269170457581
Epoch 690, Validation Loss: 6.174788354773649
Epoch 700, Validation Loss: 6.209732403037524
Epoch 710, Validation Loss: 6.383757653884095
Epoch 720, Validation Loss: 6.6452721391080996
Epoch 730, Validation Loss: 6.329038174872496
Epoch 740, Validation Loss: 6.571229344922635
Epoch 750, Validation Loss: 6.667715813348774
Epoch 760, Validation Loss: 7.2373971815320495
Epoch 770, Validation Loss: 6.71447257665897
Epoch 780, Validation Loss: 6.788141822889394
Epoch 790, Validation Loss: 6.928752045676037
Epoch 800, Validation Loss: 7.445903102443804
Epoch 810, Validation Loss: 7.560531735144596
Epoch 820, Validation Loss: 6.980373168614468
Epoch 830, Validation Loss: 7.170546483188183
Epoch 840, Validation Loss: 7.367218510762762
Epoch 850, Validation Loss: 8.17445538417653
Epoch 860, Validation Loss: 7.7937168492073
Epoch 870, Validation Loss: 7.284849571557092
Epoch 880, Validation Loss: 7.5422224501816375
Epoch 890, Validation Loss: 8.169270794065321
Epoch 900, Validation Loss: 8.110920919026213
Epoch 910, Validation Loss: 7.554086937087089
Epoch 920, Validation Loss: 7.768264101225804
Epoch 930, Validation Loss: 8.708878824994837
Epoch 940, Validation Loss: 7.975157564701804
Epoch 950, Validation Loss: 7.8484173646851785
Epoch 960, Validation Loss: 8.34636521671814
Epoch 970, Validation Loss: 8.717294769321525
Epoch 980, Validation Loss: 7.9668864668773445
Epoch 990, Validation Loss: 8.311937093840768
