Epoch 0, Validation Loss: 483.56974097441247
Epoch 10, Validation Loss: 28.875077353372234
Epoch 20, Validation Loss: 21.82214973684652
Epoch 30, Validation Loss: 19.2119442460776
Epoch 40, Validation Loss: 20.66077036603411
Epoch 50, Validation Loss: 18.179068390652347
Epoch 60, Validation Loss: 16.887999955281174
Epoch 70, Validation Loss: 16.31153867707963
Epoch 80, Validation Loss: 15.626348286164365
Epoch 90, Validation Loss: 14.353073844715967
Epoch 100, Validation Loss: 12.347743815346515
Epoch 110, Validation Loss: 10.942457406381308
Epoch 120, Validation Loss: 10.175554073986078
Epoch 130, Validation Loss: 9.56520985509669
Epoch 140, Validation Loss: 8.901504778132557
Epoch 150, Validation Loss: 8.238041518861195
Epoch 160, Validation Loss: 7.7124150633077635
Epoch 170, Validation Loss: 7.321748085629207
Epoch 180, Validation Loss: 7.03366516165356
Epoch 190, Validation Loss: 6.861077337968296
Epoch 200, Validation Loss: 6.740827036756035
Epoch 210, Validation Loss: 6.642902051405828
Epoch 220, Validation Loss: 6.566439924299624
Epoch 230, Validation Loss: 6.50596080378352
Epoch 240, Validation Loss: 6.446399943167322
Epoch 250, Validation Loss: 6.382023876557053
Epoch 260, Validation Loss: 6.31533282298237
Epoch 270, Validation Loss: 6.252870512876666
Epoch 280, Validation Loss: 6.199655999373668
Epoch 290, Validation Loss: 6.155119499592471
Epoch 300, Validation Loss: 6.11550505718484
Epoch 310, Validation Loss: 6.077926085133487
Epoch 320, Validation Loss: 6.041798265829825
Epoch 330, Validation Loss: 6.008384499042934
Epoch 340, Validation Loss: 5.979929415054161
Epoch 350, Validation Loss: 5.958863610409771
Epoch 360, Validation Loss: 5.947024655728018
Epoch 370, Validation Loss: 5.944927459944756
Epoch 380, Validation Loss: 5.951361874113579
Epoch 390, Validation Loss: 5.963621481104635
Epoch 400, Validation Loss: 5.978333024139375
Epoch 410, Validation Loss: 5.992424646033543
Epoch 420, Validation Loss: 6.003744128362335
Epoch 430, Validation Loss: 6.011210340949157
Epoch 440, Validation Loss: 6.014664933118271
Epoch 450, Validation Loss: 6.014604900459419
Epoch 460, Validation Loss: 6.011895569864779
Epoch 470, Validation Loss: 6.007517597336133
Epoch 480, Validation Loss: 6.002384240633375
Epoch 490, Validation Loss: 5.997242947859892
Epoch 500, Validation Loss: 5.992649309687348
Epoch 510, Validation Loss: 5.98898826279536
Epoch 520, Validation Loss: 5.986518765872169
Epoch 530, Validation Loss: 5.98542442491136
Epoch 540, Validation Loss: 5.985857542149245
Epoch 550, Validation Loss: 5.98796737570167
Epoch 560, Validation Loss: 5.991907275647344
Epoch 570, Validation Loss: 5.997821770664429
Epoch 580, Validation Loss: 6.005822271519079
Epoch 590, Validation Loss: 6.0159642680043905
Epoch 600, Validation Loss: 6.028236365225792
Epoch 610, Validation Loss: 6.042564011576443
Epoch 620, Validation Loss: 6.0588238318009715
Epoch 630, Validation Loss: 6.0768621358071435
Epoch 640, Validation Loss: 6.096512960998235
Epoch 650, Validation Loss: 6.117613836304557
Epoch 660, Validation Loss: 6.140019043457833
Epoch 670, Validation Loss: 6.163610175986646
Epoch 680, Validation Loss: 6.1883029991505465
Epoch 690, Validation Loss: 6.214048759742409
Epoch 700, Validation Loss: 6.240827627816313
Epoch 710, Validation Loss: 6.268632100662497
Epoch 720, Validation Loss: 6.2974392346721215
Epoch 730, Validation Loss: 6.3271730454563
Epoch 740, Validation Loss: 6.357662979756478
Epoch 750, Validation Loss: 6.388610658475173
Epoch 760, Validation Loss: 6.419582129966705
Epoch 770, Validation Loss: 6.4500410684462635
Epoch 780, Validation Loss: 6.479425253160897
Epoch 790, Validation Loss: 6.507245747113264
Epoch 800, Validation Loss: 6.533979007214573
Epoch 810, Validation Loss: 6.173683811167664
Epoch 820, Validation Loss: 5.983933929411383
Epoch 830, Validation Loss: 6.5425410825426065
Epoch 840, Validation Loss: 5.968322551181898
Epoch 850, Validation Loss: 6.501725537529555
Epoch 860, Validation Loss: 6.101576879291839
Epoch 870, Validation Loss: 6.295424054845467
Epoch 880, Validation Loss: 6.393215751562549
Epoch 890, Validation Loss: 6.127213425192348
Epoch 900, Validation Loss: 6.6660510852055515
Epoch 910, Validation Loss: 6.033653119303999
Epoch 920, Validation Loss: 6.418942910283551
Epoch 930, Validation Loss: 6.400732782979119
Epoch 940, Validation Loss: 6.142988197552623
Epoch 950, Validation Loss: 6.601466759640376
Epoch 960, Validation Loss: 6.101828807120121
Epoch 970, Validation Loss: 6.275066837831874
Epoch 980, Validation Loss: 6.6134421961816905
Epoch 990, Validation Loss: 5.953889071568239
