Epoch 0, Validation Loss: 483.7822869106939
Epoch 10, Validation Loss: 14.151553367160988
Epoch 20, Validation Loss: 13.657667670377487
Epoch 30, Validation Loss: 12.135713289669027
Epoch 40, Validation Loss: 10.158829925261989
Epoch 50, Validation Loss: 8.539202044098166
Epoch 60, Validation Loss: 8.884805449386347
Epoch 70, Validation Loss: 7.22616772736387
Epoch 80, Validation Loss: 6.042164601370352
Epoch 90, Validation Loss: 7.748651395351561
Epoch 100, Validation Loss: 5.957818390471746
Epoch 110, Validation Loss: 7.84460209038221
Epoch 120, Validation Loss: 5.849905673860995
Epoch 130, Validation Loss: 8.639889589371636
Epoch 140, Validation Loss: 6.843193544456728
Epoch 150, Validation Loss: 6.019772372318396
Epoch 160, Validation Loss: 6.839079973311343
Epoch 170, Validation Loss: 7.295836337053906
Epoch 180, Validation Loss: 6.040287427483661
Epoch 190, Validation Loss: 6.85000871772223
Epoch 200, Validation Loss: 7.997686209465664
Epoch 210, Validation Loss: 6.07018556954007
Epoch 220, Validation Loss: 5.933463819437904
Epoch 230, Validation Loss: 6.026070170391047
Epoch 240, Validation Loss: 6.3415543427104994
Epoch 250, Validation Loss: 6.675072465817518
Epoch 260, Validation Loss: 6.4342522443522965
Epoch 270, Validation Loss: 7.4022380291387435
Epoch 280, Validation Loss: 6.524803066746407
Epoch 290, Validation Loss: 8.186904310819337
Epoch 300, Validation Loss: 6.270713183853824
Epoch 310, Validation Loss: 8.434941176357224
Epoch 320, Validation Loss: 6.02653954022292
Epoch 330, Validation Loss: 8.436263859341148
Epoch 340, Validation Loss: 5.9809440801835265
Epoch 350, Validation Loss: 8.296119123173353
Epoch 360, Validation Loss: 6.033805105550298
Epoch 370, Validation Loss: 8.115560189636847
Epoch 380, Validation Loss: 5.994590855145956
Epoch 390, Validation Loss: 7.984858308498755
Epoch 400, Validation Loss: 6.054412914921568
Epoch 410, Validation Loss: 7.935655656123246
Epoch 420, Validation Loss: 5.975230444722297
Epoch 430, Validation Loss: 7.755656838784743
Epoch 440, Validation Loss: 6.009439405929826
Epoch 450, Validation Loss: 7.4321327433257975
Epoch 460, Validation Loss: 5.8661861887311275
Epoch 470, Validation Loss: 6.226066457927064
Epoch 480, Validation Loss: 5.5813370538674025
Epoch 490, Validation Loss: 5.4486458264830375
Epoch 500, Validation Loss: 5.501859284093079
Epoch 510, Validation Loss: 5.238285105337911
Epoch 520, Validation Loss: 6.352096101037039
Epoch 530, Validation Loss: 5.5673409591450085
Epoch 540, Validation Loss: 7.491294648303643
Epoch 550, Validation Loss: 5.741106319801912
Epoch 560, Validation Loss: 6.669450503023958
Epoch 570, Validation Loss: 5.610788288548221
Epoch 580, Validation Loss: 5.8071995354335435
Epoch 590, Validation Loss: 5.4483149403068465
Epoch 600, Validation Loss: 5.298731159666448
Epoch 610, Validation Loss: 6.124072751089019
Epoch 620, Validation Loss: 5.519854752869797
Epoch 630, Validation Loss: 7.683898062645513
Epoch 640, Validation Loss: 5.817782035078694
Epoch 650, Validation Loss: 6.885994126968145
Epoch 660, Validation Loss: 5.646147419670624
Epoch 670, Validation Loss: 5.461601623575973
Epoch 680, Validation Loss: 7.695760068660317
Epoch 690, Validation Loss: 5.818635588416068
Epoch 700, Validation Loss: 6.4800856506335744
Epoch 710, Validation Loss: 5.9858762019657545
Epoch 720, Validation Loss: 5.600028884617839
Epoch 730, Validation Loss: 7.868717907760824
Epoch 740, Validation Loss: 5.555916344119974
Epoch 750, Validation Loss: 5.588445137211207
Epoch 760, Validation Loss: 7.463754935768428
Epoch 770, Validation Loss: 5.761335255822547
Epoch 780, Validation Loss: 6.663883776729712
Epoch 790, Validation Loss: 6.167729655492779
Epoch 800, Validation Loss: 5.657460656182271
Epoch 810, Validation Loss: 7.579971832838232
Epoch 820, Validation Loss: 5.823780286334572
Epoch 830, Validation Loss: 5.696746517362682
Epoch 840, Validation Loss: 8.253285137042832
Epoch 850, Validation Loss: 5.759179158567299
Epoch 860, Validation Loss: 5.790765609694594
Epoch 870, Validation Loss: 8.032998774244167
Epoch 880, Validation Loss: 5.7311487904935685
Epoch 890, Validation Loss: 5.8514166941507355
Epoch 900, Validation Loss: 7.985939817408949
Epoch 910, Validation Loss: 5.9210643552756315
Epoch 920, Validation Loss: 5.821325578687669
Epoch 930, Validation Loss: 7.812021588971436
Epoch 940, Validation Loss: 6.109601162153622
Epoch 950, Validation Loss: 5.889915956691146
Epoch 960, Validation Loss: 7.3130294738159805
Epoch 970, Validation Loss: 6.92037063132151
Epoch 980, Validation Loss: 5.8997628002094435
Epoch 990, Validation Loss: 6.522649827403705
