Epoch 0, Validation Loss: 483.45505456137147
Epoch 10, Validation Loss: 29.070074188530523
Epoch 20, Validation Loss: 22.492511312412347
Epoch 30, Validation Loss: 19.666061311932154
Epoch 40, Validation Loss: 20.311180863358647
Epoch 50, Validation Loss: 17.59718361089324
Epoch 60, Validation Loss: 16.081616402495058
Epoch 70, Validation Loss: 14.647010777397012
Epoch 80, Validation Loss: 12.52025994855909
Epoch 90, Validation Loss: 11.386018503687508
Epoch 100, Validation Loss: 11.17829675156421
Epoch 110, Validation Loss: 10.629726382270494
Epoch 120, Validation Loss: 9.656780640830217
Epoch 130, Validation Loss: 8.931833178759295
Epoch 140, Validation Loss: 8.369865911459017
Epoch 150, Validation Loss: 8.015039171289445
Epoch 160, Validation Loss: 7.79664109579208
Epoch 170, Validation Loss: 7.6830851995415825
Epoch 180, Validation Loss: 7.5954404476370945
Epoch 190, Validation Loss: 7.497480802140958
Epoch 200, Validation Loss: 7.386728716212487
Epoch 210, Validation Loss: 7.267298856180098
Epoch 220, Validation Loss: 7.144782924946121
Epoch 230, Validation Loss: 7.025359827180453
Epoch 240, Validation Loss: 6.914051260140881
Epoch 250, Validation Loss: 6.813398705875166
Epoch 260, Validation Loss: 6.724051902254645
Epoch 270, Validation Loss: 6.645708158073636
Epoch 280, Validation Loss: 6.577272541475904
Epoch 290, Validation Loss: 6.516844033681141
Epoch 300, Validation Loss: 6.461864916257111
Epoch 310, Validation Loss: 6.409402212657019
Epoch 320, Validation Loss: 6.356477013571617
Epoch 330, Validation Loss: 6.300366320645257
Epoch 340, Validation Loss: 6.238862523164895
Epoch 350, Validation Loss: 6.170387688792829
Epoch 360, Validation Loss: 6.0938805681033985
Epoch 370, Validation Loss: 6.008763349304566
Epoch 380, Validation Loss: 5.915387417438268
Epoch 390, Validation Loss: 5.815596375855754
Epoch 400, Validation Loss: 5.712763985050948
Epoch 410, Validation Loss: 5.611491662997551
Epoch 420, Validation Loss: 5.517484518113679
Epoch 430, Validation Loss: 5.436826706779042
Epoch 440, Validation Loss: 5.373901838103552
Epoch 450, Validation Loss: 5.33009697008926
Epoch 460, Validation Loss: 5.3044536699282965
Epoch 470, Validation Loss: 5.294870106121813
Epoch 480, Validation Loss: 5.298957253589546
Epoch 490, Validation Loss: 5.314524656071501
Epoch 500, Validation Loss: 5.339831049531798
Epoch 510, Validation Loss: 5.373701026133008
Epoch 520, Validation Loss: 5.415536888167271
Epoch 530, Validation Loss: 5.465181814852615
Epoch 540, Validation Loss: 5.522679527061683
Epoch 550, Validation Loss: 5.588091931882796
Epoch 560, Validation Loss: 5.661434768489113
Epoch 570, Validation Loss: 5.7423916996553785
Epoch 580, Validation Loss: 5.88795957119742
Epoch 590, Validation Loss: 5.731875017566013
Epoch 600, Validation Loss: 5.777638307265356
Epoch 610, Validation Loss: 5.9463340247869585
Epoch 620, Validation Loss: 6.14972811915427
Epoch 630, Validation Loss: 6.348805087345217
Epoch 640, Validation Loss: 6.470099702176571
Epoch 650, Validation Loss: 6.599629088975031
Epoch 660, Validation Loss: 6.709270732371448
Epoch 670, Validation Loss: 6.817368801979062
Epoch 680, Validation Loss: 6.929754367310428
Epoch 690, Validation Loss: 7.052481180368442
Epoch 700, Validation Loss: 7.189993736048118
Epoch 710, Validation Loss: 7.315326543828516
Epoch 720, Validation Loss: 7.402996661707483
Epoch 730, Validation Loss: 7.519175911679253
Epoch 740, Validation Loss: 7.668385869868138
Epoch 750, Validation Loss: 7.828824315841476
Epoch 760, Validation Loss: 7.978084674933921
Epoch 770, Validation Loss: 8.009815118025976
Epoch 780, Validation Loss: 7.89036639211011
Epoch 790, Validation Loss: 7.784807731058639
Epoch 800, Validation Loss: 7.903629207609467
Epoch 810, Validation Loss: 8.158494715762153
Epoch 820, Validation Loss: 8.450017477841632
Epoch 830, Validation Loss: 8.663701628108615
Epoch 840, Validation Loss: 8.414055890556547
Epoch 850, Validation Loss: 8.114946801031566
Epoch 860, Validation Loss: 8.290316133210657
Epoch 870, Validation Loss: 8.648579460849586
Epoch 880, Validation Loss: 8.978845223222365
Epoch 890, Validation Loss: 8.913380666017392
Epoch 900, Validation Loss: 8.430516741009425
Epoch 910, Validation Loss: 8.413626375259994
Epoch 920, Validation Loss: 8.759349250905013
Epoch 930, Validation Loss: 9.172623191556662
Epoch 940, Validation Loss: 9.344015901753446
Epoch 950, Validation Loss: 8.868823300947337
Epoch 960, Validation Loss: 8.560163893082056
Epoch 970, Validation Loss: 8.783068382583902
Epoch 980, Validation Loss: 9.189792133839267
Epoch 990, Validation Loss: 9.599195780960672
