Epoch 0, Validation Loss: 483.64755466441767
Epoch 10, Validation Loss: 29.408140304584595
Epoch 20, Validation Loss: 22.58322762717078
Epoch 30, Validation Loss: 21.157530452965453
Epoch 40, Validation Loss: 20.349863233829197
Epoch 50, Validation Loss: 17.586474106072806
Epoch 60, Validation Loss: 16.37534776543203
Epoch 70, Validation Loss: 14.78728655538951
Epoch 80, Validation Loss: 12.35531262048862
Epoch 90, Validation Loss: 11.22224764711882
Epoch 100, Validation Loss: 11.762653427020487
Epoch 110, Validation Loss: 10.681984235426915
Epoch 120, Validation Loss: 10.259221400062453
Epoch 130, Validation Loss: 9.741066983013553
Epoch 140, Validation Loss: 9.01267016802589
Epoch 150, Validation Loss: 8.394843635671203
Epoch 160, Validation Loss: 7.972075049705232
Epoch 170, Validation Loss: 7.677672289019259
Epoch 180, Validation Loss: 7.454305344297311
Epoch 190, Validation Loss: 7.270090202609549
Epoch 200, Validation Loss: 7.1130912135658795
Epoch 210, Validation Loss: 6.978278509613532
Epoch 220, Validation Loss: 6.86056665389732
Epoch 230, Validation Loss: 6.753605594130969
Epoch 240, Validation Loss: 6.650695108183756
Epoch 250, Validation Loss: 6.5447010755013375
Epoch 260, Validation Loss: 6.425765179392859
Epoch 270, Validation Loss: 6.27897623852785
Epoch 280, Validation Loss: 6.0954987923106545
Epoch 290, Validation Loss: 5.908983631832746
Epoch 300, Validation Loss: 5.78263646425478
Epoch 310, Validation Loss: 5.727082188935785
Epoch 320, Validation Loss: 5.712558937410712
Epoch 330, Validation Loss: 5.716780101091051
Epoch 340, Validation Loss: 5.729801296384284
Epoch 350, Validation Loss: 5.747409514347269
Epoch 360, Validation Loss: 5.7674860505314385
Epoch 370, Validation Loss: 5.788752072716606
Epoch 380, Validation Loss: 5.810523853692919
Epoch 390, Validation Loss: 5.83275225528807
Epoch 400, Validation Loss: 5.856005812383674
Epoch 410, Validation Loss: 5.881364979592541
Epoch 420, Validation Loss: 5.910305486560337
Epoch 430, Validation Loss: 5.94456172455619
Epoch 440, Validation Loss: 5.985967019168072
Epoch 450, Validation Loss: 6.036347793614072
Epoch 460, Validation Loss: 6.0975315314974425
Epoch 470, Validation Loss: 6.171449254116644
Epoch 480, Validation Loss: 6.260140753771478
Epoch 490, Validation Loss: 6.365182559684815
Epoch 500, Validation Loss: 6.48689276302257
Epoch 510, Validation Loss: 6.625348514905843
Epoch 520, Validation Loss: 6.7819359977141636
Epoch 530, Validation Loss: 6.963579757322088
Epoch 540, Validation Loss: 7.1473855556859744
Epoch 550, Validation Loss: 7.311282095101846
Epoch 560, Validation Loss: 7.458599986013962
Epoch 570, Validation Loss: 7.599840400667137
Epoch 580, Validation Loss: 7.737650154418993
Epoch 590, Validation Loss: 7.870703660384978
Epoch 600, Validation Loss: 7.998427258578466
Epoch 610, Validation Loss: 8.122346576505393
Epoch 620, Validation Loss: 8.21143189988934
Epoch 630, Validation Loss: 8.28207979527214
Epoch 640, Validation Loss: 8.356021665441341
Epoch 650, Validation Loss: 8.429749589286516
Epoch 660, Validation Loss: 8.490662600481551
Epoch 670, Validation Loss: 8.550827195656547
Epoch 680, Validation Loss: 8.611365134331438
Epoch 690, Validation Loss: 8.840905019011823
Epoch 700, Validation Loss: 8.676055336611157
Epoch 710, Validation Loss: 8.794422245093099
Epoch 720, Validation Loss: 9.078138156174662
Epoch 730, Validation Loss: 8.903405146204683
Epoch 740, Validation Loss: 8.989066556058058
Epoch 750, Validation Loss: 9.432828963234913
Epoch 760, Validation Loss: 9.147873526686679
Epoch 770, Validation Loss: 9.314503369812986
Epoch 780, Validation Loss: 9.792127326213922
Epoch 790, Validation Loss: 9.443653512911002
Epoch 800, Validation Loss: 9.90245197532118
Epoch 810, Validation Loss: 10.019927080853197
Epoch 820, Validation Loss: 9.80154418475923
Epoch 830, Validation Loss: 10.632993366292398
Epoch 840, Validation Loss: 10.212397271504718
Epoch 850, Validation Loss: 10.394940094238825
Epoch 860, Validation Loss: 10.987857285590856
Epoch 870, Validation Loss: 10.45589240312326
Epoch 880, Validation Loss: 11.274114871530964
Epoch 890, Validation Loss: 11.152571952850549
Epoch 900, Validation Loss: 10.962944295728736
Epoch 910, Validation Loss: 11.818434006994226
Epoch 920, Validation Loss: 11.089535627963798
Epoch 930, Validation Loss: 11.582170565260418
Epoch 940, Validation Loss: 11.97552620897625
Epoch 950, Validation Loss: 11.458730646008117
Epoch 960, Validation Loss: 12.333455684685353
Epoch 970, Validation Loss: 12.194302138310094
Epoch 980, Validation Loss: 11.873770797590183
Epoch 990, Validation Loss: 12.656265196983625
