Epoch 0, Validation Loss: 483.5486598585299
Epoch 10, Validation Loss: 29.119563807570923
Epoch 20, Validation Loss: 23.649653473070803
Epoch 30, Validation Loss: 21.202102298772378
Epoch 40, Validation Loss: 20.816150840950417
Epoch 50, Validation Loss: 17.927176485124804
Epoch 60, Validation Loss: 16.71478667057918
Epoch 70, Validation Loss: 15.229852442596767
Epoch 80, Validation Loss: 12.059514974195567
Epoch 90, Validation Loss: 11.063236602313578
Epoch 100, Validation Loss: 10.401936150109728
Epoch 110, Validation Loss: 9.887479259869266
Epoch 120, Validation Loss: 9.480935136914802
Epoch 130, Validation Loss: 9.171562608241164
Epoch 140, Validation Loss: 8.908202072756385
Epoch 150, Validation Loss: 8.547319602660629
Epoch 160, Validation Loss: 8.013757045561327
Epoch 170, Validation Loss: 7.341478226838198
Epoch 180, Validation Loss: 6.91930924737313
Epoch 190, Validation Loss: 6.810627329788179
Epoch 200, Validation Loss: 6.786037173824579
Epoch 210, Validation Loss: 6.767256295145711
Epoch 220, Validation Loss: 6.786462213736662
Epoch 230, Validation Loss: 6.824713467872203
Epoch 240, Validation Loss: 6.844547525849353
Epoch 250, Validation Loss: 6.84531724455498
Epoch 260, Validation Loss: 6.851405672260175
Epoch 270, Validation Loss: 6.685223244046977
Epoch 280, Validation Loss: 6.838216942943219
Epoch 290, Validation Loss: 6.759644555596974
Epoch 300, Validation Loss: 6.634034603462638
Epoch 310, Validation Loss: 6.618098870461615
Epoch 320, Validation Loss: 6.6989451422364
Epoch 330, Validation Loss: 6.584700502455873
Epoch 340, Validation Loss: 6.532627872825632
Epoch 350, Validation Loss: 6.529688919979025
Epoch 360, Validation Loss: 6.487077119212802
Epoch 370, Validation Loss: 6.247856282915466
Epoch 380, Validation Loss: 6.377562914457357
Epoch 390, Validation Loss: 6.079220739609573
Epoch 400, Validation Loss: 6.043159086471099
Epoch 410, Validation Loss: 5.830727458250379
Epoch 420, Validation Loss: 5.901450310810007
Epoch 430, Validation Loss: 5.7758673820879025
Epoch 440, Validation Loss: 5.632171426349386
Epoch 450, Validation Loss: 5.490392974312451
Epoch 460, Validation Loss: 5.35765408783723
Epoch 470, Validation Loss: 5.256549097825917
Epoch 480, Validation Loss: 5.210594593772058
Epoch 490, Validation Loss: 5.146344075049032
Epoch 500, Validation Loss: 5.19567931228034
Epoch 510, Validation Loss: 5.128449244865542
Epoch 520, Validation Loss: 5.085201606512159
Epoch 530, Validation Loss: 5.050455233750506
Epoch 540, Validation Loss: 5.023841642310745
Epoch 550, Validation Loss: 5.005442010625085
Epoch 560, Validation Loss: 4.99477125331023
Epoch 570, Validation Loss: 4.990991481393673
Epoch 580, Validation Loss: 4.992867281621577
Epoch 590, Validation Loss: 4.998976971760133
Epoch 600, Validation Loss: 5.00795796649073
Epoch 610, Validation Loss: 5.018459217812867
Epoch 620, Validation Loss: 5.028614547065248
Epoch 630, Validation Loss: 5.036207933004168
Epoch 640, Validation Loss: 5.0427109982573555
Epoch 650, Validation Loss: 5.070581334413767
Epoch 660, Validation Loss: 5.153604613314349
Epoch 670, Validation Loss: 5.1052744795687435
Epoch 680, Validation Loss: 5.077739203656747
Epoch 690, Validation Loss: 5.148530114318863
Epoch 700, Validation Loss: 5.196838866928539
Epoch 710, Validation Loss: 5.21781356771354
Epoch 720, Validation Loss: 5.343976193215738
Epoch 730, Validation Loss: 5.3482693147045435
Epoch 740, Validation Loss: 5.369481502952371
Epoch 750, Validation Loss: 5.446991121074699
Epoch 760, Validation Loss: 5.339849029003537
Epoch 770, Validation Loss: 5.162544989481514
Epoch 780, Validation Loss: 5.2196871596272585
Epoch 790, Validation Loss: 5.257148746919453
Epoch 800, Validation Loss: 5.436991583661808
Epoch 810, Validation Loss: 5.369240058701828
Epoch 820, Validation Loss: 5.308370400050609
Epoch 830, Validation Loss: 5.526148894235331
Epoch 840, Validation Loss: 5.417567963359324
Epoch 850, Validation Loss: 5.593858417721719
Epoch 860, Validation Loss: 5.51726102762827
Epoch 870, Validation Loss: 5.702477925682279
Epoch 880, Validation Loss: 5.599233588473534
Epoch 890, Validation Loss: 5.650667350350326
Epoch 900, Validation Loss: 5.847758964250374
Epoch 910, Validation Loss: 5.883590076108431
Epoch 920, Validation Loss: 5.828775735822129
Epoch 930, Validation Loss: 5.78592062777463
Epoch 940, Validation Loss: 5.791958978108359
Epoch 950, Validation Loss: 5.818109381874651
Epoch 960, Validation Loss: 5.845464457917127
Epoch 970, Validation Loss: 5.8812771167889695
Epoch 980, Validation Loss: 6.066155667844794
Epoch 990, Validation Loss: 6.125751356497643
