Epoch 0, Validation Loss: 483.81699313631105
Epoch 10, Validation Loss: 12.016213648960989
Epoch 20, Validation Loss: 13.835189388520865
Epoch 30, Validation Loss: 12.296753787375028
Epoch 40, Validation Loss: 10.048120298242694
Epoch 50, Validation Loss: 8.185957566495686
Epoch 60, Validation Loss: 6.733334753481912
Epoch 70, Validation Loss: 6.108762530820279
Epoch 80, Validation Loss: 6.986392844871338
Epoch 90, Validation Loss: 6.752842630202871
Epoch 100, Validation Loss: 6.429386922621749
Epoch 110, Validation Loss: 6.8402100215381445
Epoch 120, Validation Loss: 7.000308340721445
Epoch 130, Validation Loss: 6.74259825314761
Epoch 140, Validation Loss: 6.374739009504782
Epoch 150, Validation Loss: 5.997163480544689
Epoch 160, Validation Loss: 8.587690960129748
Epoch 170, Validation Loss: 6.732122509047276
Epoch 180, Validation Loss: 7.063467136812332
Epoch 190, Validation Loss: 6.27730261671639
Epoch 200, Validation Loss: 6.137854000739423
Epoch 210, Validation Loss: 6.3952030458715505
Epoch 220, Validation Loss: 6.569982920584932
Epoch 230, Validation Loss: 8.410085727199549
Epoch 240, Validation Loss: 6.87234674362913
Epoch 250, Validation Loss: 8.682490275174365
Epoch 260, Validation Loss: 6.577745390042426
Epoch 270, Validation Loss: 7.402727613791213
Epoch 280, Validation Loss: 6.115586029259975
Epoch 290, Validation Loss: 6.653099315587258
Epoch 300, Validation Loss: 5.92406730591619
Epoch 310, Validation Loss: 5.932232380325661
Epoch 320, Validation Loss: 5.783711588387856
Epoch 330, Validation Loss: 5.6492609320207485
Epoch 340, Validation Loss: 5.82108153767629
Epoch 350, Validation Loss: 5.714492957417551
Epoch 360, Validation Loss: 5.918398255941116
Epoch 370, Validation Loss: 5.6759191387002
Epoch 380, Validation Loss: 6.0099231905748836
Epoch 390, Validation Loss: 5.789154122987411
Epoch 400, Validation Loss: 5.881883553585212
Epoch 410, Validation Loss: 5.525535287698802
Epoch 420, Validation Loss: 5.5957091114417254
Epoch 430, Validation Loss: 5.520832037585585
Epoch 440, Validation Loss: 5.553782812059907
Epoch 450, Validation Loss: 5.481322187683504
Epoch 460, Validation Loss: 5.4492986094278795
Epoch 470, Validation Loss: 5.429658363902765
Epoch 480, Validation Loss: 5.390250389959946
Epoch 490, Validation Loss: 5.35591031488049
Epoch 500, Validation Loss: 5.179590354849148
Epoch 510, Validation Loss: 5.368172910310318
Epoch 520, Validation Loss: 5.14382962707094
Epoch 530, Validation Loss: 6.124188067990058
Epoch 540, Validation Loss: 5.544580827676727
Epoch 550, Validation Loss: 7.483689495371869
Epoch 560, Validation Loss: 5.902795997596529
Epoch 570, Validation Loss: 6.380262257294771
Epoch 580, Validation Loss: 5.347566513541097
Epoch 590, Validation Loss: 5.280786567707301
Epoch 600, Validation Loss: 7.003765018596769
Epoch 610, Validation Loss: 6.0237706163527465
Epoch 620, Validation Loss: 5.827364140487647
Epoch 630, Validation Loss: 5.229143714837098
Epoch 640, Validation Loss: 5.193532151370607
Epoch 650, Validation Loss: 7.300453774426441
Epoch 660, Validation Loss: 5.530006034017118
Epoch 670, Validation Loss: 5.08890449166549
Epoch 680, Validation Loss: 6.3487627319212105
Epoch 690, Validation Loss: 5.682100732054781
Epoch 700, Validation Loss: 5.46832525205166
Epoch 710, Validation Loss: 6.334621304577793
Epoch 720, Validation Loss: 5.533232240792194
Epoch 730, Validation Loss: 4.989270675608368
Epoch 740, Validation Loss: 7.0439920472314155
Epoch 750, Validation Loss: 5.045934087599484
Epoch 760, Validation Loss: 5.419573466044088
Epoch 770, Validation Loss: 5.809325907004235
Epoch 780, Validation Loss: 6.440051709380715
Epoch 790, Validation Loss: 5.357710820710245
Epoch 800, Validation Loss: 5.255453246174348
Epoch 810, Validation Loss: 6.056287158796671
Epoch 820, Validation Loss: 6.200026127270815
Epoch 830, Validation Loss: 5.160001700069896
Epoch 840, Validation Loss: 5.483739639325596
Epoch 850, Validation Loss: 5.298685816895236
Epoch 860, Validation Loss: 5.800764849811972
Epoch 870, Validation Loss: 6.963007934143191
Epoch 880, Validation Loss: 6.473419596171194
Epoch 890, Validation Loss: 5.4631159316349525
Epoch 900, Validation Loss: 5.457968094893577
Epoch 910, Validation Loss: 5.584634361808337
Epoch 920, Validation Loss: 5.382768945706083
Epoch 930, Validation Loss: 5.464338042817731
Epoch 940, Validation Loss: 5.805320548437526
Epoch 950, Validation Loss: 6.798591435090947
Epoch 960, Validation Loss: 6.623543851924086
Epoch 970, Validation Loss: 5.965893064607397
Epoch 980, Validation Loss: 5.670706434683228
Epoch 990, Validation Loss: 5.308484676527669
