Epoch 0, Validation Loss: 483.54794579038503
Epoch 10, Validation Loss: 29.019090645099226
Epoch 20, Validation Loss: 23.647828897111722
Epoch 30, Validation Loss: 21.611015087864494
Epoch 40, Validation Loss: 21.284020498023843
Epoch 50, Validation Loss: 19.029360226904256
Epoch 60, Validation Loss: 17.171741615398368
Epoch 70, Validation Loss: 15.927519041953312
Epoch 80, Validation Loss: 13.98254957824613
Epoch 90, Validation Loss: 10.856272923804179
Epoch 100, Validation Loss: 9.22575250522715
Epoch 110, Validation Loss: 8.339348094256527
Epoch 120, Validation Loss: 7.890273193179708
Epoch 130, Validation Loss: 7.6285954601656485
Epoch 140, Validation Loss: 7.417758334395813
Epoch 150, Validation Loss: 7.241138252699834
Epoch 160, Validation Loss: 7.053366687663264
Epoch 170, Validation Loss: 6.89851227891082
Epoch 180, Validation Loss: 6.81435914517049
Epoch 190, Validation Loss: 6.798968752931825
Epoch 200, Validation Loss: 6.842301281720314
Epoch 210, Validation Loss: 6.930877598404381
Epoch 220, Validation Loss: 7.0442701617731105
Epoch 230, Validation Loss: 7.157155753968479
Epoch 240, Validation Loss: 7.2458722620143545
Epoch 250, Validation Loss: 7.296308444180393
Epoch 260, Validation Loss: 7.307913659462637
Epoch 270, Validation Loss: 7.287990712277027
Epoch 280, Validation Loss: 7.24379015375775
Epoch 290, Validation Loss: 7.184080566877225
Epoch 300, Validation Loss: 7.123411842010533
Epoch 310, Validation Loss: 7.070742972167159
Epoch 320, Validation Loss: 7.019898646522183
Epoch 330, Validation Loss: 6.951684458269697
Epoch 340, Validation Loss: 6.885978448096677
Epoch 350, Validation Loss: 6.825275757693899
Epoch 360, Validation Loss: 6.769430805934317
Epoch 370, Validation Loss: 6.725108188108779
Epoch 380, Validation Loss: 6.693672963885922
Epoch 390, Validation Loss: 6.669605994439169
Epoch 400, Validation Loss: 6.651700327359065
Epoch 410, Validation Loss: 6.6404401669456545
Epoch 420, Validation Loss: 6.6364795609039
Epoch 430, Validation Loss: 6.63977906753706
Epoch 440, Validation Loss: 6.649896117273017
Epoch 450, Validation Loss: 6.6737768330090725
Epoch 460, Validation Loss: 6.718135655379801
Epoch 470, Validation Loss: 6.773923762055064
Epoch 480, Validation Loss: 6.824407743082159
Epoch 490, Validation Loss: 9.028031810810484
Epoch 500, Validation Loss: 6.644995365146416
Epoch 510, Validation Loss: 6.367634312006326
Epoch 520, Validation Loss: 6.412257892285753
Epoch 530, Validation Loss: 7.213265623313104
Epoch 540, Validation Loss: 7.921396295724361
Epoch 550, Validation Loss: 7.228029070856615
Epoch 560, Validation Loss: 6.624316482514111
Epoch 570, Validation Loss: 7.076889829446099
Epoch 580, Validation Loss: 7.89993636974594
Epoch 590, Validation Loss: 6.99536153280729
Epoch 600, Validation Loss: 7.017263368005615
Epoch 610, Validation Loss: 7.956948824807527
Epoch 620, Validation Loss: 7.057992481144059
Epoch 630, Validation Loss: 7.476082046791347
Epoch 640, Validation Loss: 7.7314889094354955
Epoch 650, Validation Loss: 7.174750467998358
Epoch 660, Validation Loss: 8.097489198316465
Epoch 670, Validation Loss: 7.299933934746128
Epoch 680, Validation Loss: 7.991763109994136
Epoch 690, Validation Loss: 7.591683710934461
Epoch 700, Validation Loss: 7.80912922041974
Epoch 710, Validation Loss: 7.947352136393144
Epoch 720, Validation Loss: 7.708793145966213
Epoch 730, Validation Loss: 8.32367339043969
Epoch 740, Validation Loss: 7.706405046274354
Epoch 750, Validation Loss: 8.678398444659416
Epoch 760, Validation Loss: 7.8098535216207186
Epoch 770, Validation Loss: 8.933505816843374
Epoch 780, Validation Loss: 8.030603076510873
Epoch 790, Validation Loss: 9.063799749955496
Epoch 800, Validation Loss: 8.346843448379044
Epoch 810, Validation Loss: 9.152899117158606
Epoch 820, Validation Loss: 8.692775140081139
Epoch 830, Validation Loss: 9.253757275056586
Epoch 840, Validation Loss: 9.01566247592207
Epoch 850, Validation Loss: 9.366695939392425
Epoch 860, Validation Loss: 9.294380476901875
Epoch 870, Validation Loss: 9.495883911516202
Epoch 880, Validation Loss: 9.51488656767453
Epoch 890, Validation Loss: 9.661318426647243
Epoch 900, Validation Loss: 9.663078236320697
Epoch 910, Validation Loss: 9.878730480082128
Epoch 920, Validation Loss: 9.743014225105037
Epoch 930, Validation Loss: 10.131581570753903
Epoch 940, Validation Loss: 9.797885806668221
Epoch 950, Validation Loss: 10.342498585349313
Epoch 960, Validation Loss: 9.906605781104549
Epoch 970, Validation Loss: 10.416055831411112
Epoch 980, Validation Loss: 10.120073675767985
Epoch 990, Validation Loss: 10.383404969629506
