Epoch 0, Validation Loss: 483.66640004833494
Epoch 10, Validation Loss: 29.39426044173401
Epoch 20, Validation Loss: 23.348677246371505
Epoch 30, Validation Loss: 20.0903353412143
Epoch 40, Validation Loss: 21.308356654871005
Epoch 50, Validation Loss: 18.767751682666376
Epoch 60, Validation Loss: 16.803633638314114
Epoch 70, Validation Loss: 15.300793194477967
Epoch 80, Validation Loss: 12.859790692135537
Epoch 90, Validation Loss: 11.042890666433777
Epoch 100, Validation Loss: 10.073739644191596
Epoch 110, Validation Loss: 9.545218070880697
Epoch 120, Validation Loss: 9.201024489268312
Epoch 130, Validation Loss: 8.66669251526227
Epoch 140, Validation Loss: 7.843224491214857
Epoch 150, Validation Loss: 7.286662421150938
Epoch 160, Validation Loss: 6.902983682178503
Epoch 170, Validation Loss: 6.629038899215427
Epoch 180, Validation Loss: 6.436848390396152
Epoch 190, Validation Loss: 6.298906337477216
Epoch 200, Validation Loss: 6.192014177735067
Epoch 210, Validation Loss: 6.104596639970549
Epoch 220, Validation Loss: 6.032137465225449
Epoch 230, Validation Loss: 5.971675539588417
Epoch 240, Validation Loss: 5.919865301904113
Epoch 250, Validation Loss: 5.8734651927204675
Epoch 260, Validation Loss: 5.8300493452391855
Epoch 270, Validation Loss: 5.788165275973129
Epoch 280, Validation Loss: 5.747256946807573
Epoch 290, Validation Loss: 5.707485951949107
Epoch 300, Validation Loss: 5.669301589776573
Epoch 310, Validation Loss: 5.633037685510324
Epoch 320, Validation Loss: 5.599005047376733
Epoch 330, Validation Loss: 5.5678119825269725
Epoch 340, Validation Loss: 5.540462149454446
Epoch 350, Validation Loss: 5.5180835341538
Epoch 360, Validation Loss: 5.5013944623521684
Epoch 370, Validation Loss: 5.490265655900356
Epoch 380, Validation Loss: 5.483732030846683
Epoch 390, Validation Loss: 5.480507588062274
Epoch 400, Validation Loss: 5.479652937594319
Epoch 410, Validation Loss: 5.480944233466139
Epoch 420, Validation Loss: 5.484777166958239
Epoch 430, Validation Loss: 5.491782043081052
Epoch 440, Validation Loss: 5.5024514234477495
Epoch 450, Validation Loss: 5.516966736387118
Epoch 460, Validation Loss: 5.5352330384968145
Epoch 470, Validation Loss: 5.557023299019774
Epoch 480, Validation Loss: 5.582102915874285
Epoch 490, Validation Loss: 5.610247013970167
Epoch 500, Validation Loss: 5.641152930479717
Epoch 510, Validation Loss: 5.67431001008979
Epoch 520, Validation Loss: 5.708867734854927
Epoch 530, Validation Loss: 5.743490669823039
Epoch 540, Validation Loss: 5.776176378970061
Epoch 550, Validation Loss: 5.80406100953971
Epoch 560, Validation Loss: 5.823420998531903
Epoch 570, Validation Loss: 5.830533729826456
Epoch 580, Validation Loss: 5.824188363646698
Epoch 590, Validation Loss: 5.808240790834312
Epoch 600, Validation Loss: 5.789889024875013
Epoch 610, Validation Loss: 5.7753119486869195
Epoch 620, Validation Loss: 5.768481759095226
Epoch 630, Validation Loss: 5.771806836188742
Epoch 640, Validation Loss: 5.786310714221807
Epoch 650, Validation Loss: 5.812015530388358
Epoch 660, Validation Loss: 5.848700508194766
Epoch 670, Validation Loss: 5.896420352319515
Epoch 680, Validation Loss: 5.955453877702285
Epoch 690, Validation Loss: 6.025893634089679
Epoch 700, Validation Loss: 6.106775031949744
Epoch 710, Validation Loss: 6.217771477630006
Epoch 720, Validation Loss: 6.252211455953162
Epoch 730, Validation Loss: 6.25015339049087
Epoch 740, Validation Loss: 6.346389833026348
Epoch 750, Validation Loss: 6.400972928237956
Epoch 760, Validation Loss: 6.52460133358785
Epoch 770, Validation Loss: 6.69864211629587
Epoch 780, Validation Loss: 6.865306841544559
Epoch 790, Validation Loss: 6.914835921471291
Epoch 800, Validation Loss: 6.840824208534325
Epoch 810, Validation Loss: 6.805700807017856
Epoch 820, Validation Loss: 6.83411478029904
Epoch 830, Validation Loss: 6.966035749697411
Epoch 840, Validation Loss: 7.137400447069708
Epoch 850, Validation Loss: 7.146805755041093
Epoch 860, Validation Loss: 6.993039873585016
Epoch 870, Validation Loss: 6.904669208603339
Epoch 880, Validation Loss: 6.987816408054208
Epoch 890, Validation Loss: 7.173435551025977
Epoch 900, Validation Loss: 7.149627875846153
Epoch 910, Validation Loss: 6.9420142342273135
Epoch 920, Validation Loss: 6.853427851141181
Epoch 930, Validation Loss: 7.009160212379162
Epoch 940, Validation Loss: 7.1050909463255385
Epoch 950, Validation Loss: 6.895561300573512
Epoch 960, Validation Loss: 6.722145408199676
Epoch 970, Validation Loss: 6.837035990136364
Epoch 980, Validation Loss: 6.958011295764847
Epoch 990, Validation Loss: 6.746660831293116
