Epoch 0, Validation Loss: 483.48748110726785
Epoch 10, Validation Loss: 28.854440310558996
Epoch 20, Validation Loss: 22.89250600141164
Epoch 30, Validation Loss: 19.74565738718353
Epoch 40, Validation Loss: 20.509652915273733
Epoch 50, Validation Loss: 17.7807716148344
Epoch 60, Validation Loss: 16.44505043304827
Epoch 70, Validation Loss: 15.532655328614343
Epoch 80, Validation Loss: 13.77521058464709
Epoch 90, Validation Loss: 11.724933122318157
Epoch 100, Validation Loss: 10.779366205460759
Epoch 110, Validation Loss: 10.413254910538807
Epoch 120, Validation Loss: 10.329723216821643
Epoch 130, Validation Loss: 10.188574756952681
Epoch 140, Validation Loss: 9.932875607479318
Epoch 150, Validation Loss: 9.308580384392029
Epoch 160, Validation Loss: 8.63488199667697
Epoch 170, Validation Loss: 8.083747495450707
Epoch 180, Validation Loss: 7.615758189662522
Epoch 190, Validation Loss: 7.417131712233304
Epoch 200, Validation Loss: 7.272882437687426
Epoch 210, Validation Loss: 7.162516205120153
Epoch 220, Validation Loss: 7.067651398761267
Epoch 230, Validation Loss: 6.974640763702321
Epoch 240, Validation Loss: 6.886500207907647
Epoch 250, Validation Loss: 6.803349465669566
Epoch 260, Validation Loss: 6.722527314026582
Epoch 270, Validation Loss: 6.643770430713858
Epoch 280, Validation Loss: 6.5697041485206435
Epoch 290, Validation Loss: 6.503968969056661
Epoch 300, Validation Loss: 6.448463208436747
Epoch 310, Validation Loss: 6.402429777179438
Epoch 320, Validation Loss: 6.363739557291739
Epoch 330, Validation Loss: 6.330269884106971
Epoch 340, Validation Loss: 6.300273579663032
Epoch 350, Validation Loss: 6.27206196928707
Epoch 360, Validation Loss: 6.244710229670607
Epoch 370, Validation Loss: 6.2210050212519645
Epoch 380, Validation Loss: 6.197637824278103
Epoch 390, Validation Loss: 6.164326093773805
Epoch 400, Validation Loss: 6.125095935312008
Epoch 410, Validation Loss: 6.08696101387643
Epoch 420, Validation Loss: 6.05544390160175
Epoch 430, Validation Loss: 6.034596104953945
Epoch 440, Validation Loss: 6.022348929064657
Epoch 450, Validation Loss: 6.0144306831517325
Epoch 460, Validation Loss: 6.008649211617543
Epoch 470, Validation Loss: 6.004805403248436
Epoch 480, Validation Loss: 6.003489613081323
Epoch 490, Validation Loss: 6.005292924539557
Epoch 500, Validation Loss: 6.010519044644397
Epoch 510, Validation Loss: 6.019194799557789
Epoch 520, Validation Loss: 6.031209369131404
Epoch 530, Validation Loss: 6.046467826449223
Epoch 540, Validation Loss: 6.064990923069968
Epoch 550, Validation Loss: 6.0869365748767486
Epoch 560, Validation Loss: 6.112551581780065
Epoch 570, Validation Loss: 6.142077108602729
Epoch 580, Validation Loss: 6.175631916732116
Epoch 590, Validation Loss: 6.213092648551093
Epoch 600, Validation Loss: 6.253988803566834
Epoch 610, Validation Loss: 6.297435894576756
Epoch 620, Validation Loss: 6.342140247464271
Epoch 630, Validation Loss: 6.386507990930896
Epoch 640, Validation Loss: 6.428863678325036
Epoch 650, Validation Loss: 6.467738446858601
Epoch 660, Validation Loss: 6.5021548536048455
Epoch 670, Validation Loss: 6.531837536959888
Epoch 680, Validation Loss: 6.557309139562017
Epoch 690, Validation Loss: 6.579869848470047
Epoch 700, Validation Loss: 6.60148369425599
Epoch 710, Validation Loss: 6.6245823582647105
Epoch 720, Validation Loss: 6.651760916300281
Epoch 730, Validation Loss: 6.685666529929438
Epoch 740, Validation Loss: 6.964703218634886
Epoch 750, Validation Loss: 6.46167570702746
Epoch 760, Validation Loss: 6.846353685213914
Epoch 770, Validation Loss: 7.038514041437329
Epoch 780, Validation Loss: 6.727893821321
Epoch 790, Validation Loss: 7.1766494022237275
Epoch 800, Validation Loss: 6.830249454154776
Epoch 810, Validation Loss: 7.186408599334505
Epoch 820, Validation Loss: 7.89698561748663
Epoch 830, Validation Loss: 7.091759238198082
Epoch 840, Validation Loss: 7.395031386784174
Epoch 850, Validation Loss: 7.154807459119795
Epoch 860, Validation Loss: 7.341789111559629
Epoch 870, Validation Loss: 7.894740794082644
Epoch 880, Validation Loss: 7.165309938601257
Epoch 890, Validation Loss: 7.060988218872147
Epoch 900, Validation Loss: 7.398895955091294
Epoch 910, Validation Loss: 8.194012043746074
Epoch 920, Validation Loss: 7.447791230000218
Epoch 930, Validation Loss: 7.860059488707052
Epoch 940, Validation Loss: 7.293010819279649
Epoch 950, Validation Loss: 6.7959658177275495
Epoch 960, Validation Loss: 7.596803478706077
Epoch 970, Validation Loss: 7.485385068383914
Epoch 980, Validation Loss: 8.022637750624915
Epoch 990, Validation Loss: 7.440416580114749
