Epoch 0, Validation Loss: 483.69588387018376
Epoch 10, Validation Loss: 12.374456085854458
Epoch 20, Validation Loss: 13.933333344011604
Epoch 30, Validation Loss: 12.470984851361763
Epoch 40, Validation Loss: 10.024274904581668
Epoch 50, Validation Loss: 8.456598181359587
Epoch 60, Validation Loss: 6.709391404192792
Epoch 70, Validation Loss: 6.321517244476149
Epoch 80, Validation Loss: 7.638842951536114
Epoch 90, Validation Loss: 6.1143439343333075
Epoch 100, Validation Loss: 5.9345156669723504
Epoch 110, Validation Loss: 5.563203929619303
Epoch 120, Validation Loss: 6.678292901173699
Epoch 130, Validation Loss: 7.232951875471393
Epoch 140, Validation Loss: 5.717419853107541
Epoch 150, Validation Loss: 6.24179676958619
Epoch 160, Validation Loss: 7.820061288605214
Epoch 170, Validation Loss: 6.191766284974826
Epoch 180, Validation Loss: 7.933711553791596
Epoch 190, Validation Loss: 6.2156563181319795
Epoch 200, Validation Loss: 6.390799491516755
Epoch 210, Validation Loss: 5.722141962476903
Epoch 220, Validation Loss: 5.7675193363984905
Epoch 230, Validation Loss: 8.708214643743196
Epoch 240, Validation Loss: 6.0188636909269935
Epoch 250, Validation Loss: 6.659632986606937
Epoch 260, Validation Loss: 5.835291015935541
Epoch 270, Validation Loss: 5.754155545024721
Epoch 280, Validation Loss: 6.899267730119657
Epoch 290, Validation Loss: 5.530779835085233
Epoch 300, Validation Loss: 5.33315045413644
Epoch 310, Validation Loss: 8.178415486048072
Epoch 320, Validation Loss: 5.747273586867594
Epoch 330, Validation Loss: 5.52268309205078
Epoch 340, Validation Loss: 6.749796192155598
Epoch 350, Validation Loss: 5.727086373999954
Epoch 360, Validation Loss: 6.258293456143741
Epoch 370, Validation Loss: 5.612838517564198
Epoch 380, Validation Loss: 5.358010717928373
Epoch 390, Validation Loss: 6.939782514518964
Epoch 400, Validation Loss: 5.516822683065576
Epoch 410, Validation Loss: 5.320342895388828
Epoch 420, Validation Loss: 6.782696552887269
Epoch 430, Validation Loss: 5.416083067022286
Epoch 440, Validation Loss: 5.247597477623895
Epoch 450, Validation Loss: 6.657166355602178
Epoch 460, Validation Loss: 5.799312930469696
Epoch 470, Validation Loss: 5.360590069242159
Epoch 480, Validation Loss: 6.27880901197036
Epoch 490, Validation Loss: 6.698095221960618
Epoch 500, Validation Loss: 5.579773818799381
Epoch 510, Validation Loss: 5.3808747345157455
Epoch 520, Validation Loss: 7.883775531688008
Epoch 530, Validation Loss: 5.620392037611597
Epoch 540, Validation Loss: 5.60118887748917
Epoch 550, Validation Loss: 6.079071314369304
Epoch 560, Validation Loss: 7.912258145164691
Epoch 570, Validation Loss: 5.705825341918862
Epoch 580, Validation Loss: 5.735036541520773
Epoch 590, Validation Loss: 6.102168797107343
Epoch 600, Validation Loss: 8.323554992826962
Epoch 610, Validation Loss: 5.9112927685845555
Epoch 620, Validation Loss: 5.943627033999408
Epoch 630, Validation Loss: 5.866713135333838
Epoch 640, Validation Loss: 7.877733018660708
Epoch 650, Validation Loss: 7.551821290003239
Epoch 660, Validation Loss: 5.80915698791191
Epoch 670, Validation Loss: 5.890550931383821
Epoch 680, Validation Loss: 5.782106908336683
Epoch 690, Validation Loss: 7.479850500282033
Epoch 700, Validation Loss: 8.048235363809221
Epoch 710, Validation Loss: 6.092963452508212
Epoch 720, Validation Loss: 5.991954440139363
Epoch 730, Validation Loss: 5.905675718333442
Epoch 740, Validation Loss: 7.116125921074058
Epoch 750, Validation Loss: 8.425490059191096
Epoch 760, Validation Loss: 6.439779652714408
Epoch 770, Validation Loss: 6.079361884103077
Epoch 780, Validation Loss: 6.128798403616492
Epoch 790, Validation Loss: 7.561287420360483
Epoch 800, Validation Loss: 8.389488549625417
Epoch 810, Validation Loss: 6.435070949410136
Epoch 820, Validation Loss: 6.267090348067558
Epoch 830, Validation Loss: 6.249957870373415
Epoch 840, Validation Loss: 8.153339614863032
Epoch 850, Validation Loss: 7.957796692634066
Epoch 860, Validation Loss: 6.434456351474915
Epoch 870, Validation Loss: 6.472394204015856
Epoch 880, Validation Loss: 6.410813640557277
Epoch 890, Validation Loss: 7.737791747553932
Epoch 900, Validation Loss: 8.529199362878728
Epoch 910, Validation Loss: 7.431779702428374
Epoch 920, Validation Loss: 6.403066597561588
Epoch 930, Validation Loss: 6.488383580969765
Epoch 940, Validation Loss: 6.453196592659483
Epoch 950, Validation Loss: 6.919144484752741
Epoch 960, Validation Loss: 8.773782534935078
Epoch 970, Validation Loss: 8.409089556226439
Epoch 980, Validation Loss: 7.105412368782219
Epoch 990, Validation Loss: 6.570255768002293
