Epoch 0, Validation Loss: 483.63591483882084
Epoch 10, Validation Loss: 29.63911116752817
Epoch 20, Validation Loss: 22.904464704663305
Epoch 30, Validation Loss: 21.565848749095057
Epoch 40, Validation Loss: 21.282994211236712
Epoch 50, Validation Loss: 18.572472788182285
Epoch 60, Validation Loss: 17.483784374303916
Epoch 70, Validation Loss: 16.94689407229868
Epoch 80, Validation Loss: 16.246495960494464
Epoch 90, Validation Loss: 14.774382390270874
Epoch 100, Validation Loss: 12.380709571329575
Epoch 110, Validation Loss: 10.902647896070912
Epoch 120, Validation Loss: 10.245964649073212
Epoch 130, Validation Loss: 9.806264026129899
Epoch 140, Validation Loss: 9.2436671631115
Epoch 150, Validation Loss: 8.628017375362207
Epoch 160, Validation Loss: 7.989243222165905
Epoch 170, Validation Loss: 7.368140167896159
Epoch 180, Validation Loss: 6.876900713922659
Epoch 190, Validation Loss: 6.5457285410088
Epoch 200, Validation Loss: 6.358048052819904
Epoch 210, Validation Loss: 6.25459776161904
Epoch 220, Validation Loss: 6.186822693166411
Epoch 230, Validation Loss: 6.1318323308246105
Epoch 240, Validation Loss: 6.081639517014503
Epoch 250, Validation Loss: 6.036862808356809
Epoch 260, Validation Loss: 5.998923990754923
Epoch 270, Validation Loss: 5.9685692154713195
Epoch 280, Validation Loss: 5.945521999024914
Epoch 290, Validation Loss: 5.9284540012213816
Epoch 300, Validation Loss: 5.9154265661845855
Epoch 310, Validation Loss: 5.90477231913227
Epoch 320, Validation Loss: 5.895727747743332
Epoch 330, Validation Loss: 5.888347784994308
Epoch 340, Validation Loss: 5.883016711917315
Epoch 350, Validation Loss: 5.880050832166516
Epoch 360, Validation Loss: 5.879539083080405
Epoch 370, Validation Loss: 5.8812892470278895
Epoch 380, Validation Loss: 5.884827823534145
Epoch 390, Validation Loss: 5.889574337484721
Epoch 400, Validation Loss: 5.8952166649687125
Epoch 410, Validation Loss: 5.901947619671156
Epoch 420, Validation Loss: 5.910116734916568
Epoch 430, Validation Loss: 5.919555073205534
Epoch 440, Validation Loss: 5.929371289385713
Epoch 450, Validation Loss: 5.9383228999392585
Epoch 460, Validation Loss: 5.9452454157048
Epoch 470, Validation Loss: 5.949288407298438
Epoch 480, Validation Loss: 5.950022378573213
Epoch 490, Validation Loss: 5.947472123835735
Epoch 500, Validation Loss: 5.942060652861781
Epoch 510, Validation Loss: 5.934467868612455
Epoch 520, Validation Loss: 5.925456981726913
Epoch 530, Validation Loss: 5.915728743848865
Epoch 540, Validation Loss: 5.905843291230757
Epoch 550, Validation Loss: 5.897634645775705
Epoch 560, Validation Loss: 5.796552092375515
Epoch 570, Validation Loss: 5.9752124572357035
Epoch 580, Validation Loss: 5.794233677759127
Epoch 590, Validation Loss: 5.96806857014855
Epoch 600, Validation Loss: 5.979299845374811
Epoch 610, Validation Loss: 5.985912879285642
Epoch 620, Validation Loss: 5.944998293657233
Epoch 630, Validation Loss: 5.897623300759708
Epoch 640, Validation Loss: 5.8468769214251095
Epoch 650, Validation Loss: 5.825618099481008
Epoch 660, Validation Loss: 6.117421938529934
Epoch 670, Validation Loss: 6.167004727232286
Epoch 680, Validation Loss: 5.945751145742398
Epoch 690, Validation Loss: 6.207121689844048
Epoch 700, Validation Loss: 6.198559290918005
Epoch 710, Validation Loss: 6.041190162147133
Epoch 720, Validation Loss: 6.4029018537816595
Epoch 730, Validation Loss: 6.09885142062119
Epoch 740, Validation Loss: 6.475222095774569
Epoch 750, Validation Loss: 6.190030118071989
Epoch 760, Validation Loss: 6.505423857813316
Epoch 770, Validation Loss: 6.249431727995093
Epoch 780, Validation Loss: 6.561152098391663
Epoch 790, Validation Loss: 6.272409282656764
Epoch 800, Validation Loss: 6.636483876054178
Epoch 810, Validation Loss: 6.277439688479041
Epoch 820, Validation Loss: 6.6707062978546645
Epoch 830, Validation Loss: 6.328981007966281
Epoch 840, Validation Loss: 6.613321283721851
Epoch 850, Validation Loss: 6.508119648614157
Epoch 860, Validation Loss: 6.50298769528634
Epoch 870, Validation Loss: 6.745660988296466
Epoch 880, Validation Loss: 6.431064056027163
Epoch 890, Validation Loss: 6.805795070373322
Epoch 900, Validation Loss: 6.528480095865637
Epoch 910, Validation Loss: 6.671330600029745
Epoch 920, Validation Loss: 6.796584105851146
Epoch 930, Validation Loss: 6.564827620863562
Epoch 940, Validation Loss: 6.91512652143185
Epoch 950, Validation Loss: 6.668284046180288
Epoch 960, Validation Loss: 6.76550042763892
Epoch 970, Validation Loss: 6.954295762397427
Epoch 980, Validation Loss: 6.694891096828258
Epoch 990, Validation Loss: 6.979975927281542
