Epoch 0, Validation Loss: 483.4746948611617
Epoch 10, Validation Loss: 29.919316674044616
Epoch 20, Validation Loss: 22.736286445365174
Epoch 30, Validation Loss: 19.333797217921994
Epoch 40, Validation Loss: 20.357484016263804
Epoch 50, Validation Loss: 18.13469166599837
Epoch 60, Validation Loss: 16.545071149484773
Epoch 70, Validation Loss: 15.77220102971644
Epoch 80, Validation Loss: 14.817690763319439
Epoch 90, Validation Loss: 13.081653440999391
Epoch 100, Validation Loss: 11.58284995530579
Epoch 110, Validation Loss: 10.879994079937513
Epoch 120, Validation Loss: 10.433314416619833
Epoch 130, Validation Loss: 9.71026100051729
Epoch 140, Validation Loss: 8.952610840648411
Epoch 150, Validation Loss: 8.530166692903927
Epoch 160, Validation Loss: 8.208562410761461
Epoch 170, Validation Loss: 7.898589289234638
Epoch 180, Validation Loss: 7.645566677289781
Epoch 190, Validation Loss: 7.511622949800321
Epoch 200, Validation Loss: 7.437410463197853
Epoch 210, Validation Loss: 7.400160710808212
Epoch 220, Validation Loss: 7.3833173106707495
Epoch 230, Validation Loss: 7.373458454029355
Epoch 240, Validation Loss: 7.364427780314147
Epoch 250, Validation Loss: 7.356519400347047
Epoch 260, Validation Loss: 7.351644607114154
Epoch 270, Validation Loss: 7.34474439900833
Epoch 280, Validation Loss: 7.322976696600622
Epoch 290, Validation Loss: 7.276481585904843
Epoch 300, Validation Loss: 7.203314587322962
Epoch 310, Validation Loss: 7.109632818450845
Epoch 320, Validation Loss: 7.004391266588164
Epoch 330, Validation Loss: 6.894779746988293
Epoch 340, Validation Loss: 6.785543086276452
Epoch 350, Validation Loss: 6.679738545940597
Epoch 360, Validation Loss: 6.579390301026675
Epoch 370, Validation Loss: 6.485842243592294
Epoch 380, Validation Loss: 6.399930502064861
Epoch 390, Validation Loss: 6.322067394804253
Epoch 400, Validation Loss: 6.252279572094676
Epoch 410, Validation Loss: 6.190213625356387
Epoch 420, Validation Loss: 6.135106730236171
Epoch 430, Validation Loss: 6.085746501781805
Epoch 440, Validation Loss: 6.040513804544787
Epoch 450, Validation Loss: 5.997617135344213
Epoch 460, Validation Loss: 5.955490178176793
Epoch 470, Validation Loss: 5.913141855840688
Epoch 480, Validation Loss: 5.87025218971707
Epoch 490, Validation Loss: 5.827004887372145
Epoch 500, Validation Loss: 5.7838086800744835
Epoch 510, Validation Loss: 5.741054830891055
Epoch 520, Validation Loss: 5.698964217317227
Epoch 530, Validation Loss: 5.657503495405183
Epoch 540, Validation Loss: 5.616330010250418
Epoch 550, Validation Loss: 5.574745955849585
Epoch 560, Validation Loss: 5.531700366814623
Epoch 570, Validation Loss: 5.486014453912254
Epoch 580, Validation Loss: 5.437239831395041
Epoch 590, Validation Loss: 5.387296610293483
Epoch 600, Validation Loss: 5.340911186077629
Epoch 610, Validation Loss: 5.302245886428027
Epoch 620, Validation Loss: 5.2711739279389995
Epoch 630, Validation Loss: 5.244198649016758
Epoch 640, Validation Loss: 5.218140395988015
Epoch 650, Validation Loss: 5.191790806889009
Epoch 660, Validation Loss: 5.1652345199343515
Epoch 670, Validation Loss: 5.139031287088926
Epoch 680, Validation Loss: 5.113921416282646
Epoch 690, Validation Loss: 5.09077877402109
Epoch 700, Validation Loss: 5.070586014825094
Epoch 710, Validation Loss: 5.054366924860836
Epoch 720, Validation Loss: 5.0430891620694505
Epoch 730, Validation Loss: 5.037590178545176
Epoch 740, Validation Loss: 5.037933028173312
Epoch 750, Validation Loss: 5.070339236944052
Epoch 760, Validation Loss: 4.924909472639187
Epoch 770, Validation Loss: 5.090062889673746
Epoch 780, Validation Loss: 5.1299822308063225
Epoch 790, Validation Loss: 5.366500551777426
Epoch 800, Validation Loss: 5.212985824268865
Epoch 810, Validation Loss: 5.280583795497051
Epoch 820, Validation Loss: 5.464705702942223
Epoch 830, Validation Loss: 5.516845087522796
Epoch 840, Validation Loss: 5.464239696016715
Epoch 850, Validation Loss: 5.488960575284502
Epoch 860, Validation Loss: 5.352029086321508
Epoch 870, Validation Loss: 5.471294142017447
Epoch 880, Validation Loss: 5.6891885532357405
Epoch 890, Validation Loss: 6.101428086028129
Epoch 900, Validation Loss: 6.097037721299915
Epoch 910, Validation Loss: 6.015565651404034
Epoch 920, Validation Loss: 5.938692961674651
Epoch 930, Validation Loss: 6.016880810377175
Epoch 940, Validation Loss: 6.4164453758302615
Epoch 950, Validation Loss: 6.582867496757123
Epoch 960, Validation Loss: 6.412988874319387
Epoch 970, Validation Loss: 6.3714400013051495
Epoch 980, Validation Loss: 6.453942698146688
Epoch 990, Validation Loss: 6.901733403595142
