Epoch 0, Validation Loss: 483.6674532132642
Epoch 10, Validation Loss: 29.52536343325313
Epoch 20, Validation Loss: 23.872407544693154
Epoch 30, Validation Loss: 21.65720843514776
Epoch 40, Validation Loss: 21.98573034689935
Epoch 50, Validation Loss: 20.211852236653204
Epoch 60, Validation Loss: 17.229362471648102
Epoch 70, Validation Loss: 14.300823071322025
Epoch 80, Validation Loss: 10.581235903690752
Epoch 90, Validation Loss: 8.09093538521139
Epoch 100, Validation Loss: 7.251202856520172
Epoch 110, Validation Loss: 6.658898611150914
Epoch 120, Validation Loss: 6.124032398270671
Epoch 130, Validation Loss: 5.816007597518215
Epoch 140, Validation Loss: 5.603815506520755
Epoch 150, Validation Loss: 5.417775238279236
Epoch 160, Validation Loss: 5.274089287332783
Epoch 170, Validation Loss: 5.161724658659165
Epoch 180, Validation Loss: 5.076946588333607
Epoch 190, Validation Loss: 5.015235538067169
Epoch 200, Validation Loss: 4.972323355340466
Epoch 210, Validation Loss: 4.944716439814082
Epoch 220, Validation Loss: 4.929480677140217
Epoch 230, Validation Loss: 4.923798046438451
Epoch 240, Validation Loss: 4.924745957987015
Epoch 250, Validation Loss: 4.92929658647419
Epoch 260, Validation Loss: 4.934480770191225
Epoch 270, Validation Loss: 4.93765919959271
Epoch 280, Validation Loss: 4.93676212999313
Epoch 290, Validation Loss: 4.930376459719813
Epoch 300, Validation Loss: 4.917678269963809
Epoch 310, Validation Loss: 4.89830376103169
Epoch 320, Validation Loss: 4.872254465685657
Epoch 330, Validation Loss: 4.839866488931952
Epoch 340, Validation Loss: 4.801808626473549
Epoch 350, Validation Loss: 4.75906533416305
Epoch 360, Validation Loss: 4.712896251743224
Epoch 370, Validation Loss: 4.664793047197312
Epoch 380, Validation Loss: 4.616449785811957
Epoch 390, Validation Loss: 4.56973722217491
Epoch 400, Validation Loss: 4.526648780237608
Epoch 410, Validation Loss: 4.489185260646497
Epoch 420, Validation Loss: 4.459178466473897
Epoch 430, Validation Loss: 4.4381119795989346
Epoch 440, Validation Loss: 4.427025728683171
Epoch 450, Validation Loss: 4.426535956174171
Epoch 460, Validation Loss: 4.436918125328881
Epoch 470, Validation Loss: 4.45819368457973
Epoch 480, Validation Loss: 4.49021869285185
Epoch 490, Validation Loss: 4.532801013090993
Epoch 500, Validation Loss: 4.585836725675646
Epoch 510, Validation Loss: 4.649383178112237
Epoch 520, Validation Loss: 4.723555052542028
Epoch 530, Validation Loss: 4.808221983274739
Epoch 540, Validation Loss: 4.9026607806720675
Epoch 550, Validation Loss: 5.005396752065125
Epoch 560, Validation Loss: 5.11433504947576
Epoch 570, Validation Loss: 5.227070304015092
Epoch 580, Validation Loss: 5.341204182494815
Epoch 590, Validation Loss: 5.4545958634649825
Epoch 600, Validation Loss: 5.56555051965219
Epoch 610, Validation Loss: 5.672945321878196
Epoch 620, Validation Loss: 5.7762628825806885
Epoch 630, Validation Loss: 5.875508304399625
Epoch 640, Validation Loss: 5.9710243786209745
Epoch 650, Validation Loss: 6.06325544995515
Epoch 660, Validation Loss: 6.152521905364212
Epoch 670, Validation Loss: 6.238855414464366
Epoch 680, Validation Loss: 6.321922654310227
Epoch 690, Validation Loss: 6.401047245429263
Epoch 700, Validation Loss: 6.475303058176935
Epoch 710, Validation Loss: 6.538768911210907
Epoch 720, Validation Loss: 6.108499842252801
Epoch 730, Validation Loss: 6.605455526734464
Epoch 740, Validation Loss: 6.994042060836596
Epoch 750, Validation Loss: 6.130608002852171
Epoch 760, Validation Loss: 6.118693598773461
Epoch 770, Validation Loss: 6.770173053610003
Epoch 780, Validation Loss: 7.115772931271891
Epoch 790, Validation Loss: 6.391682444649175
Epoch 800, Validation Loss: 6.235364907728493
Epoch 810, Validation Loss: 6.710731079905924
Epoch 820, Validation Loss: 7.241071822373066
Epoch 830, Validation Loss: 6.649824633690076
Epoch 840, Validation Loss: 6.2978213459528725
Epoch 850, Validation Loss: 6.519179222723783
Epoch 860, Validation Loss: 7.179935464875616
Epoch 870, Validation Loss: 7.0462889157177795
Epoch 880, Validation Loss: 6.430633674068169
Epoch 890, Validation Loss: 6.428316930750569
Epoch 900, Validation Loss: 6.868048848284135
Epoch 910, Validation Loss: 7.2898492166699675
Epoch 920, Validation Loss: 6.703139381628298
Epoch 930, Validation Loss: 6.436918272163302
Epoch 940, Validation Loss: 6.685451368947431
Epoch 950, Validation Loss: 7.249510247382327
Epoch 960, Validation Loss: 6.974667341274351
Epoch 970, Validation Loss: 6.51187418310903
Epoch 980, Validation Loss: 6.596807652262267
Epoch 990, Validation Loss: 7.070323661241798
