Epoch 0, Validation Loss: 483.4613074097821
Epoch 10, Validation Loss: 28.78867742921653
Epoch 20, Validation Loss: 23.498396707285234
Epoch 30, Validation Loss: 23.967486116916497
Epoch 40, Validation Loss: 21.892248911518156
Epoch 50, Validation Loss: 19.140046797086477
Epoch 60, Validation Loss: 16.668502484981474
Epoch 70, Validation Loss: 13.179226719217466
Epoch 80, Validation Loss: 9.200639231753916
Epoch 90, Validation Loss: 7.934244481834727
Epoch 100, Validation Loss: 7.465179297639142
Epoch 110, Validation Loss: 7.005972339088286
Epoch 120, Validation Loss: 6.649021215820436
Epoch 130, Validation Loss: 6.4319103424984005
Epoch 140, Validation Loss: 6.282017983030586
Epoch 150, Validation Loss: 6.141885872480189
Epoch 160, Validation Loss: 6.016517630592335
Epoch 170, Validation Loss: 5.885662289739038
Epoch 180, Validation Loss: 5.710592626079638
Epoch 190, Validation Loss: 5.53438137312727
Epoch 200, Validation Loss: 5.4028576890580995
Epoch 210, Validation Loss: 5.304894378869131
Epoch 220, Validation Loss: 5.2258810616145235
Epoch 230, Validation Loss: 5.158098600833702
Epoch 240, Validation Loss: 5.097589546243455
Epoch 250, Validation Loss: 5.042667384702556
Epoch 260, Validation Loss: 4.9932392502452725
Epoch 270, Validation Loss: 4.950257060082292
Epoch 280, Validation Loss: 4.915110787304782
Epoch 290, Validation Loss: 4.888635810727613
Epoch 300, Validation Loss: 4.870156587217089
Epoch 310, Validation Loss: 4.858097934030106
Epoch 320, Validation Loss: 4.851620130976
Epoch 330, Validation Loss: 4.8507124751754125
Epoch 340, Validation Loss: 4.855358185226201
Epoch 350, Validation Loss: 4.865563010367389
Epoch 360, Validation Loss: 4.881283642955615
Epoch 370, Validation Loss: 4.902293959043966
Epoch 380, Validation Loss: 4.928221593515947
Epoch 390, Validation Loss: 4.958675679114419
Epoch 400, Validation Loss: 4.993372848270396
Epoch 410, Validation Loss: 5.032230958476322
Epoch 420, Validation Loss: 5.0754984693053435
Epoch 430, Validation Loss: 5.124031303938314
Epoch 440, Validation Loss: 5.179615649151269
Epoch 450, Validation Loss: 5.244585178248662
Epoch 460, Validation Loss: 5.3198961316345725
Epoch 470, Validation Loss: 5.402800693275355
Epoch 480, Validation Loss: 5.487192464815391
Epoch 490, Validation Loss: 5.567039081550995
Epoch 500, Validation Loss: 5.638716273251988
Epoch 510, Validation Loss: 5.700374724357278
Epoch 520, Validation Loss: 5.750777966450793
Epoch 530, Validation Loss: 5.788954942548105
Epoch 540, Validation Loss: 5.81431058842843
Epoch 550, Validation Loss: 5.826773173637694
Epoch 560, Validation Loss: 5.826836826998554
Epoch 570, Validation Loss: 5.815512411525701
Epoch 580, Validation Loss: 5.794242726303726
Epoch 590, Validation Loss: 5.764796788514658
Epoch 600, Validation Loss: 5.7291179174913625
Epoch 610, Validation Loss: 5.689137224937859
Epoch 620, Validation Loss: 5.646620687456153
Epoch 630, Validation Loss: 5.602833413131078
Epoch 640, Validation Loss: 5.560518863223441
Epoch 650, Validation Loss: 6.244093314010967
Epoch 660, Validation Loss: 5.954328373914748
Epoch 670, Validation Loss: 5.838665978022539
Epoch 680, Validation Loss: 5.8679458164322025
Epoch 690, Validation Loss: 5.774179424691048
Epoch 700, Validation Loss: 5.682355391449932
Epoch 710, Validation Loss: 5.564231909965685
Epoch 720, Validation Loss: 5.408009003243649
Epoch 730, Validation Loss: 5.2346361164440935
Epoch 740, Validation Loss: 5.082523072579565
Epoch 750, Validation Loss: 4.965067454666226
Epoch 760, Validation Loss: 4.952547871427425
Epoch 770, Validation Loss: 5.136908806681033
Epoch 780, Validation Loss: 5.364498628850323
Epoch 790, Validation Loss: 5.325343205123116
Epoch 800, Validation Loss: 5.24068338134635
Epoch 810, Validation Loss: 5.135280982985526
Epoch 820, Validation Loss: 5.075642849163935
Epoch 830, Validation Loss: 5.061195198382188
Epoch 840, Validation Loss: 5.058235804860054
Epoch 850, Validation Loss: 5.055388298741417
Epoch 860, Validation Loss: 5.056738845588004
Epoch 870, Validation Loss: 5.062101040617252
Epoch 880, Validation Loss: 5.066420994918027
Epoch 890, Validation Loss: 5.065389991552602
Epoch 900, Validation Loss: 5.063125015543725
Epoch 910, Validation Loss: 5.072861513589413
Epoch 920, Validation Loss: 5.0990056259699585
Epoch 930, Validation Loss: 5.10161447575574
Epoch 940, Validation Loss: 5.003948392545399
Epoch 950, Validation Loss: 4.947202390865863
Epoch 960, Validation Loss: 5.391393533486051
Epoch 970, Validation Loss: 4.88487259993048
Epoch 980, Validation Loss: 5.031149793037729
Epoch 990, Validation Loss: 5.30865953162063
