Epoch 0, Validation Loss: 483.4390176143566
Epoch 10, Validation Loss: 29.93604505228252
Epoch 20, Validation Loss: 21.938368187955916
Epoch 30, Validation Loss: 18.504017712895873
Epoch 40, Validation Loss: 20.69254124231576
Epoch 50, Validation Loss: 19.78215410812844
Epoch 60, Validation Loss: 17.720071695365696
Epoch 70, Validation Loss: 16.329074287059495
Epoch 80, Validation Loss: 15.058847790868176
Epoch 90, Validation Loss: 13.581778732630886
Epoch 100, Validation Loss: 12.027292027824188
Epoch 110, Validation Loss: 10.68295213701133
Epoch 120, Validation Loss: 9.565111763114476
Epoch 130, Validation Loss: 8.681779264964542
Epoch 140, Validation Loss: 8.019122235744755
Epoch 150, Validation Loss: 7.445446643490446
Epoch 160, Validation Loss: 6.956735794923
Epoch 170, Validation Loss: 6.571132498513812
Epoch 180, Validation Loss: 6.323801499280746
Epoch 190, Validation Loss: 6.153521310404966
Epoch 200, Validation Loss: 6.016439281427974
Epoch 210, Validation Loss: 5.909317215645333
Epoch 220, Validation Loss: 5.830696904350274
Epoch 230, Validation Loss: 5.775397797728324
Epoch 240, Validation Loss: 5.738863710411995
Epoch 250, Validation Loss: 5.717641511119753
Epoch 260, Validation Loss: 5.708644613971177
Epoch 270, Validation Loss: 5.708800978736767
Epoch 280, Validation Loss: 5.71512122009361
Epoch 290, Validation Loss: 5.724913181426574
Epoch 300, Validation Loss: 5.735935923109969
Epoch 310, Validation Loss: 5.746409879510707
Epoch 320, Validation Loss: 5.7548843882522345
Epoch 330, Validation Loss: 5.760037916696107
Epoch 340, Validation Loss: 5.760615904305985
Epoch 350, Validation Loss: 5.755758850119531
Epoch 360, Validation Loss: 5.745527469568946
Epoch 370, Validation Loss: 5.730909725794164
Epoch 380, Validation Loss: 5.713293874572521
Epoch 390, Validation Loss: 5.693989865683192
Epoch 400, Validation Loss: 5.6738803621063045
Epoch 410, Validation Loss: 5.653273040246621
Epoch 420, Validation Loss: 5.6320985599301
Epoch 430, Validation Loss: 5.610262390743077
Epoch 440, Validation Loss: 5.587877184116831
Epoch 450, Validation Loss: 5.56528918082449
Epoch 460, Validation Loss: 5.54295750738456
Epoch 470, Validation Loss: 5.521298253612013
Epoch 480, Validation Loss: 5.500600712801739
Epoch 490, Validation Loss: 5.481058606733128
Epoch 500, Validation Loss: 5.462854363299236
Epoch 510, Validation Loss: 5.446188757820335
Epoch 520, Validation Loss: 5.4312388346418015
Epoch 530, Validation Loss: 5.418137000546615
Epoch 540, Validation Loss: 5.407023912359992
Epoch 550, Validation Loss: 5.3981123603709715
Epoch 560, Validation Loss: 5.391696651445903
Epoch 570, Validation Loss: 5.3881167737359394
Epoch 580, Validation Loss: 5.387713187364676
Epoch 590, Validation Loss: 5.3907915924342875
Epoch 600, Validation Loss: 5.397602825494691
Epoch 610, Validation Loss: 5.408337459257244
Epoch 620, Validation Loss: 5.423130584329567
Epoch 630, Validation Loss: 5.442068248781285
Epoch 640, Validation Loss: 5.4651864848042555
Epoch 650, Validation Loss: 5.49245959817726
Epoch 660, Validation Loss: 5.5237833583282265
Epoch 670, Validation Loss: 5.558963018671732
Epoch 680, Validation Loss: 5.597712883245529
Epoch 690, Validation Loss: 5.63966843836394
Epoch 700, Validation Loss: 5.684407066822493
Epoch 710, Validation Loss: 5.731468992272686
Epoch 720, Validation Loss: 5.780369619386763
Epoch 730, Validation Loss: 5.830600296919541
Epoch 740, Validation Loss: 5.881622386121702
Epoch 750, Validation Loss: 5.932863234492129
Epoch 760, Validation Loss: 5.9837208761998975
Epoch 770, Validation Loss: 6.033580067636666
Epoch 780, Validation Loss: 6.081839342119793
Epoch 790, Validation Loss: 6.127948454119536
Epoch 800, Validation Loss: 6.1714554097753584
Epoch 810, Validation Loss: 6.212057719630851
Epoch 820, Validation Loss: 6.2496428377805815
Epoch 830, Validation Loss: 6.284296540416275
Epoch 840, Validation Loss: 6.31626784771033
Epoch 850, Validation Loss: 6.345903056598049
Epoch 860, Validation Loss: 6.373576779945023
Epoch 870, Validation Loss: 6.39963961146362
Epoch 880, Validation Loss: 6.424385244599892
Epoch 890, Validation Loss: 6.44805672892331
Epoch 900, Validation Loss: 6.472631227042364
Epoch 910, Validation Loss: 6.621405209758302
Epoch 920, Validation Loss: 7.678742848280794
Epoch 930, Validation Loss: 6.151764410317912
Epoch 940, Validation Loss: 6.80478304440255
Epoch 950, Validation Loss: 6.405561629307262
Epoch 960, Validation Loss: 6.243584173207063
Epoch 970, Validation Loss: 6.915919164078033
Epoch 980, Validation Loss: 5.957566586161327
Epoch 990, Validation Loss: 6.951120817694154
