Epoch 0, Validation Loss: 483.61642814349705
Epoch 10, Validation Loss: 29.137592043210333
Epoch 20, Validation Loss: 22.675541077906594
Epoch 30, Validation Loss: 20.325215875654283
Epoch 40, Validation Loss: 20.21585242834301
Epoch 50, Validation Loss: 18.22611340229832
Epoch 60, Validation Loss: 16.560423049587627
Epoch 70, Validation Loss: 15.310918886940005
Epoch 80, Validation Loss: 12.89814791700927
Epoch 90, Validation Loss: 10.093945815702137
Epoch 100, Validation Loss: 8.782746997958853
Epoch 110, Validation Loss: 8.149833956547038
Epoch 120, Validation Loss: 7.840244717255914
Epoch 130, Validation Loss: 7.63891077932499
Epoch 140, Validation Loss: 7.457099481858931
Epoch 150, Validation Loss: 7.301616534488578
Epoch 160, Validation Loss: 7.158763089705094
Epoch 170, Validation Loss: 7.047015376749674
Epoch 180, Validation Loss: 7.00421192514623
Epoch 190, Validation Loss: 7.043115651454267
Epoch 200, Validation Loss: 7.139706866246435
Epoch 210, Validation Loss: 7.253065651031497
Epoch 220, Validation Loss: 7.351931702837395
Epoch 230, Validation Loss: 7.423537067556518
Epoch 240, Validation Loss: 7.452422135834487
Epoch 250, Validation Loss: 7.417402738925344
Epoch 260, Validation Loss: 7.32553486564385
Epoch 270, Validation Loss: 7.218997476418178
Epoch 280, Validation Loss: 7.129278699217053
Epoch 290, Validation Loss: 7.063129343661385
Epoch 300, Validation Loss: 7.017236293425222
Epoch 310, Validation Loss: 6.986676751004867
Epoch 320, Validation Loss: 6.967136022160597
Epoch 330, Validation Loss: 6.955439433044307
Epoch 340, Validation Loss: 6.94973054406241
Epoch 350, Validation Loss: 6.949570949881785
Epoch 360, Validation Loss: 6.956076742902115
Epoch 370, Validation Loss: 6.972077126817851
Epoch 380, Validation Loss: 7.002072671010839
Epoch 390, Validation Loss: 7.051406518660285
Epoch 400, Validation Loss: 7.123509133572448
Epoch 410, Validation Loss: 7.2151210252910385
Epoch 420, Validation Loss: 7.314317661643663
Epoch 430, Validation Loss: 7.405788113038811
Epoch 440, Validation Loss: 7.477847199858101
Epoch 450, Validation Loss: 7.525981068804159
Epoch 460, Validation Loss: 7.553181806031845
Epoch 470, Validation Loss: 7.566904663014909
Epoch 480, Validation Loss: 7.574756963462098
Epoch 490, Validation Loss: 7.582181463423961
Epoch 500, Validation Loss: 7.592064924007502
Epoch 510, Validation Loss: 7.605099164493009
Epoch 520, Validation Loss: 7.620638170975826
Epoch 530, Validation Loss: 7.637702830071254
Epoch 540, Validation Loss: 7.655438994895639
Epoch 550, Validation Loss: 7.6720903208518285
Epoch 560, Validation Loss: 7.680994769804624
Epoch 570, Validation Loss: 7.694953544721935
Epoch 580, Validation Loss: 8.15514024673523
Epoch 590, Validation Loss: 10.511539759479788
Epoch 600, Validation Loss: 7.197185892541657
Epoch 610, Validation Loss: 7.667374245767399
Epoch 620, Validation Loss: 7.680801669667287
Epoch 630, Validation Loss: 7.74675275158337
Epoch 640, Validation Loss: 7.785535214720551
Epoch 650, Validation Loss: 7.810564609306731
Epoch 660, Validation Loss: 7.839589234800207
Epoch 670, Validation Loss: 7.854684665107321
Epoch 680, Validation Loss: 7.862423896299378
Epoch 690, Validation Loss: 7.861434658810303
Epoch 700, Validation Loss: 7.855420814190172
Epoch 710, Validation Loss: 7.854246543415069
Epoch 720, Validation Loss: 7.871394748903279
Epoch 730, Validation Loss: 7.847588912843542
Epoch 740, Validation Loss: 7.740911995286119
Epoch 750, Validation Loss: 8.949834702258395
Epoch 760, Validation Loss: 7.686729689830018
Epoch 770, Validation Loss: 7.752232838583228
Epoch 780, Validation Loss: 7.907805407269797
Epoch 790, Validation Loss: 8.126733277479673
Epoch 800, Validation Loss: 8.394132853244082
Epoch 810, Validation Loss: 6.683490038848155
Epoch 820, Validation Loss: 8.416441629778102
Epoch 830, Validation Loss: 8.508009863111166
Epoch 840, Validation Loss: 8.432616923557104
Epoch 850, Validation Loss: 8.212425792623065
Epoch 860, Validation Loss: 8.60540635917871
Epoch 870, Validation Loss: 8.809876860260333
Epoch 880, Validation Loss: 8.959620776939103
Epoch 890, Validation Loss: 8.74445225799663
Epoch 900, Validation Loss: 7.987332433378395
Epoch 910, Validation Loss: 8.834125905078897
Epoch 920, Validation Loss: 9.064569614379522
Epoch 930, Validation Loss: 9.271124960505423
Epoch 940, Validation Loss: 9.238953375310805
Epoch 950, Validation Loss: 7.359165002687095
Epoch 960, Validation Loss: 9.046719438851742
Epoch 970, Validation Loss: 9.156751547533664
Epoch 980, Validation Loss: 9.459412244123612
Epoch 990, Validation Loss: 9.516960198575811
