Epoch 0, Validation Loss: 483.6614320196925
Epoch 10, Validation Loss: 29.375526696044542
Epoch 20, Validation Loss: 23.610551522975463
Epoch 30, Validation Loss: 21.665682990420077
Epoch 40, Validation Loss: 21.326047780042174
Epoch 50, Validation Loss: 18.600256380681643
Epoch 60, Validation Loss: 17.593131567800977
Epoch 70, Validation Loss: 16.984534615442485
Epoch 80, Validation Loss: 15.549357683150394
Epoch 90, Validation Loss: 12.271003945600896
Epoch 100, Validation Loss: 11.170157939568792
Epoch 110, Validation Loss: 10.644985148625487
Epoch 120, Validation Loss: 10.2915805702168
Epoch 130, Validation Loss: 10.09430901636869
Epoch 140, Validation Loss: 10.498393771603816
Epoch 150, Validation Loss: 9.712866351220008
Epoch 160, Validation Loss: 9.104547208096282
Epoch 170, Validation Loss: 8.571998625666216
Epoch 180, Validation Loss: 8.154314856499257
Epoch 190, Validation Loss: 7.854216132204644
Epoch 200, Validation Loss: 7.6302432778941025
Epoch 210, Validation Loss: 7.450025927388829
Epoch 220, Validation Loss: 7.296954535640442
Epoch 230, Validation Loss: 7.162934078033822
Epoch 240, Validation Loss: 7.042542018149018
Epoch 250, Validation Loss: 6.934151405855615
Epoch 260, Validation Loss: 6.839234493620513
Epoch 270, Validation Loss: 6.758652983412264
Epoch 280, Validation Loss: 6.691117220047488
Epoch 290, Validation Loss: 6.633748758452121
Epoch 300, Validation Loss: 6.5827380265447895
Epoch 310, Validation Loss: 6.5336579989968655
Epoch 320, Validation Loss: 6.482673035352449
Epoch 330, Validation Loss: 6.429124126222359
Epoch 340, Validation Loss: 6.3764090453228075
Epoch 350, Validation Loss: 6.329385740460734
Epoch 360, Validation Loss: 6.2914705190692715
Epoch 370, Validation Loss: 6.26360981476305
Epoch 380, Validation Loss: 6.244594229194875
Epoch 390, Validation Loss: 6.2319197496648195
Epoch 400, Validation Loss: 6.2227257426806215
Epoch 410, Validation Loss: 6.214445891317048
Epoch 420, Validation Loss: 6.205044260889949
Epoch 430, Validation Loss: 6.1930202477849505
Epoch 440, Validation Loss: 6.177564762952668
Epoch 450, Validation Loss: 6.159309846710423
Epoch 460, Validation Loss: 6.1415263332463725
Epoch 470, Validation Loss: 6.129311390925209
Epoch 480, Validation Loss: 6.124633874662784
Epoch 490, Validation Loss: 6.124046094048529
Epoch 500, Validation Loss: 6.122857262932512
Epoch 510, Validation Loss: 6.118169605121927
Epoch 520, Validation Loss: 6.108802983582017
Epoch 530, Validation Loss: 6.094639082038575
Epoch 540, Validation Loss: 6.076336485749254
Epoch 550, Validation Loss: 6.05520106231931
Epoch 560, Validation Loss: 6.032906934406888
Epoch 570, Validation Loss: 6.011097388671911
Epoch 580, Validation Loss: 5.99107780714936
Epoch 590, Validation Loss: 5.9736738800041165
Epoch 600, Validation Loss: 5.959186391793591
Epoch 610, Validation Loss: 5.947400780137982
Epoch 620, Validation Loss: 5.937664669946195
Epoch 630, Validation Loss: 5.929030193708375
Epoch 640, Validation Loss: 5.920422944122597
Epoch 650, Validation Loss: 5.9107964656315595
Epoch 660, Validation Loss: 5.899248164294114
Epoch 670, Validation Loss: 5.885085615385342
Epoch 680, Validation Loss: 5.867838910165658
Epoch 690, Validation Loss: 5.847226652284349
Epoch 700, Validation Loss: 5.82310182307766
Epoch 710, Validation Loss: 5.795409420651286
Epoch 720, Validation Loss: 5.764170735804129
Epoch 730, Validation Loss: 5.729491383871256
Epoch 740, Validation Loss: 5.691589722507925
Epoch 750, Validation Loss: 5.650844821414462
Epoch 760, Validation Loss: 5.607849535079678
Epoch 770, Validation Loss: 5.56342853934103
Epoch 780, Validation Loss: 5.518567223923274
Epoch 790, Validation Loss: 5.474186089739568
Epoch 800, Validation Loss: 5.218259834746327
Epoch 810, Validation Loss: 5.594977568183843
Epoch 820, Validation Loss: 4.92351538201443
Epoch 830, Validation Loss: 5.337807517331098
Epoch 840, Validation Loss: 5.226711405897374
Epoch 850, Validation Loss: 4.878159269766075
Epoch 860, Validation Loss: 5.2342255354594105
Epoch 870, Validation Loss: 4.866670550378281
Epoch 880, Validation Loss: 4.749072029284711
Epoch 890, Validation Loss: 5.050427061137415
Epoch 900, Validation Loss: 5.035609049647836
Epoch 910, Validation Loss: 4.546348066160685
Epoch 920, Validation Loss: 4.637883412443351
Epoch 930, Validation Loss: 4.865957289129221
Epoch 940, Validation Loss: 4.96017132613034
Epoch 950, Validation Loss: 4.824756343466172
Epoch 960, Validation Loss: 4.616016970084485
Epoch 970, Validation Loss: 4.500523855957092
Epoch 980, Validation Loss: 4.574657439555583
Epoch 990, Validation Loss: 4.651733359438868
