Epoch 0, Validation Loss: 483.56985118537995
Epoch 10, Validation Loss: 29.668014302358905
Epoch 20, Validation Loss: 22.866418884725597
Epoch 30, Validation Loss: 20.635877665153846
Epoch 40, Validation Loss: 20.243393784145717
Epoch 50, Validation Loss: 17.216768859069887
Epoch 60, Validation Loss: 14.743571662661877
Epoch 70, Validation Loss: 11.495245365327888
Epoch 80, Validation Loss: 9.541830528139315
Epoch 90, Validation Loss: 8.682991099567394
Epoch 100, Validation Loss: 8.142024182695087
Epoch 110, Validation Loss: 7.779923383352664
Epoch 120, Validation Loss: 7.61114180372419
Epoch 130, Validation Loss: 7.874499634985139
Epoch 140, Validation Loss: 7.668426528743816
Epoch 150, Validation Loss: 7.579329172776345
Epoch 160, Validation Loss: 7.525921339031225
Epoch 170, Validation Loss: 7.502887900626652
Epoch 180, Validation Loss: 7.503148347640061
Epoch 190, Validation Loss: 7.4949676625619075
Epoch 200, Validation Loss: 7.446647376353438
Epoch 210, Validation Loss: 7.3656132113184825
Epoch 220, Validation Loss: 7.304364630359695
Epoch 230, Validation Loss: 7.261946940790505
Epoch 240, Validation Loss: 7.221239102899311
Epoch 250, Validation Loss: 7.181100647096133
Epoch 260, Validation Loss: 7.144347782460222
Epoch 270, Validation Loss: 7.113291259287147
Epoch 280, Validation Loss: 7.089059964578809
Epoch 290, Validation Loss: 7.071509568215407
Epoch 300, Validation Loss: 7.059243014039593
Epoch 310, Validation Loss: 7.04977885465737
Epoch 320, Validation Loss: 7.039882792895409
Epoch 330, Validation Loss: 7.0260011231597055
Epoch 340, Validation Loss: 7.004710765373969
Epoch 350, Validation Loss: 6.973107680998848
Epoch 360, Validation Loss: 6.9290349016059665
Epoch 370, Validation Loss: 6.87099973015481
Epoch 380, Validation Loss: 6.797505848813898
Epoch 390, Validation Loss: 6.705020989429667
Epoch 400, Validation Loss: 6.581973814348214
Epoch 410, Validation Loss: 6.390385324234955
Epoch 420, Validation Loss: 6.032229125039888
Epoch 430, Validation Loss: 5.555762390640476
Epoch 440, Validation Loss: 5.442256400553124
Epoch 450, Validation Loss: 5.463023236812075
Epoch 460, Validation Loss: 5.473392979675389
Epoch 470, Validation Loss: 5.482329931015122
Epoch 480, Validation Loss: 5.494764307810962
Epoch 490, Validation Loss: 5.51113621546862
Epoch 500, Validation Loss: 5.529159441340765
Epoch 510, Validation Loss: 5.545025623270548
Epoch 520, Validation Loss: 5.555274068596525
Epoch 530, Validation Loss: 5.558797764135873
Epoch 540, Validation Loss: 5.556984524751762
Epoch 550, Validation Loss: 5.457472985496282
Epoch 560, Validation Loss: 6.207430602393148
Epoch 570, Validation Loss: 6.019508593624768
Epoch 580, Validation Loss: 5.499477226420437
Epoch 590, Validation Loss: 5.629486713090831
Epoch 600, Validation Loss: 5.352169173656159
Epoch 610, Validation Loss: 6.469179554143615
Epoch 620, Validation Loss: 5.259465502068845
Epoch 630, Validation Loss: 5.248394187590303
Epoch 640, Validation Loss: 5.259204232319185
Epoch 650, Validation Loss: 5.2877182912124905
Epoch 660, Validation Loss: 5.2094654690237485
Epoch 670, Validation Loss: 5.298570162822526
Epoch 680, Validation Loss: 5.2131072830470035
Epoch 690, Validation Loss: 5.208987066953374
Epoch 700, Validation Loss: 5.167385501496281
Epoch 710, Validation Loss: 5.134445249629335
Epoch 720, Validation Loss: 6.914742263559306
Epoch 730, Validation Loss: 5.262996251747829
Epoch 740, Validation Loss: 5.421482316049848
Epoch 750, Validation Loss: 5.724825167180519
Epoch 760, Validation Loss: 5.514791247728683
Epoch 770, Validation Loss: 5.2246747451632
Epoch 780, Validation Loss: 5.221082287860144
Epoch 790, Validation Loss: 5.382626804829351
Epoch 800, Validation Loss: 5.776672380725301
Epoch 810, Validation Loss: 5.319368143963522
Epoch 820, Validation Loss: 5.124265102629754
Epoch 830, Validation Loss: 5.280166433730025
Epoch 840, Validation Loss: 5.7342917691990944
Epoch 850, Validation Loss: 5.182055668826172
Epoch 860, Validation Loss: 5.06699063009346
Epoch 870, Validation Loss: 5.172419129574797
Epoch 880, Validation Loss: 5.465355951997499
Epoch 890, Validation Loss: 5.166068916848249
Epoch 900, Validation Loss: 5.035971406034892
Epoch 910, Validation Loss: 5.170272100157801
Epoch 920, Validation Loss: 5.0603271949965105
Epoch 930, Validation Loss: 5.042126901163972
Epoch 940, Validation Loss: 5.040854875000971
Epoch 950, Validation Loss: 5.515515005336535
Epoch 960, Validation Loss: 5.030030167173874
Epoch 970, Validation Loss: 5.153545938755389
Epoch 980, Validation Loss: 5.017270671790731
Epoch 990, Validation Loss: 4.99248745127028
