Epoch 0, Validation Loss: 483.77075359523116
Epoch 10, Validation Loss: 12.335420367930414
Epoch 20, Validation Loss: 13.536041123887452
Epoch 30, Validation Loss: 11.989004910518616
Epoch 40, Validation Loss: 10.068884417911388
Epoch 50, Validation Loss: 8.216096660150862
Epoch 60, Validation Loss: 7.200285002039755
Epoch 70, Validation Loss: 7.2039065870033525
Epoch 80, Validation Loss: 6.252056190105788
Epoch 90, Validation Loss: 6.022310580386393
Epoch 100, Validation Loss: 5.844843966060636
Epoch 110, Validation Loss: 6.185434947699146
Epoch 120, Validation Loss: 6.660952667905908
Epoch 130, Validation Loss: 5.764541978546994
Epoch 140, Validation Loss: 7.989953367699935
Epoch 150, Validation Loss: 5.872245054524836
Epoch 160, Validation Loss: 6.482987703556137
Epoch 170, Validation Loss: 5.908731016763082
Epoch 180, Validation Loss: 6.292342415471309
Epoch 190, Validation Loss: 6.523097862084731
Epoch 200, Validation Loss: 8.012703609351005
Epoch 210, Validation Loss: 5.95963869540639
Epoch 220, Validation Loss: 5.924110175625708
Epoch 230, Validation Loss: 5.921703137479423
Epoch 240, Validation Loss: 5.978614178583984
Epoch 250, Validation Loss: 6.040954881049436
Epoch 260, Validation Loss: 5.924507417203759
Epoch 270, Validation Loss: 5.951737951098145
Epoch 280, Validation Loss: 6.799087370312634
Epoch 290, Validation Loss: 6.188369962295456
Epoch 300, Validation Loss: 7.8823473833343245
Epoch 310, Validation Loss: 6.544443302303093
Epoch 320, Validation Loss: 8.130000376593355
Epoch 330, Validation Loss: 6.567919374608856
Epoch 340, Validation Loss: 7.846794052035153
Epoch 350, Validation Loss: 6.686623881304792
Epoch 360, Validation Loss: 7.201293819911155
Epoch 370, Validation Loss: 6.476809119682207
Epoch 380, Validation Loss: 6.703528399789735
Epoch 390, Validation Loss: 6.253125365068213
Epoch 400, Validation Loss: 6.200491691161723
Epoch 410, Validation Loss: 6.055846495230194
Epoch 420, Validation Loss: 6.055445346428731
Epoch 430, Validation Loss: 6.120612410965545
Epoch 440, Validation Loss: 5.990382109600387
Epoch 450, Validation Loss: 6.490878483654794
Epoch 460, Validation Loss: 6.057644039461451
Epoch 470, Validation Loss: 7.637333172137676
Epoch 480, Validation Loss: 6.3507605353095276
Epoch 490, Validation Loss: 8.204505433076903
Epoch 500, Validation Loss: 6.4886147421948674
Epoch 510, Validation Loss: 7.022331936278548
Epoch 520, Validation Loss: 6.329109840946169
Epoch 530, Validation Loss: 6.222539555282661
Epoch 540, Validation Loss: 8.232011096810455
Epoch 550, Validation Loss: 6.447853685547176
Epoch 560, Validation Loss: 6.65576604207961
Epoch 570, Validation Loss: 6.890992605538725
Epoch 580, Validation Loss: 6.6139251681741165
Epoch 590, Validation Loss: 7.632838554833309
Epoch 600, Validation Loss: 6.434890821755793
Epoch 610, Validation Loss: 6.397437461635569
Epoch 620, Validation Loss: 8.468147254114262
Epoch 630, Validation Loss: 6.6112886888088935
Epoch 640, Validation Loss: 6.420072505971126
Epoch 650, Validation Loss: 7.964584045773548
Epoch 660, Validation Loss: 6.739813859972867
Epoch 670, Validation Loss: 6.752270980315018
Epoch 680, Validation Loss: 7.2767215058849635
Epoch 690, Validation Loss: 8.000840892230281
Epoch 700, Validation Loss: 6.770014000680817
Epoch 710, Validation Loss: 6.573375590604475
Epoch 720, Validation Loss: 8.480068306821082
Epoch 730, Validation Loss: 6.750369078755332
Epoch 740, Validation Loss: 6.89099831509199
Epoch 750, Validation Loss: 7.432743980907348
Epoch 760, Validation Loss: 8.433423911025072
Epoch 770, Validation Loss: 6.9380299540854935
Epoch 780, Validation Loss: 6.9321816198924635
Epoch 790, Validation Loss: 8.026177239050442
Epoch 800, Validation Loss: 8.205511289824855
Epoch 810, Validation Loss: 7.110512211983291
Epoch 820, Validation Loss: 7.038435949582636
Epoch 830, Validation Loss: 8.010990584645237
Epoch 840, Validation Loss: 8.682359843170559
Epoch 850, Validation Loss: 7.183553786721411
Epoch 860, Validation Loss: 7.425668891167454
Epoch 870, Validation Loss: 7.41762174718304
Epoch 880, Validation Loss: 9.081653800595126
Epoch 890, Validation Loss: 8.190246327356956
Epoch 900, Validation Loss: 7.392659144065374
Epoch 910, Validation Loss: 7.592641691392268
Epoch 920, Validation Loss: 7.648642582210903
Epoch 930, Validation Loss: 9.112896337837716
Epoch 940, Validation Loss: 8.91332344416035
Epoch 950, Validation Loss: 7.595144860162988
Epoch 960, Validation Loss: 7.80977699505724
Epoch 970, Validation Loss: 7.758867256400149
Epoch 980, Validation Loss: 8.381270308966933
Epoch 990, Validation Loss: 9.547822112313444
